"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
arias_011_doppel.mid,4,1,4,,,,2 3
arias_kv391.mid,3,1,,,,,2 3
arias_kv530.mid,5,1,4 5,,,,2 3
arias_kv597.mid,5,1,4 5,,,,2 3
Ascendens_Christus_In_Altum_6_Agnus_Dei_1s.mid,6,1,6,,,,2 3 4 5
Asperges_Me_b.mid,4,1,4,,,,2 3
Baroque_Baroque-Early_Marini_op22_svlnsol_m.mid,3,1,3,,,,2
Baroque_Baroque-Late_Bach_anna-18.mid,2,1,2,,,,
Baroque_Baroque-Late_Bach_ARTFUG10.mid,8,1 2 5 6,4 8,,,,3 7
Baroque_Baroque-Late_Bach_ARTFUG11.mid,8,1 2 5 6,4 8,,,,3 7
Baroque_Baroque-Late_Bach_babwv653.mid,7,2,3,,,,1
Baroque_Baroque-Late_Haendel_handel05.mid,7,6,1,,,,3 4 5
Baroque_Baroque-Late_Marcello_B.Marcello_Corale.mid,11,1 2 3 5 6,9,10,11,,4 7 8 10 11
Baroque_Baroque-Middle_Uccellini_08op8sy_m.mid,4,1 2,4,,,,3
Binchois6.mid,4,2,,,,,1 3 4
bruop26a.mid,3,1,3,,,,2
Ce_Moys_De_May_SATB_Janequin_Clement.mid,4,1,4,,,,2 3
Classicism_Classicism_Haydn_hydn31_2.mid,11,5,11,,,,1 2 3 4 6 7 8 9 10
Classicism_Classicism_Mozart_mozart-2.mid,12,1 5 9,4 8 12,,,,2 3 6 7 10 11
Classicism_Classicism_Mozart_Symphony35-41-6-jupitmen.mid,17,1 7,12,,,,2 3 4 5 6 8 9 11 13
Classicism_Classicism_Paradis_paradis-sicilienne.mid,5,1,3,,,,2
come_again.mid,9,2,4,,,,3
dowland_lachrimae.mid,4,1,4,,,,2 3
DUETK487.mid,3,1,2,,,,
gabrieli_in_ecclesiis.mid,15,1 2 3 4,8 14,,,,5 6 7 9 10 11 12 13 15
Gloria_Palestrina_S.mid,4,1,4,,,,2 3
handel07.mid,5,5,1,,,,2 3 4
hungary1.mid,6,1 4,,,,,2 3 5
Medieval_ArsAntiqua_Anonymous_laude-jocunda-smp.mid,5,2,4,,,,
Medieval_ArsNova_Perusio_matteo09.mid,4,2,4,,,,3
Merry_Widow_Waltz_F._Leha.MID,5,5,1,,,,2 3 4
morley_april.mid,4,1,4,,,,2 3
motet.mid,10,1 10,5,,,,2 3 4
moz_req.mid,2,,,,,,1 2
mozart00.mid,5,5,1,,,,2 3 4
Quam_Pulchri_Sunt_3_Credo_b.mid,4,1 4,,,,,2 3
Renaissance_Renaissance-Early_Anonymous_this_day_thaws.mid,9,2 3,4,,,,
Renaissance_Renaissance-Early_Binchois_Binchois16.mid,3,1,2 3,,,,
Renaissance_Renaissance-Late_Gabrieli_gabrieli-sonata_octavi_toni.mid,12,1 7,6 12,,,,2 3 4 5 8 9 10 11
Renaissance_Renaissance-Late_Victoria_Ad_Caenam_Agni_Providi.mid,4,1,4,,,,2 3
Renaissance_Renaissance-Late_Victoria_Benedicam_Dominum-2s.mid,4,1 2,4,,,,3
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-1-Kyrie-s.mid,6,1,6,,,,2 3 4 5
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-5-Benedictus.mid,7,1 2,7,,,,3 4 5 6
Renaissance_Renaissance-Late_Victoria_Ecce_Sacerdos_Magnus-s.mid,4,1,4,,,,2 3
Renaissance_Renaissance-Late_Victoria_Falsobordon-5-1t.mid,5,1 3,5,,,,2 4
Renaissance_Renaissance-Late_Victoria_LJbis7-Heth_Misericordiae_Domini-1s.mid,6,1 2,6,,,,3 4 5
Renaissance_Renaissance-Late_Victoria_Magnificat_Quarti_Toni-impares-1c.mid,5,1 2,5,,,,3 4
Renaissance_Renaissance-Late_Victoria_O_Lux_Et_Decus_Hispaniae-b.mid,5,1 2,5,,,,3 4
Renaissance_Renaissance-Late_Victoria_Simile_Est_Regnum_Coelorum-3-Credo-s.mid,4,1,4,,,,2 3
Renaissance_Renaissance-Late_Victoria_TR09-Animam_Meam_Dilectam-c.mid,4,1 2,4,,,,3
Renaissance_Renaissance-Late_Victoria_TR14-O_Vos_Omnes-t.mid,4,1 2,4,,,,3
Renaissance_Renaissance-Late_Victoria_Vexilla_Regis-b.mid,4,1 4,,,,,2 3
Requiem_a_4_voces_05_Sanctus_y_Benedictus_b.mid,4,1,4,,,,2 3
Romanticism_Post-romanticism_Dupre_1511prel2.mid,3,1,3,,,,2
Romanticism_Post-romanticism_Rachmaninoff_rachmaninoff_ave_maria.mid,5,1,4,,,,2 3
Romanticism_Romantic-Nationalism_Breton_Breton_EscenasAndaluzas-1.mid,27,1 2 19,14 23,,,,3 4 5 6 7 8 9 10 11 12 13 15 20 21 22
Romanticism_Romanticism_Beethoven_6thSymph_6SYMPH_4.mid,22,1 2 5,22 16,,,,3 4 6 7 8 9 10 11 12 13 14 15 18 19 20 21
Romanticism_Romanticism_Beethoven_Symphonie7_Opus92_Mvt3-cvikl.mid,12,1 2,12,,,,3 4 5 6 7 8 9 10 11
Romanticism_Romanticism_Beethoven_Symphonie8_Opus93_Mvt4-lucarelli.mid,18,9,13,,,,1 2 3 4 5 6 7 8 10 11 12
Romanticism_Romanticism_Chopin_Prelude_Op28_No6_in_Bm_Tolling_Bells_2.mid,10,,3,,,,1 2
Romanticism_Romanticism_Mendelssohn_GMMVIOL_2.mid,14,1,5 6,,,,2 3 4 7 8 9
Romanticism_Romanticism_Wolf_wolf_2_einklang.mid,4,1,4,,,,2 3
ROSSETER_Whether_Men_to_Laugh_or_Weep.mid,2,1,,,,,2
schub02.mid,5,5,1,,,,2 3 4
Vexilla_Regis_b.mid,4,1,4,,,,2 3
vivldi05.mid,4,4,1,,,,2 3
XXCentury_Impressionism_Debussy_013_apresmid.mid,8,1,8,,,,2 3 4 5 6 7
XXCentury_Neoclassicism_Shostakovich_s_waltz4.mid,3,2 3,,,,,1
