"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
A_Child_is_Born.MID,7,6,1,,,,3 4
Anthropology2.mid,3,1,2,,,,3
ANYTHING_GOES.MID,7,6,1,,,,3
APRIL_JOY.MID,7,6,1,,,,3 4 5
ARMAGEDDON.MID,7,6,1,,,,3 4 5
BEAUTY_AND_THE_BEAST.MID,7,6,1,,,,3 4 5
BEMSHA_SWING.MID,7,6,1,,,,3
bewitched2.mid,5,3,5,,,,2
BILLY_BOY.MID,7,6,1,,,,3
birdland_xg.mid,13,4 5,1 9,,,,2 3 6 7 8
BORN_TO_BE_BLUE.MID,7,6,1,,,,3
brand_new_heavies_never_stop.mid,17,6 7,2 3,,,,1 4 5
BUT_BEAUTIFUL_Jimmy_van_He.MID,7,6,1,,,,3 4 5
CANDYMAN.MID,7,6,1,,,,3
Conception.MID,7,6,1,,,,3
Corcovado_Quiet_Nights_of.MID,7,6,1,,,,3 4 5
davis_milestones_1.mid,19,1 2 3 7 9,4 14,,,,5 6 8 11 12 13
Days_of_Wine_and_Roses_The.MID,7,6,1,,,,3
desmond_take_five_basic_version.mid,7,2,1,,,,3
Dindi.MID,7,6,1,,,,3 7
DO_NOTHIN_TIL_YOU_HEAR_FR.MID,7,6,1,,,,3
Driftin.MID,7,6,1,,,,3
HE_AINT_HEAVY..HES_MY_BRO.MID,7,6,1,,,,3 4
henken_sascha_beyond_the_skies_xg.mid,9,,,,,9,9
HERE_COMES_THE_SUN.MID,7,6,1,,,,3 4
honey.MID,6,,3,,,,2
HONEYSUCKLE_ROSE.MID,7,6,1,,,,3 4 5
HOW_SWEET_IT_IS_TO_BE_LOVED.MID,7,6,1,,,,3 4 5
I_FALL_TO_PIECES.MID,7,6,1,,,,3 4 5
I_GOT_RHYTHM.MID,7,6,1,,,,3
I_REMEMBER_CLIFFORD.MID,7,6,1,,,,3
I_WANT_TO_HOLD_YOUR_HAND.MID,7,6,1,,,,3 4
IALikeBeingInLove.mid,3,,2,,,,1
ILL_BE_SEEING_YOU.MID,7,6,1,,,,3 4 5
IMAGINATION_J.van_Heusen.MID,7,6,1,,,,3
It_had_to_be_you.MID,7,6,1,,,,3 4 5
Knock_Three_Times_Medley.MID,7,6,1,,,,3 4
LIGHT_MY_FIRE.MID,7,6,1,,,,3 4 5
Mack.mid,12,2 7 8,10,,,,1 3 4 5 6 9 11
Mandy.MID,9,6,1,,,,3 4 5 9
michael_george_father_figure.mid,12,7,4,,,,1 2 3 5 6 8 9 11
Moonlight_On_The_Ganges.MID,7,6,1,,,,3 4 5
My_Foolish_Heart.MID,7,6,1,,,,3
NORWEGIAN_WOOD.MID,7,6,1,,,,3 4
OurLove_x.mid,4,,2,,,,4
PROUD_MARY.MID,7,6,1,,,,3 4
REFLECTIONS.MID,7,6,1,,,,3
rodgers_hart_have_you_met_ms_jones.mid,2,1,2,,,,
scars_xstatic_all_you_can_eat.mid,26,4,1 5,,,,2 3 10 11 12 13 14 15 16 19 20 21 22
Searchin_My_Soul_Ally.MID,10,6 7 9,1,,,,3 4 5 10
SOMEDAY_YOULL_BE_SORRY.MID,7,6,1,,,,3
SOUL_EYES.MID,7,6,1,,,,3 4 5
Splanky.MID,20,6 8 9 10 11 12 15 16 17 18 19 20,1,,,,3
spyro_gyra_shaker_song.mid,13,1,5,,,,2 3 4 8
The_Best_Is_Yet_To_Come_B.MID,7,6,1,,,,3 4 5
The_Best_Things_In_Life_A.MID,7,6,1,,,,3 4
THEY_ALL_LAUGHED.MID,7,6,1,,,,3
They_Cant_Take_That_Away_F.MID,7,6,1,,,,3
THINK_OF_ONE.MID,7,6,1,,,,3
TOTAL_ECLIPSE_OF_THE_HEART.MID,7,6,1,,,,3 4 5
Undecided.MID,7,6,1,,,,3 4 5
VAYA_CON_DIOS.MID,7,6,1,,,,3 4 5
WE_ARE_THE_PEOPLE.MID,7,6,1,,,,3 4
weasel.mid,15,3 6 7 8 9,2,,,,1 4 5
WHAT_AM_I_DOIN_HERE_TO_NIG.MID,7,6,1,,,,3 4 5
whisper.mid,4,,1,,,,3
Who_Can_I_Turn_To.MID,7,6,1,,,,3 4 5
YardBrdG.MID,30,18 19 23 24,16,,,,17 20 21 22 25 26 27 28 29 30
