"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
Abba_Hasta_manana.kar,15,3,4,,,,5 7 8 9 10
Albert_Babin_Le_toit_de_ma_maison.kar,8,1,2,,,,3 4 5 6
All_Four_One_I_swear.kar,19,5,3,,,,4 6 7 8 9 15
andilove.kar,33,22,17,,,,3 18 19 20 21
Bad_Company_Bad_company.kar,21,10,5 14,,,,3 4 7 8 9 11 12 13 15
Brooks_And_Dunn_Boot_scootin_boogie.kar,11,9,10,,,,3 4 5 6 7 8
Bruce_Springsteen_Streets_of_Philadelphia_1.kar,9,3,5,,,,4 6 7 8
C_Jerome_Jerome_cest_moi.kar,14,13 14,4,,,,3 5 6 7 8 9 10 11
Carlos_Vives_El_Amor_de_mi_Tierra.kar,13,5,2,,,,3 4 6 7 8 9 10 11 12
Carly_Simon_All_I_Want_is_You.kar,16,3,4,,,,5 6 7 9
Carly_Simon_Coming_Around_Again.kar,18,3,4,,,,5 6 7 9 10 17
Celtas_Cortos_por_Stapelton_VEINTE_DE_ABRIL.kar,16,11,4,,,,3 5 6 7 8
Charles_Trenet_Route_nationale_7.kar,13,6,4,,,,3 5 7 8 9 10 11 13
Chicago_After_The_Love_Has_Gone.kar,16,3,6,,,,4 5 7 8 9 10 11 13 14 15 16
Cloclo_Le_telephone_pleure.kar,17,3,5,,,,4 6 7 8 9 10 11 13 14 15 16 17
Cloclo_Une_chanson_populaire.kar,11,7,5,,,,4 6 8 9 10
Cpartio.kar.kar,19,12,10,,,,9 11 13 14
Creedence_Clearwater_Revival_Fortunate_Son.kar,8,3,5,,,,4 6 7
Dani_Daraiche_Quand_je_tai_connue_belle.kar,14,14,3,,,,4 5 6 7 8 9 10
Daraiche_Les_cowboys_du_Quebec.kar,16,6,4,,,,5 7 8 9 10 12 13
Diane_Tell_La_legende_de_Jimmy.kar,14,3 14,5,,,,4 6 7 8 9
Divers_Comptines_Sur_la_route_de_Louviers.kar,4,3,,,,,4
Donna_Summer_She_works_hard_for_the_money_7.kar,12,10,3,,,,4 5 6 7 8 11
Eagles_Best_of_my_love_6.kar,12,7,3,,,,4 5 6
Eagles_Desperado.kar,12,11,6,,,,4 5 8
Edith_Piaf_Mon_Dieu.kar,12,7,5,,,,4 6 8 9 10 11 12
Erasure_Breath_of_life.kar,16,6,4,,,,3 5 7 8 9 10 12 13 14 15 16
Fantasy.kar,17,3,6,,,,4 5 7 8 9 10 11 12 13 14 15 16
FILM_MAMBO_KING_Bella_Maria_de_Mi_Corazon.kar,11,10,4,,,,3 5 6 7 8
France_Gall_Bonsoir_John_John.kar,14,3,4,,,,5 6 7 8 9 10
Francis_Cabrel_Encore_et_encore_1.kar,9,3,7,,,,4 5 6
Francis_Cabrel_La_corrida.kar,9,4,,,,,3 5 6 8 9
Frank_Sinatra_My_Way.kar,7,7,3,,,,5 6
Frankie_Valli_My_eyes_adored_you.kar,15,12,3,,,,4 5 6 7 8 9 11
Gunsn_Roses_Anithing_goes_tonight.kar,7,3,4,,,,5
In_questo_mondo_di_ladri_Antonello_Venditti.kar,15,15,4,,,,3 5 6 7 8 9 10 11 13 14
Jean_Jacques_Lafont_Le_geant_de_papier.kar,13,6,4,,,,3 5 7 8 9 10 11
Jimmy_Buffet_Son_Of_A_Son_Of_A_Sailor.kar,15,3,4,,,,5 6 7 8 9 10 11
Johnny_Rivers_Secret_agent_man.kar,8,7,3,,,,4 5 6
Juan_Gabriel_Te_sigo_amando_11.kar,13,13,4,,,,5 6 7 8 9 10
Juan_Luis_Guerra_Woman_del_Callao_16.kar,13,9,3,,,,1 4 5 6 8
Kelly_Family_Roses_Of_Red.kar,10,6,4,,,,3 5 7 8 9
Lionel_Richie_Say_you_say_me_4.kar,17,3,5,,,,4 6 7 8 9 10 11 12 13 14 15 16
LOS_HERMANOS_ROSARIO_MORENA_VEN_KAR_BY_ANX.kar,10,5,3,,,,4 6 7 8 9
Luis_Miguel_C_mo.kar,13,11,4,,,,3 5 6 7 8 9 10
Luis_Miguel_La_barca.kar,7,6,4,,,,3 5
Lyne_Charbonneau_Et_je_pleure_toutes_les_larmes_de_mon_coeur.kar,9,4,1,,,,2 3 5 6 7 8
Michael_Jackson_The_way_you_make_me_feel_1.kar,14,3,5,,,,6 7 8 9 10 11 12 13 14
Michel_Delpech_Quand_jetais_chanteur.kar,15,3,5,,,,4 6 7 8 9 10 11 13 14
Michel_Sardou_Le_rire_du_sergent.kar,16,3,5,,,,4 6 7 8 9 10 12 13 14 15
Mireille_Mathieu_Nos_souvenirs.kar,13,3,5,,,,4 6 7 8 9 10 11 13
Operacion_triunfo_Gracias_por_la_musica.kar,12,3,4,,,,5 6 7 8 9 10 12
Operacion_triunfo_Simply_the_best.kar,27,5,3,,,,4 6 7 8 9 10
Pascal_Obispo_Personne.kar,10,5,3,,,,2 4 6 7 8 9
Patrick_Bruel_Tout_sefface.kar,13,5,3,,,,2 4 6 7 8 9 10 12 13
Patrick_Normand_Toi_le_soleil_de_ma_vie.kar,13,11,10,,,,3 4 5 6 7 8 9
Pet_Shop_Boys_Always_on_my_mind_4.kar,15,3 14,5,,,,4 6 7 8 9 11 12 13
Ray_Ventura_Comme_tout_le_monde.kar,12,6,4,,,,3 5 7 8 9
sanferna.kar,15,5,3,,,,4 6 7 8 9 10 12 13 14 15
Telephone_Un_autre_monde.kar,16,6,4,,,,3 5 7 8 9 11 13 14 15 16
The_Beatles_She_loves_you.kar,11,,7,,,,4 5 6 8 9
Tino_Rossi_Mediterranee.kar,16,6,4,,,,3 5 7 8 9 10 11 13 14 15 16
Travis_Tritt_Heres_a_quarter_call_someone_who_cares.kar,12,7,3,,,,5 6 8
Vince_Gill_Give_Me_Just_One_More_Last_Chance.kar,12,6,4,,,,3 5 7 8 9 10 11
Vincent_Scotto_La_java_bleue.kar,10,6,4,,,,3 5 7 8 9
Whigfield_Think_Of_You.kar,23,7,5,,,,3 4 6 8 10
Whitney_Houston_I_Wanna_Dance_With_Somebody.kar,16,3,7,,,,4 5 6 8 9 10 11 13 14 15
Zapato_Veloz_El_tractor_amarillo_6.kar,8,8,6,,,,5 7
