"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
55301_Gitano_Abigail4.kar,14,6,4,,,,3 5 7 8 9 10 11 13
Aerosmith_Janies_Got_A_Gun.kar,24,7,12 13,,,,5 6 8 9 10 11 15 16 19 20
Alain_Baschung_La_nuit_je_mens.kar,13,6,4,,,,5 7 8 9 10
Alain_Baschung_Vertige_de_lamour.kar,15,7,5,,,,4 6 8 9 10 11 12 14 15
Alain_Morisod_Sweet_People_Les_trois_cloches.kar,19,4 16,7 18,,,,5 6 8 10 11 12 13 14 15 17 19
Alain_Souchon_Au_ras_des_paquerettes.kar,16,6,4,,,,3 5 7 8 9 10 11 13 14 15 16
Alazan_Amarrao_a_mi_cintura4.kar,14,6,4,,,,3 5 7 8 9 10 11 13 14
Albert_Babin_Je_dis_des_mots_damour.kar,18,14 15 16,1,,,,2 3 4 5 6 7
Albert_Hammond_It_Never_Rains_In_Southern_Californa.kar,11,6,4,,,,3 5 7 8 9 10
America_Sandman.kar,18,8,3,,,,4 5 6 7
Anggun_La_rose_des_vents.kar,16,4,2,,,,1 3 5 6 7 8 9 11 12 13 14 15 16
Atlantique_Les_eaux_de_Mars.kar,11,5,3,,,,2 4 6 7 9 10
Axelle_Red_A_quoi_ca_sert.kar,9,4,2,,,,1 3 5 6 7 8
AZUCAR_MORENO_Amen.kar,18,6,4,,,,3 5 7 8 9 10 11 13 14 15 16 17
Beach_Boys_Wouldnt_it_be_nice.kar,15,3,7 8,,,,4 5 6 9 10 11
Billy_Joel_Honesty_1.kar,8,3,5,,,,4 6 7
Bob_Seger_Hollywood_night.kar,18,7,3,,,,4 5 6 17
Boston_A_man_Ill_never_be_12.kar,20,14,5,,,,3 7 8 9 11 12 13 15
Brividi.kar,11,5,3,,,,4 6 7 8 9
Bruce_Springsteen_Streets_of_Philadelphia_1.kar,9,3,5,,,,4 6 7 8
Celine_Dion_Je_danse_dans_ma_tete.kar,12,12,4,,,,5 6 7 8 9 10 11
Celine_Dion_Pour_que_tu_maimes_encore.kar,16,6,4,,,,3 5 7 8 9 10 11 13 14 15 16
Charles_Aznavour_Camarade.kar,11,3,10,,,,4 5 6 7 8 9
Cloclo_La_ferme_du_bonheur.kar,9,3,4,,,,5 6 7
Coshai_trovato_in_lui_Bruno_Martino.kar,16,5,3,,,,4 6 7 8 9
Creedance_Clearwater_Revival_Fortunate_Son.kar,8,3,5,,,,4 6 7
Creedence_Clearwater_Revival_Fortunate_Son.kar,8,3,5,,,,4 6 7
Dani_Daraiche_Mon_amour_mon_ami.kar,9,8,3,,,,4 5 7 9
Daraiche_Ton_coeur_blesse.kar,14,12,6,,,,7 8 9 10 13 14
Divers_Comptines_Ah_vous_dirai_je_Maman_b.kar,9,3,5,,,,4 6 7 8 9
Divers_Comptines_Hakuna_matata.kar,14,13,5,,,,3 4 6 7 8 9 10 11
Eddy_Mitchell_Be_bop_a_lula.kar,11,8 10,3,,,,5 6 11
EL_ULTIMO_DE_LA_FILA_por_Stapelton_LA_PUERTA_DEL_BAILE.kar,13,12,3 4,,,,5 8 9 10 11
Elton_John_Believe_4.kar,17,3,4,,,,5 6 7 8 9 10 12 13 14 15 16
Enrico_Macias_Mon_coeur_dattache.kar,14,3,4,,,,5 6 7 8 9 10 12 13
Erasure_Chains.kar,23,3,5 6,,,,4 7 8 9 14 15 16 17 18
Felix_Leclerc_Le_tour_de_lile.kar,8,8,3,,,,5 6 7
Fm.kar,12,3,5,,,,4 6 7 8 9 10 11
France_Gall_Bonsoir_John_John.kar,14,3,4,,,,5 6 7 8 9 10
Francis_Cabrel_Elle_ecoute_pousser_de_fleurs.kar,8,4,,,,,5 6 8
Frank_Sinatra_A_mi_manera2.kar,10,3,4,,,,5 6 7 8 9
Garth_Brooks_Beaches_of_cheyenne.kar,32,3,5,,,,6 7 8 9 10 11 12 13
Genesis_Invisible_touch_4.kar,14,3,5,,,,4 6 7 8 9 10 12
Georges_Brassens_Entre_la_rue_Didot_et_la_rue_de_Vanves.kar,7,4,6,,,,3 5
Georges_Brassens_Sauf_le_respect_que_je_vous_dois.kar,7,4,1,,,,2 3 5 6 7
Georges_Hamel_Une_fleur_a_la_boutonniere.kar,6,3,2,,,,4 5 6
GLORIA_ESTEFAN_CON_LOS_A_OS_QUE_ME_QUEDAN.kar,10,3,4,,,,5 6 8 9
Gozar_la_vida.mid.kar,15,4,15,,,,3 5 6 7 8 9 11 12 13 14
Greame_Allwright_Jolie_bouteille_sacree_bouteille.kar,11,6,4,,,,5 7 8 9 10
Harry_Belafonte_Banana_boat_song.kar,13,3,11,,,,4 6 7 8 9 10
Helene_Segara_Bohemienne.kar,16,4,2,,,,1 3 5 6 7 8 9 11 13 14 15
Henri_Salvador_Jardin_dhiver_2.kar,9,5,3,,,,2 4 6 7 8
Hubert_Felix_Thiefaine_Scorbut.kar,13,6,4,,,,5 7 8 9 10 11 13
Indochine_Le_troisieme_sexe.kar,10,5,3,,,,4 6 7 9 10
Irene_Cara_Fame_BSO_1.kar,17,3,4,,,,5 6 7 8 9 10 11 15 16 17
Jacques_Dutronc_Gentleman_cambrioleur.kar,14,6,4,,,,5 7 8 9
Jimmy_Soul_If_You_Wanna_Be_Happy.kar,10,3 4,8,,,,5 6 7
Joe_Dassin_Il_etait_une_fois_nous_deux.kar,18,18,9,,,,10 11 12 13 14 15 16 17
Johnny_Halliday_Aussi_dur_que_du_bois.kar,17,9,3,,,,4 5 6 7 8
Juan_Luis_Guerra_Woman_del_Callao_16.kar,13,9,3,,,,1 4 5 6 8
Karaoked_by_Jetas_Music_Cyrus_Company_Flor_de_Liz_Djavan.kar,16,3 8,5 6,,,,4 7 9
Ku_Minerva_Estoy_llorando_por_tf_4.kar,17,7,4,,,,3 5 8 9 11 12 13
La_Oreja_de_Van_Gogh_Parfs_4.kar,13,6,4,,,,3 5 7 8 9 10 11
Les_Chats_Sauvages_Derniers_baisers.kar,11,7 8,3,,,,5 6
Les_Sultans_La_poupee_qui_fait_non.kar,7,6,4,,,,3 5
Liane_Foly_La_vie_ne_mapprends_rien.kar,15,,5,,,,4 6 8 9 10 11 12 15
Lipps_Inc_Funky_town.kar,20,3 8 9,5,,,,4 6 7 10 11
Los_Panchos_Caminemos2.kar,19,3,4,,,,5 6 7 8 9
