"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
55301_Gitano_Abigail4.kar,14,6,4,,,,3 5 7 8 9 10 11 13
Aerosmith_Janies_Got_A_Gun.kar,24,7,12 13,,,,5 6 8 9 10 11 15 16 19 20
Alain_Baschung_La_nuit_je_mens.kar,13,6,4,,,,5 7 8 9 10
Alain_Morisod_Sweet_People_Les_trois_cloches.kar,19,4 16,7 18,,,,5 6 8 10 11 12 13 14 15 17 19
Albert_Babin_Je_dis_des_mots_damour.kar,18,14 15 16,1,,,,2 3 4 5 6 7
Albert_Hammond_It_Never_Rains_In_Southern_Californa.kar,11,6,4,,,,3 5 7 8 9 10
America_Sandman.kar,18,8,3,,,,4 5 6 7
Anggun_La_rose_des_vents.kar,16,4,2,,,,1 3 5 6 7 8 9 11 12 13 14 15 16
Axelle_Red_A_quoi_ca_sert.kar,9,4,2,,,,1 3 5 6 7 8
AZUCAR_MORENO_Amen.kar,18,6,4,,,,3 5 7 8 9 10 11 13 14 15 16 17
Beach_Boys_Wouldnt_it_be_nice.kar,15,3,7 8,,,,4 5 6 9 10 11
Billy_Joel_Honesty_1.kar,8,3,5,,,,4 6 7
Bob_Seger_Hollywood_night.kar,18,7,3,,,,4 5 6 17
Boston_A_man_Ill_never_be_12.kar,20,14,5,,,,3 7 8 9 11 12 13 15
Bruce_Springsteen_Streets_of_Philadelphia_1.kar,9,3,5,,,,4 6 7 8
Celine_Dion_Pour_que_tu_maimes_encore.kar,16,6,4,,,,3 5 7 8 9 10 11 13 14 15 16
Charles_Aznavour_Camarade.kar,11,3,10,,,,4 5 6 7 8 9
Cloclo_La_ferme_du_bonheur.kar,9,3,4,,,,5 6 7
Coshai_trovato_in_lui_Bruno_Martino.kar,16,5,3,,,,4 6 7 8 9
Creedance_Clearwater_Revival_Fortunate_Son.kar,8,3,5,,,,4 6 7
Dani_Daraiche_Mon_amour_mon_ami.kar,9,8,3,,,,4 5 7 9
Daraiche_Ton_coeur_blesse.kar,14,12,6,,,,7 8 9 10 13 14
Divers_Comptines_Hakuna_matata.kar,14,13,5,,,,3 4 6 7 8 9 10 11
Eddy_Mitchell_Be_bop_a_lula.kar,11,8 10,3,,,,5 6 11
EL_ULTIMO_DE_LA_FILA_por_Stapelton_LA_PUERTA_DEL_BAILE.kar,13,12,3 4,,,,5 8 9 10 11
Erasure_Chains.kar,23,3,5 6,,,,4 7 8 9 14 15 16 17 18
Felix_Leclerc_Le_tour_de_lile.kar,8,8,3,,,,5 6 7
Fm.kar,12,3,5,,,,4 6 7 8 9 10 11
France_Gall_Bonsoir_John_John.kar,14,3,4,,,,5 6 7 8 9 10
Francis_Cabrel_Elle_ecoute_pousser_de_fleurs.kar,8,4,,,,,5 6 8
Frank_Sinatra_A_mi_manera2.kar,10,3,4,,,,5 6 7 8 9
Garth_Brooks_Beaches_of_cheyenne.kar,32,3,5,,,,6 7 8 9 10 11 12 13
Genesis_Invisible_touch_4.kar,14,3,5,,,,4 6 7 8 9 10 12
GLORIA_ESTEFAN_CON_LOS_A_OS_QUE_ME_QUEDAN.kar,10,3,4,,,,5 6 8 9
Greame_Allwright_Jolie_bouteille_sacree_bouteille.kar,11,6,4,,,,5 7 8 9 10
Harry_Belafonte_Banana_boat_song.kar,13,3,11,,,,4 6 7 8 9 10
Helene_Segara_Bohemienne.kar,16,4,2,,,,1 3 5 6 7 8 9 11 13 14 15
Indochine_Le_troisieme_sexe.kar,10,5,3,,,,4 6 7 9 10
Irene_Cara_Fame_BSO_1.kar,17,3,4,,,,5 6 7 8 9 10 11 15 16 17
Jacques_Dutronc_Gentleman_cambrioleur.kar,14,6,4,,,,5 7 8 9
Joe_Dassin_Il_etait_une_fois_nous_deux.kar,18,18,9,,,,10 11 12 13 14 15 16 17
Johnny_Halliday_Aussi_dur_que_du_bois.kar,17,9,3,,,,4 5 6 7 8
Karaoked_by_Jetas_Music_Cyrus_Company_Flor_de_Liz_Djavan.kar,16,3 8,5 6,,,,4 7 9
Ku_Minerva_Estoy_llorando_por_tf_4.kar,17,7,4,,,,3 5 8 9 11 12 13
La_Oreja_de_Van_Gogh_Parfs_4.kar,13,6,4,,,,3 5 7 8 9 10 11
Les_Chats_Sauvages_Derniers_baisers.kar,11,7 8,3,,,,5 6
Les_Sultans_La_poupee_qui_fait_non.kar,7,6,4,,,,3 5
Liane_Foly_La_vie_ne_mapprends_rien.kar,15,,5,,,,4 6 8 9 10 11 12 15
Madonna_Live_to_tell_4.kar,20,3,9 14,,,,4 5 6 7 8 10 11 12 13
Madonna_Youll_see_1.kar,13,3,8,,,,4 5 6 7
Marie_Laforet_Que_calor_la_vida.kar,11,1,2,,,,3 4 5 6 7 9 10
Michel_Fugain_Les_ronciers.kar,10,1 4,3,,,,2 5 6 7 8
Mireille_Mathieu_Bravo_tu_as_gagne.kar,9,3 5,8,,,,4 7 9
Mireille_Mathieu_Une_femme_amoureuse.kar,12,3,6,,,,4 5 7 8 9 10 11
No_me_pises_joder_que_llevo_Chancla._CANARIO.kar,11,10,4,,,,3 5 6 7 8
Non_dTfnini_ESTOY_LLORANDO_POR_T.kar,17,7,4,,,,3 5 8 9 11 12 13
Operacion_triunfo_Heroe_Mariah_Carey.kar,12,5,3,,,,4 6 7 8 9 10
Operacion_triunfo_Simply_the_best.kar,27,5,3,,,,4 6 7 8 9 10
Pascal_Obispo_Tombee_pour_elle.kar,15,6,4,,,,3 5 7 8 9 10 11 13 14 15
Patsy_Clide_Jai_le_coeur_qui_pleure_vf.kar,9,1,7,,,,2 3 4 5 6 8
Patsy_Cline_Im_Sorry.kar,10,3,7,,,,4 5 6 8 9
Ray_Ventura_Ca_vaut_mieux_que_dattraper_la_scarlatine.kar,9,5,3,,,,4 6 7 8
Roch_Voisine_Darling.kar,13,6,4,,,,3 5 7 8 9 10 11 13
sanferna.kar,15,5,3,,,,4 6 7 8 9 10 12 13 14 15
UB40_Baby_I_love_your_way_4.kar,17,3,5,,,,4 6 8 9 10 11 12 13 14 15 16 17
Van_Halen_Aint_Talkin_Bout_Love.kar,9,9,7,,,,5 6
Whitney_Houston_I_Wanna_Dance_With_Somebody.kar,16,3,7,,,,4 5 6 8 9 10 11 13 14 15
Yves_Montand_Cest_si_bon.kar,12,6,4,,,,3 5 7 8 9 10 11
