Train Filename;Test Filename;track type;Acc.%;Error 0;Error 1;Error 2;Error 3;TP;FP;FN;TN;Precision;Recall;F-measure
Total b_class_train.model;class_test.csv;bass;87.83%;296;11;26;4;275;37;4;21;0.88;0.99;0.93
Total resample_b_class_train.model;class_test.csv;bass;87.24%;294;13;30;0;277;43;0;17;0.87;1.00;0.93
Total smote_b_class_train.model;class_test.csv;bass;88.72%;299;10;28;0;280;38;0;19;0.88;1.00;0.94
Total sss_b_class_train.model;class_test.csv;bass;84.87%;286;14;37;0;276;51;0;10;0.84;1.00;0.92
Total b_jazz_train.model;jazz_test.csv;bass;98.61%;425;1;5;0;424;6;0;1;0.99;1.00;0.99
Total resample_b_jazz_train.model;jazz_test.csv;bass;97.91%;422;3;6;0;422;9;0;0;0.98;1.00;0.99
Total smote_b_jazz_train.model;jazz_test.csv;bass;98.61%;425;3;3;0;422;6;0;3;0.99;1.00;0.99
Total sss_b_jazz_train.model;jazz_test.csv;bass;98.14%;423;5;3;0;420;8;0;3;0.98;1.00;0.99
Total b_kar_train.model;kar_test.csv;bass;97.99%;439;5;4;0;430;9;0;9;0.98;1.00;0.99
Total resample_b_kar_train.model;kar_test.csv;bass;98.21%;440;3;5;0;432;8;0;8;0.98;1.00;0.99
Total smote_b_kar_train.model;kar_test.csv;bass;97.77%;438;3;6;1;431;9;1;7;0.98;1.00;0.99
Total sss_b_kar_train.model;kar_test.csv;bass;96.21%;431;5;12;0;430;17;0;1;0.96;1.00;0.98
