"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
1409qmenvo.mid,19,1 9 10,14,,,,2 3 4 5 6 7 8 11 12 13 15 16
1875palestrina.mid,5,3,,,,,2 4 5
arias_kv340a.mid,5,1,4 5,,,,2 3
arias_kv349.mid,3,1,3,,,,2
arias_kv390.mid,5,1,4 5,,,,2 3
arias_kv433.mid,3,1,3,,,,2
arias_kv518.mid,5,1,4,,,,2 3 5
bach02.mid,4,4,1,,,,2 3
Baroque_Baroque-Early_Marini_op22_svlnsol_m.mid,3,1,3,,,,2
Baroque_Baroque-Late_Bach_babwv653.mid,7,2,3,,,,1
Baroque_Baroque-Late_Bach_bwv534b.mid,6,1 2 3,5 6,,,,4
Baroque_Baroque-Late_Bach_jesjoy.mid,5,1,2,,,,3 4 5
Baroque_Baroque-Late_Corelli_Corelli_Pastorale_dal_Concerto_per_la_notte_di_Natale.mid,16,,3,,,1 2,1 2
Baroque_Baroque-Late_Marais_songen_m.mid,4,1,3 4,,,,2
Baroque_Baroque-Late_Vivaldi_vivaldi_gloria_07_domine_fili.mid,14,1 2 5 6 7,4 8 9 13,,,,3 10 11 12
Baroque_Baroque-Late_Vivaldi_vivaldi_gloria_10_qui_sedes.mid,10,1 2,5 9,,,,3 4 6 7 8
Baroque_Baroque-Middle_Becker_02mfrfr_m.mid,4,1 2,4,,,,3
bransle_gay_II.mid,10,2,5,,,,3 4
Classicism_Classicism_Haydn_2804hays94n2.mid,17,1 2 8,11 12,,,,3 4 5 9 10
Classicism_Classicism_Haydn_hydn84_3.mid,10,1 2 6,10,,,,3 4 5 7 8 9
Classicism_Classicism_Mozart_mozart_kv346.mid,3,1 2,3,,,,
De_Beata_Maria_1_Kyrie_1t.mid,5,1 3,5,,,,2 4
Don_Giovanni_By_W.A.Mozart_La_Ci_Darem_La_Mano_b.mid,9,3 4 9,,,,,5
encina_mas_vale_trocar.mid,4,3,4,,,,1 2
FW008.mid,2,1,,,,1,
FW061.mid,2,1,,,,1,
GMMOZ550.mid,14,1 4,2 8,,,,3 5 6 7
Letaniae_De_Beata_Virgine_1b.mid,8,1 5,4 8,,,,2 3 6 7
LJ6_Aleph_Ego_Vir_1c.mid,6,3,6,,,,1 2 4 5
loopz3.mid,2,,,,,,1 2
Medieval_ArsAntiqua_Anonymous_hac.mid,4,2 3,4,,,,
Medieval_ArsAntiqua_Anonymous_laude-jocunda-smp.mid,5,2,4,,,,
mozart_k.mid,2,1,,,,,2
OD_08_Communio_1s.mid,6,1 2,6,,,,3 4 5
Praeludium#1_in_C_BWV846.MID,5,5,1,,,,2 3 4
Renaissance_Renaissance-Early_Escobar_escobar_lo_que_queda_es_lo_seguro.mid,9,2 3,4,,,,
Renaissance_Renaissance-Late_Praetorius_pragav3.mid,11,2 3,6,,,,4 5
Renaissance_Renaissance-Late_Rosseter_ROSSETER_Whether_Men_to_Laugh_or_Weep.mid,2,1,,,,,2
