"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
A_FELICIDADE.MID,7,6,1,,,,3 4 5
abhez_nature_boy.mid,19,11,5,,,,6 7 8 9 10
agfih2find.mid,7,7,4,,,,1 2 3 5
ALICEINW.MID,4,3,1,,,,2
ALL_IN_LOVE_IS_FAIR.MID,7,6,1,,,,3 4 5
ALONE_TOGETHER.MID,7,6,1,,,,3 4
ALWAYS.MID,7,6,1,,,,3 4
ANYTHING_GOES.MID,7,6,1,,,,3
benoit_david_freedom_at_midnight.mid,6,6,4,,,,1 5
Blue_in_Green.MID,7,6,1,,,,3 4 5
Blues4Basie.mid,4,1,3,,,,2
brasil.mid,9,7 9,6,,,,1 8
Breezin_.mid,6,4 5,3,,,,1 2
BRIGHT_SIZE_LIFE.MID,7,6,1,,,,3 4 5
CANT_WE_BE_FRIENDS.MID,7,6,1,,,,3
CHARLSTON.MID,7,6,1,,,,3
DANCING_ON_THE_CEILING.MID,7,6,1,,,,3
EPISTROPHY.MID,7,6,1,,,,3
funk_dumplin_see_memo.MID,7,6 7,1,,,,3 4 5
gershwin_i_got_rhythm_big_band_funk.mid,30,4 6 9 10,2,,,,3 5 7 8 11 12 13 14 15 16
Gettin_it_right.MID,7,6,1,,,,3 4
halfzware_shag.mid,10,2 3 10,6,,,,4 5 7
HE_AINT_HEAVY..HES_MY_BRO.MID,7,6,1,,,,3 4
ILL_BE_SEEING_YOU.MID,7,6,1,,,,3 4 5
In_Your_Own_Sweet_Way.MID,7,6,1,,,,3
jobim_desafinado2.mid,6,4 5,1,,,,3
Knock_Three_Times_Medley.MID,7,6,1,,,,3 4
kwasnik_john_trouble_in_mind.mid,9,,,,,,1 2
La_Champagne.MID,7,6,1,,,,3 4 5
Lets_Call_The_Whole_Thing.MID,7,6,1,,,,3 4 5
LULUS_BACK_IN_TOWN.MID,7,6,1,,,,3
Mad_About_The_Boy.MID,7,6,1,,,,3 4 5
MICHELLE.MID,7,6,1,,,,3 4 5
minorsw.mid,3,1,3,,,,2
My_funny_Valentine.MID,7,6,1,,,,3
My_son_calls_an_other_man_d.MID,7,6,1,,,,3 4 5
Nancy.MID,7,6,1,,,,3 4 5
OH_YOU_BEUTIFUL_DOLL.MID,7,6,1,,,,3
ON_THE_STREET_WHERE_YOU_LIV.MID,7,6,1,,,,3
one4hellen.mid,17,4,1,,,,2 3
pastorius_chicken.mid,7,2 3 5,1,,,,4
Peel_Me_A_Grape.MID,7,6,1,,,,3 4 5
Recado.MID,15,6 8 11,1,,,,3 4 5 9 10 14 15
rippingtons_the_dream_of_the_sirens.mid,15,7 11 13,2,,,,1 3 4 5 6 8 9 12 14 15
santana_samba_pa_ti_xg.mid,19,4,5,,,,6 7
Scotch_and_Soda.MID,7,6,1,,,,3
shakatak_nightbirds.mid,11,2 5 10 11,1,,,,3 4 6 7 8
Slow_Hot_Wind.MID,7,6,1,,,,3 4 5
someday.mid,7,6,2,,,,1
SOMEDAY_YOULL_BE_SORRY.MID,7,6,1,,,,3
sonny_rollins_airegin_2.mid,19,7 8 9 10 11 12,5,,,,6
STABLEMATES.MID,7,6,1,,,,3
Sweet_Georgie_Fame.MID,7,6,1,,,,3 4
THE_PARTYS_OVER.MID,7,6,1,,,,3
THE_SHEIK_OF_ARABY.MID,7,6,1,,,,3
TheOddCpl.mid,30,4 5 6 9 10,2,,,,3 7 8 11 12 13 14 15 16
UNE_CHANSONETTE_OPEN_THE_S.MID,7,6,1,,,,3 4 5
WAVE.MID,7,6,1,,,,3 7
WE_ARE_THE_PEOPLE.MID,7,6,1,,,,3 4
wild_west_classy_lady_xg.mid,17,6 7,1,,,,3 4 5
YOU_DONT_KNOW_WHAT_LOVE_IS.MID,7,6,1,,,,3
YOU_TOOK_ADVANTAGE_OF_ME.MID,7,6,1,,,,3
