"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
Abba_Angel_eyes.kar,15,3,7,,,,4 5 6 9 10
Abba_Another_town_another_train.kar,14,5,4,,,,3 6 8
Abba_Dancing_Queen_4.kar,12,3,4,,,,5 6 7 8 9 10 11
Ace_of_base_Dont_turn_around.kar,16,3,5,,,,4 6 7 8 9 10 11 12 13 14 15
Ace_of_base_The_sign.kar,28,3,6,,,,4 5 7 8 9 10 11 12
Aja.kar,13,3,9,,,,4 5 6 7 8 10
Aladin_Le_Reve_bleu.kar,8,3,7,,,,4 5 6
Alain_Morisod_Sweet_People_Les_trois_cloches.kar,19,4 16,7 18,,,,5 6 8 10 11 12 13 14 15 17 19
Alain_Souchon_Foule_sentimentale.kar,10,4,10,,,,3 5 6 7 9
Alain_Souchon_Ya_de_la_rumba_dans_lair.kar,17,6,8,,,,7 9 10 11 12 13 14 15 17
Alan_Jackson_Tall_tall_trees.kar,11,11,3,,,,4 5 6 7 8 9
Alanis_Morissette_Ironic.kar,11,3,5,,,,4 6 7 8 9 10
Alanis_Morissette_You_oughta_know.kar,10,8,6,,,,7 9
All_Four_One_I_swear.kar,19,5,3,,,,4 6 7 8 9 15
Alliage_Lucy.kar,13,4,2,,,,1 3 5 6 7 8 9 11
Almeno_tu_nelluniverso_Mia_Martini.kar,19,5,3,,,,4 6 7 8 9 10
Andre_Lejeune_Joue_moi_un_rigodon.kar,11,7,1 11,,,,3 4 5 6
Axelle_Red_Le_monde_tourne_mal.kar,14,7,5,,,,4 6 8 9 10 11 12 14
Beatles_I_saw_her_standing_there.kar,12,11,6,,,,4 7 8 9
Beatles_Isolation.kar,16,3 8,5,,,,4 7
Bruce_Springsteen_Human_Touch_4.kar,16,9,3,,,,4 5 6 7 8
Ce_soir_on_danse_Cocktail_Surprise.kar,29,12,5,,,,3 4 6 7 8 9 11
Celine_Dion_Pour_que_tu_maimes_encore.kar,16,6,4,,,,3 5 7 8 9 10 11 13 14 15 16
Celine_Dion_When_I_need_you.kar,17,9,3,,,,4 5 6 7 8
Chicago_If_You_Leave_Me_Now.kar,11,3,5,,,,4 6 7 8 9 10
Claude_Francois_Une_chanson_populaire.kar,11,7,5,,,,4 6 8 9 10
Dalida_Besame_mucho.kar,14,5,3,,,,4 6 7
Danny_Brillant_Toi_et_moi.kar,15,6,4,,,,3 5 7 8 9 10 11 13 14 15
Daraiche_Les_cowboys_du_Quebec.kar,16,6,4,,,,5 7 8 9 10 12 13
Dario_Moreno_La_marmite.kar,9,5,3,,,,4 6 7 8
Divers_Comptines_Ah_vous_dirai_je_Maman_b.kar,9,3,5,,,,4 6 7 8 9
Divers_Comptines_Jai_du_bon_tabac.kar,12,5,6,,,,3 4
Donald_Lautrec_Des_betises.kar,18,3,4,,,,5 6 7 8
Eagles_Lyin_eyes_9.kar,12,11,6,,,,4 5 7 8 9
Elton_John_Believe_4.kar,17,3,4,,,,5 6 7 8 9 10 12 13 14 15 16
Eric_Clapton_After_Midnight.kar,14,13,10 12,,,,4 5 6 7 8 9
Eurythmics_Sweet_Dreams.kar,16,3,5,,,,4 6 7 8 9 10 11 12 13 14 15
Four_Seasons_December_1963_Oh_What_A_Night.kar,13,3,9,,,,4 5 6 7 8 10 11 13
France_Gall_Resiste.kar,25,3,,,,,4 5 6 7 14 24
Garth_Brooks_Longneck_bottle.kar,13,5,3,,,,4 6 7 8 9 10 12 13
Genesis_I_cant_dance_4.kar,13,5,,,,,4 6 7 8 13
Genesis_Jesus_He_knows_me_7.kar,48,9,4,,,,5 6 7 8 10 11 12 13 14 15 16
George_Strait_Were_all_y_shouldnt_be_doing_this.kar,13,3,12,,,,4 5 6 7 8 9 10 11
Georges_Brassens_Le_verger_du_roi_Louis.kar,5,3,5,,,,4
Georges_Harisson_Here_Comes_The_Sun.kar,12,3,7,,,,4 5 6 8 9 10
Gerry_Boulet_Un_beau_grand_bateau.kar,17,3,4,,,,5 6 7 8 9 10 11 13 14 15 16 17
Gloria_Estefan_Con_Los_Anos_Que_Me_Quedan.kar,10,3,4,,,,5 6 8 9
Henri_Salvador_Une_chanson_douce.kar,7,6 7,5,,,,4
Isabelle_Adjani_Pull_Marine.kar,11,7,5,,,,4 6 8 9 10
Jean_Jacques_Goldman_Le_coureur.kar,11,4,2,,,,1 3 5 6 7 8 9
Jimmy_Buffet_Son_Of_A_Son_Of_A_Sailor.kar,15,3,4,,,,5 6 7 8 9 10 11
Joan_Jett_and_The_Blackhart_I_hate_myself_for_loving_you.kar,10,3,4,,,,5 6 7 8 9
Johnny_Halliday_Excuse_moi_partenaire.kar,17,3,5,,,,4 6 7 8 9 10 11 13 14 15 16
JosT_VTlez_Bailemos_un_vals.kar,14,4,5,,,,3 6 7 10
la_copa.kar,14,6,4,,,,5 7 8 9 11 12 13 14
La_Orquesta_Mondrag_n_Chocolate_y_ron_4.kar,10,6,4,,,,3 5 7 8
LaCopaDeLaVida_RickyMartin.kar,14,6,4,,,,5 7 8 9 11 12 13 14
Lionel_Richie_Say_you_say_me_4.kar,17,3,5,,,,4 6 7 8 9 10 11 12 13 14 15 16
Los_Angeles_Momentos.kar,8,4,,,,,3 5 6 7
Los_Cucas_La_vida_es_un_carnaval_4.kar,16,6,4,,,,3 5 7 8 9 10 11 13 14 15
Los_Del_Rio_Macarena.kar,13,3,5,,,,6 7 8 9 10 12 13
Luc_Plamondon_En_ville.kar,13,6,4 5,,,,3 7 8 9 10 11 13
Luis_Miguel_Y.kar,12,6,4,,,,3 5 7 8 9 10
MaluDuele.kar,15,7,4,,,,5 6 8 9 10 11 12 13
Marcel_Martel_Bobbie_McGee.kar,16,4,3,,,,5 6 7 8
Michael_Bolton_A_whitershade_of_pale_4.kar,9,3,4,,,,5 6 7
Michael_Johnson_Bluer_than_Blue.kar,12,6,9,,,,3 4 5 8 10
Michel_Sardou_Le_rire_du_sergent.kar,16,3,5,,,,4 6 7 8 9 10 12 13 14 15
Michel_Sardou_Les_bals_populaires.kar,12,5,4,,,,3 6 7 8 9 10 12
Michel_Sardou_Les_Ricains.kar,11,5,3,,,,4 6 7 8 9 10
Mireille_Mathieu_La_Derniere_valse.kar,17,6,8,,,,3 4 5 7 9
Mireille_Mathieu_Une_femme_amoureuse.kar,12,3,6,,,,4 5 7 8 9 10 11
MYRIAM_HERNANDEZ_Peligroso_amor.kar,20,9,4,,,,3 5 6 7
Neil_Diamond_Love_on_the_Rocks.kar,12,12,4,,,,3 5 6 7 8 9 10
Non_dTfnini_POR_DEBAJO_DE_LA_MESA_LUIS_MIGUEL.kar,11,4,5,,,,3 6 7 8 9
Notre_Dame_de_Paris_Ave_maria_paien.kar,9,4,1,,,,2 3 5 6 7 8 9
OBK_El_cielo_no_entiende_4.kar,17,6,4,,,,3 5 7 8 9 10 11 13 14 16
Olivia_Newton_John_Physical.kar,15,3,5,,,,6 7 8 9 10 11 12 13 14 15
Operacion_triunfo_Me_ire.kar,15,9,5,,,,4 6 7 8 10 11 12
Ophelie_Winter_Je_marche_a_lenvers.kar,11,4 6,2,,,,1 3 5 7 8 9
Patrick_Normand_Cest_la_saison.kar,13,3 8,9,,,,4 5 6 7
Rika_Zarai_Alors_je_chante.kar,11,4,2,,,,1 3 5 6 7 8 9 11
Rita_Mitsouko_Marcia_Baila.kar,14,3,5,,,,4 6 7 8 9 10 12 13
Roch_Voisine_Jentends_frapper.kar,11,6,4,,,,3 5 7 8 9 10
Salvatore_Adamo_Javais_oublie_que_les_roses.kar,12,6,4,,,,3 5 7 8 9 10 11
Sonofaso.kar,15,3,4,,,,5 6 7 8 9 10 11
Telephone_Je_cherche_une_petite_fille.kar,12,3,4,,,,5 6 7 8 9 11
Teri_Moise_Je_serai_la.kar,12,1,2,,,,3 4 5 6 7 8 10 11
Travis_Tritt_Heres_a_quarter_call_someone_who_cares.kar,12,7,3,,,,5 6 8
Una_carezza_in_un_pugno_Adriano_Celentano.kar,12,5,3,,,,4 6 7 8 9 10
Who_Baba_ORiley.kar,13,4,8,,,,3 5 6 7 9 10 11 12
Yves_Montand_A_bicyclette.kar,9,3,5,,,,4 6 7
Yves_Simon_Diabolo_menthe.kar,12,6,4,,,,5 7 9 10 11
