"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
A_SUNDAY_KIND_OF_LOVE.MID,7,6,1,,,,3
ANTHROPOLOGY.MID,7,6,1,,,,3
Black_Coffee.MID,7,6,1,,,,3
BOTH_SIDES_NOW.MID,7,6,1,,,,3 4 5
BULLET_TRAIN.MID,7,6,1,,,,3 4
chromBlinF.mid,4,3,1,,,,2
CLOSE_TO_YOU.MID,7,6,1,,,,3 4 5
COTTONTAIL.MID,7,6,1,,,,3
CRAZY.MID,7,6,1,,,,3 4 5
DANNY_BOY.MID,7,6,1,,,,3
don_grusin_sailing_at_night.mid,8,3 4,2,,,,1
EDELWEISS.MID,7,6,1,,,,3 4 5
hancock_little_sunflower.mid,7,6,2,,,,1 3 4 5
Havona.MID,7,6,1,,,,3 4
henken_sascha_beyond_the_skies_xg.mid,9,,,,,9,9
I_Cant_Get_Started.MID,7,6,1,,,,3
Ill_Never_Smile_Again.MID,7,6,1,,,,3 4 5
IM_WALKIN.MID,7,6,1,,,,3 4
JINRIKSHA.MID,7,6,1,,,,3 4
MARGIE.MID,7,6,1,,,,3
MOON_RIVER.MID,7,6,1,,,,3 4 5
More_I_See_You_The.MID,7,6,1,,,,3
NIGHT_DREAMER.MID,7,6,1,,,,3 4
PEACE.MID,7,6,1,,,,3
route66.mid,16,7 8 9,5,,,,6
Someday_my_prince_will_come.MID,7,6,1,,,,3 4
SWEET_DREAMS.MID,7,6,1,,,,3 4 5
Sweet_Georgie_Fame.MID,7,6,1,,,,3 4
SweetSixteen.mid,10,1 4 5 7 8,2,,,,3 6 10
TakinAC.mid,3,,1,,,,2
Where_Are_You.MID,11,7 9 10 11,1,,,,3
WHO_WHAT_WHY.MID,7,6,1,,,,3 4 5
WWHappens.mid,30,16,2,,,,3 4 5 6 7 8 9 10 11 12 13 14 15
