"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
Abba_Rock_me.kar,15,3,4,,,,5 7 8 9 10
All_for_one_I_swear_4.kar,19,5,3,,,,4 6 7 8 9 15
Be_Gees_Staying_Alive_4.kar,12,3,6,,,,4 5 7 8 9 10 11
Bee_Gees_Staying_alive.kar,12,3,6,,,,4 5 7 8 9 10 11
Charles_Aznavour_Tu_te_laisses_aller.kar,17,1,4,,,,3 5 6 7 8 9 10 12 13 14 15 16
Claude_Valade_Aide_moi_a_passer_la_nuit.kar,11,3,5,,,,6 7 8 9 10 11
Cole_Porter_What_Is_This_Thing_Called_Love.kar,17,3,5,,,,6 7 8 9 10 11 12 13 14 15 16 17
Dirty_Dancing_Shes_like_the_wind.kar,25,19,9,,,,3 4 5 6 7 10 11 12 13 14 15 16 18 20 22 23 25
Divers_Comptines_Ah_vous_dirai_je_Maman.kar,9,,5,,,,3 4 6 7 8 9
Earth_Wind_And_Fire_Fantasy2.kar,17,3,6,,,,4 5 7 8 9 10 11 12 13 14 15 16
Edith_Piaf_Mon_Dieu.kar,12,7,5,,,,4 6 8 9 10 11 12
Elton_John_Believe.kar,17,3,4,,,,5 6 7 8 9 10 12 13 14 15 16
Florent_Pagny_Savoir_aimer.kar,17,3,5,,,,4 6 7 8 9 10 12 13 14 15 16
Francis_Cabrel_Elle_ecoute_pousser_de_fleurs.kar,8,4,,,,,5 6 8
Georges_Brassens_Le_mouton_de_Panurge.kar,5,3,5,,,,4
JOSE_EL_FRANCES_Ya_no_quiero_tu_querer.kar,11,6,4,,,,3 5 7 8 9
JosT_Feliciano_Cenizas.kar,12,8,4,,,,3 5 6 7 10 11
Juan_Gabriel_Te_sigo_amando_11.kar,13,13,4,,,,5 6 7 8 9 10
Laam_Les_enfants_de_lAn_2000.kar,17,3 17,5,,,,4 6 7 8 9 10 11 13 14 15 16
Patrick_Juvet_Ou_sont_les_femmes.kar,16,6,4,,,,3 5 7 8 9 10 11 13 14 15 16
Richard_Anthony_A_present_tu_peux_ten_aller.kar,11,3,4,,,,5 6 7 8 9 10
Sonofaso.kar,15,3,4,,,,5 6 7 8 9 10 11
