Filename,num_track,prob_melody,prob_bass,prob_accomp,ocuppation,tag,track_label
Romanticism_Romanticism_Beethoven_Sonate15_Opus28_Pastorale.mid,1,1.00,0.00,0.30,0.83,melody,No Name
Romanticism_Romanticism_Beethoven_Sonate15_Opus28_Pastorale.mid,2,0.10,0.00,0.60,0.42,accomp,No Name
Romanticism_Romanticism_Beethoven_Sonate15_Opus28_Pastorale.mid,3,0.10,0.00,1.00,0.15,accomp,No Name
Romanticism_Romanticism_Beethoven_Sonate15_Opus28_Pastorale.mid,4,0.00,0.50,0.40,0.40,bass,No Name
Romanticism_Romanticism_Beethoven_Sonate15_Opus28_Pastorale.mid,5,0.05,0.60,0.40,0.63,bass,No Name
Romanticism_Romanticism_Rossini_barber-overture.mid,5,0.50,0.00,0.70,0.12,accomp,
Romanticism_Romanticism_Rossini_barber-overture.mid,6,0.30,0.00,0.65,0.19,accomp,
Romanticism_Romanticism_Rossini_barber-overture.mid,7,0.50,0.00,0.30,0.39,melody,
Romanticism_Romanticism_Rossini_barber-overture.mid,8,0.00,0.00,0.90,0.27,accomp,
Romanticism_Romanticism_Rossini_barber-overture.mid,9,0.30,0.00,0.60,0.81,accomp,
Romanticism_Romanticism_Rossini_barber-overture.mid,10,0.46,0.02,0.60,0.81,accomp,
Romanticism_Romanticism_Rossini_barber-overture.mid,11,0.80,0.00,0.20,0.55,melody,
Romanticism_Romanticism_Rossini_barber-overture.mid,12,0.10,0.00,0.97,0.55,accomp,
Romanticism_Romanticism_Rossini_barber-overture.mid,13,0.60,0.00,0.60,0.36,accomp,
Romanticism_Romanticism_Rossini_barber-overture.mid,14,0.00,0.10,1.00,0.54,accomp,
Romanticism_Romanticism_Rossini_barber-overture.mid,15,0.00,1.00,0.10,0.45,bass,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,1,0.90,0.00,0.30,0.63,melody,Cavalry of
XXCentury_XX-Nationalism_Knipper_cavalry.mid,2,1.00,0.00,0.00,0.61,melody,the Steppes
XXCentury_XX-Nationalism_Knipper_cavalry.mid,3,0.50,0.00,0.50,0.63,melody,by Lev Knipper (1898-?)
XXCentury_XX-Nationalism_Knipper_cavalry.mid,4,0.20,0.00,0.50,0.75,melody,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,5,0.10,0.00,0.70,0.70,accomp,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,6,0.00,0.00,1.00,0.28,accomp,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,7,0.30,0.00,0.60,0.60,accomp,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,8,0.00,0.00,1.00,0.50,accomp,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,9,0.00,0.20,0.80,0.44,accomp,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,10,0.00,0.70,0.20,0.29,bass,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,13,0.60,0.00,0.70,0.67,accomp,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,14,0.30,0.00,0.80,0.69,accomp,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,15,0.30,0.00,1.00,0.73,accomp,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,16,0.10,0.00,0.80,0.70,accomp,
XXCentury_XX-Nationalism_Knipper_cavalry.mid,17,0.00,1.00,0.10,0.29,bass,
FW061.mid,1,0.76,0.00,0.10,0.98,melody,Track 1 BBOK
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,1,0.70,0.00,0.00,0.83,melody,Staff-1
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,2,0.80,0.00,0.00,0.83,melody,Staff-9
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,3,0.90,0.00,0.50,0.83,melody,Staff-2
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,4,0.00,0.00,0.90,0.74,accomp,Staff-3
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,5,0.13,0.00,0.90,0.74,accomp,Staff-10
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,6,0.10,0.00,1.00,0.74,accomp,Staff-4
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,7,0.60,0.00,0.50,0.81,bass,Staff-11
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,8,0.00,0.00,1.00,0.46,accomp,Staff-6
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,9,0.25,0.00,1.00,0.47,accomp,Staff-7
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,10,0.10,0.40,0.90,0.26,accomp,Staff-5
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,11,0.40,0.00,0.70,0.73,piano_rh,Right Hand
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,12,0.00,0.30,0.60,0.42,piano_lh,Left Hand
Romanticism_Romanticism_Bizet_bizet_carmen_19.mid,13,0.03,0.00,1.00,0.27,accomp,Staff-8
mozart15.mid,1,0.00,1.00,0.00,0.50,bass,Bass    (BB)
mozart15.mid,2,0.00,0.00,1.00,0.69,accomp,Piano   (BB)
mozart15.mid,3,0.00,0.00,1.00,0.48,accomp,Guitar  (BB)
mozart15.mid,4,0.10,0.10,1.00,0.82,accomp,Strings (BB)
mozart15.mid,5,1.00,0.00,0.00,0.69,melody,Melody  (BB)--BBOK
Medieval_ArsNova_Machau_machaut-b39.mid,2,1.00,0.00,0.10,0.83,melody,Mes esperis se combat               
Medieval_ArsNova_Machau_machaut-b39.mid,3,0.00,0.20,0.80,0.94,accomp,(Guillaume de Machaut)              
Medieval_ArsNova_Machau_machaut-b39.mid,4,0.00,0.90,0.00,0.92,bass,seq by n.nakamura, 2006.            
Renaissance_Renaissance-Late_Victoria_TR09-Animam_Meam_Dilectam-s.mid,1,1.00,0.00,0.00,0.62,melody,s
Renaissance_Renaissance-Late_Victoria_TR09-Animam_Meam_Dilectam-s.mid,2,0.24,0.00,0.76,0.88,accomp,c
Renaissance_Renaissance-Late_Victoria_TR09-Animam_Meam_Dilectam-s.mid,3,0.34,0.00,0.67,0.89,accomp,t
Renaissance_Renaissance-Late_Victoria_TR09-Animam_Meam_Dilectam-s.mid,4,0.17,0.82,0.00,0.68,bass,b
arias_kv340a.mid,1,0.90,0.00,0.10,0.60,melody,BBOK
arias_kv340a.mid,2,0.20,0.00,0.97,0.69,accomp,Pianoforte
arias_kv340a.mid,3,0.00,0.00,0.93,0.14,accomp,Pianoforte
arias_kv340a.mid,4,0.00,0.40,0.50,0.66,bass,Pianoforte
arias_kv340a.mid,5,0.00,0.80,0.20,0.10,bass,Pianoforte
o_mistris_mine.mid,2,1.00,0.00,0.00,0.83,melody,1 BBOK
o_mistris_mine.mid,3,0.25,0.00,0.40,0.82,accomp,2
o_mistris_mine.mid,4,0.10,0.00,0.78,0.80,accomp,3
o_mistris_mine.mid,5,0.00,1.00,0.00,0.82,bass,4
Renaissance_Renaissance-Late_Victoria_Magi_Viderunt_Stellam-s.mid,1,1.00,0.00,0.00,0.93,melody,s
Renaissance_Renaissance-Late_Victoria_Magi_Viderunt_Stellam-s.mid,2,0.00,0.00,0.90,0.93,accomp,c
Renaissance_Renaissance-Late_Victoria_Magi_Viderunt_Stellam-s.mid,3,0.00,0.00,0.90,0.89,accomp,t
Renaissance_Renaissance-Late_Victoria_Magi_Viderunt_Stellam-s.mid,4,0.00,1.00,0.00,0.88,bass,b
Renaissance_Renaissance-Late_Victoria_OD-05-Offertorium-b.mid,1,0.90,0.00,0.00,0.87,melody,1s
Renaissance_Renaissance-Late_Victoria_OD-05-Offertorium-b.mid,2,0.90,0.00,0.42,0.77,melody,2s
Renaissance_Renaissance-Late_Victoria_OD-05-Offertorium-b.mid,3,0.10,0.00,0.97,0.90,accomp,c
Renaissance_Renaissance-Late_Victoria_OD-05-Offertorium-b.mid,4,0.10,0.10,0.77,0.77,accomp,1t
Renaissance_Renaissance-Late_Victoria_OD-05-Offertorium-b.mid,5,0.00,0.00,1.00,0.77,accomp,2t
Renaissance_Renaissance-Late_Victoria_OD-05-Offertorium-b.mid,6,0.00,1.00,0.00,0.80,bass,b
SV06_Lauda_Jerusalem_b.mid,1,1.00,0.00,0.00,0.89,melody,s BBOK
SV06_Lauda_Jerusalem_b.mid,2,0.00,0.00,0.90,0.91,accomp,c
SV06_Lauda_Jerusalem_b.mid,3,0.20,0.00,0.90,0.94,accomp,t
SV06_Lauda_Jerusalem_b.mid,4,0.00,0.90,0.00,0.77,melody,b BBOK
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,1,0.80,0.00,0.00,0.42,melody,Symphony No.1 in D "Classical"
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,2,0.30,0.00,0.75,0.40,accomp,by Serge Prokofiev (1891-1945)
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,3,0.10,0.00,1.00,0.38,accomp,3rd movement - (Gavotte)
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,4,0.00,0.10,1.00,0.36,accomp,MIDI by Marty Weimer 5/25/96
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,5,0.20,0.00,1.00,0.15,accomp,weimermt@libby.org
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,6,0.00,0.00,1.00,0.16,accomp,special thanks to Dennis Womack for the music
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,7,0.00,0.00,1.00,0.19,accomp,dwomack@worldnet.att.net
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,8,0.40,0.00,0.50,0.57,accomp,
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,9,0.90,0.00,0.30,0.57,accomp,
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,10,0.10,0.00,0.80,0.57,accomp,
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,11,0.00,0.00,0.85,0.47,accomp,
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,12,0.00,1.00,0.20,0.32,bass,
vivldi06.mid,1,0.00,0.90,0.10,0.77,bass,Bass    (BB)
vivldi06.mid,2,0.10,0.00,1.00,0.40,accomp,Piano   (BB)
vivldi06.mid,3,0.00,0.00,1.00,0.56,accomp,Guitar  (BB)
vivldi06.mid,4,0.00,0.00,1.00,0.55,accomp,Strings (BB)
vivldi06.mid,5,0.80,0.00,0.10,0.66,melody,Melody  (BB)--BBOK
Romanticism_Romantic-Nationalism_Mussorgsky_pictures-promenade.mid,3,1.00,0.00,0.00,0.86,melody,Woodwinds I
Romanticism_Romantic-Nationalism_Mussorgsky_pictures-promenade.mid,4,0.70,0.00,0.50,0.78,melody,Woodwinds II
Romanticism_Romantic-Nationalism_Mussorgsky_pictures-promenade.mid,5,0.00,0.00,0.93,0.58,accomp,Horns
Romanticism_Romantic-Nationalism_Mussorgsky_pictures-promenade.mid,6,0.30,0.00,0.90,0.48,melody,Trumpets
Romanticism_Romantic-Nationalism_Mussorgsky_pictures-promenade.mid,7,0.00,0.80,0.40,0.64,bass,Trombones
Romanticism_Romantic-Nationalism_Mussorgsky_pictures-promenade.mid,8,0.50,0.00,0.40,0.98,accomp,High Strings
Romanticism_Romantic-Nationalism_Mussorgsky_pictures-promenade.mid,9,0.00,0.70,0.40,0.98,bass,Low Strings
Romanticism_Romanticism_Brahms_Piano_Quintet_in_Fm_Op.34_mov1.mid,1,0.00,0.00,0.90,0.84,accomp,Piano
Romanticism_Romanticism_Brahms_Piano_Quintet_in_Fm_Op.34_mov1.mid,2,0.90,0.00,0.30,0.71,melody,Violin I
Romanticism_Romanticism_Brahms_Piano_Quintet_in_Fm_Op.34_mov1.mid,3,0.30,0.00,0.80,0.62,accomp,Violin II
Romanticism_Romanticism_Brahms_Piano_Quintet_in_Fm_Op.34_mov1.mid,4,0.40,0.00,0.90,0.54,accomp,Viola
Romanticism_Romanticism_Brahms_Piano_Quintet_in_Fm_Op.34_mov1.mid,5,0.00,0.60,0.20,0.58,bass,Violoncello
Romanticism_Romanticism_Mendelssohn_4403precm.mid,2,0.80,0.00,0.00,0.80,melody,Manual
Romanticism_Romanticism_Mendelssohn_4403precm.mid,3,0.20,0.10,1.00,0.56,accomp,Manual
Romanticism_Romanticism_Mendelssohn_4403precm.mid,4,0.00,0.10,0.90,0.53,accomp,Pedal 8´
Romanticism_Romanticism_Mendelssohn_4403precm.mid,5,0.10,1.00,0.00,0.53,bass,Pedal 16´
Renaissance_Renaissance-Late_Victoria_Te_Lucis_Ante_Terminum-c.mid,1,0.97,0.00,0.07,0.91,melody,s
Renaissance_Renaissance-Late_Victoria_Te_Lucis_Ante_Terminum-c.mid,2,0.07,0.00,0.80,0.94,accomp,c
Renaissance_Renaissance-Late_Victoria_Te_Lucis_Ante_Terminum-c.mid,3,0.45,0.00,0.55,0.91,accomp,t
Renaissance_Renaissance-Late_Victoria_Te_Lucis_Ante_Terminum-c.mid,4,0.20,0.93,0.00,0.91,bass,b
moz_req.mid,1,0.30,0.00,0.80,1.00,accomp,Acoustic Grand Piano
moz_req.mid,2,0.10,0.30,0.70,0.98,accomp,Instrument2
Renaissance_Renaissance-Late_Victoria_SV02-Confitebor_Tibi.mid,1,1.00,0.00,0.00,0.95,melody,s
Renaissance_Renaissance-Late_Victoria_SV02-Confitebor_Tibi.mid,2,0.10,0.00,1.00,0.95,accomp,c
Renaissance_Renaissance-Late_Victoria_SV02-Confitebor_Tibi.mid,3,0.00,0.00,1.00,0.95,accomp,t
