Filename,num_track,prob_melody,prob_bass,prob_accomp,ocuppation,tag,track_label
all_jarreau_moonlighting.mid,3,0.00,1.00,0.00,0.72,bass,Moonlight 
all_jarreau_moonlighting.mid,4,0.00,0.00,1.00,0.95,accomp,Moonlight 
all_jarreau_moonlighting.mid,5,1.00,0.00,0.20,0.62,melody,Moonlight 
all_jarreau_moonlighting.mid,6,0.10,0.00,0.90,0.74,accomp,Moonlight 
all_jarreau_moonlighting.mid,7,0.10,0.00,0.90,0.13,accomp,Moonlight 
all_jarreau_moonlighting.mid,8,0.00,0.00,0.80,0.09,accomp,Moonlight 
all_jarreau_moonlighting.mid,10,0.40,0.00,0.50,0.22,melody,Moonlight 
all_jarreau_moonlighting.mid,11,0.40,0.00,0.70,0.15,accomp,Moonlight 
ellen.MID,1,0.00,1.00,0.00,0.84,bass,Bass ( BB ) 
ellen.MID,3,0.00,0.00,1.00,0.98,accomp,Piano ( BB )
ellen.MID,4,0.10,0.00,0.40,0.70,accomp,Guitar ( BB ) 
ellen.MID,5,0.20,0.00,0.80,0.88,accomp,Strings ( BB ) 
ellen.MID,6,1.00,0.00,0.10,0.71,melody,Melody ( BB )--BBOK
STAR_CROSSED_LOVERS.MID,1,0.00,1.00,0.00,0.93,bass,Bass ( BB ) 
STAR_CROSSED_LOVERS.MID,3,0.00,0.00,1.00,0.77,accomp,Piano ( BB )
STAR_CROSSED_LOVERS.MID,6,1.00,0.00,0.00,0.89,melody,Melody ( BB )--BBOK
carchase.mid,2,0.10,0.10,1.00,0.15,accomp,Piano               
carchase.mid,3,0.00,0.90,0.00,0.75,bass,Bass                
carchase.mid,4,0.90,0.00,0.20,0.38,melody,Vibes               
carchase.mid,5,0.80,0.00,0.40,0.35,melody,Alto Sax            
carchase.mid,6,0.00,0.00,0.70,0.26,accomp,Tenor Sax           
carchase.mid,7,0.00,0.00,0.50,0.30,accomp,Baritone Sax        
carchase.mid,8,0.00,0.50,0.70,0.10,accomp,Brass + Lead        
carchase.mid,9,0.00,0.00,1.00,0.23,accomp,Trumpet             
carchase.mid,10,0.20,0.00,0.60,0.23,accomp,Trombone            
carchase.mid,11,0.00,0.10,0.80,0.46,accomp,Synth Drum          
carchase.mid,12,0.00,0.10,1.00,0.28,accomp,Guitar              
Con_Alma.MID,1,0.00,1.00,0.00,0.91,bass,Bass ( BB ) 
Con_Alma.MID,3,0.00,0.00,1.00,0.77,accomp,Piano ( BB )
Con_Alma.MID,6,0.70,0.00,0.10,0.89,melody,Melody ( BB )--BBOK
kern_all_the_things_you_are.mid,1,0.00,1.00,0.00,0.89,bass,Bass
kern_all_the_things_you_are.mid,3,0.00,0.00,0.50,0.60,accomp,LeadPiano
kern_all_the_things_you_are.mid,4,1.00,0.00,0.00,0.41,melody,Sax1
kern_all_the_things_you_are.mid,5,0.20,0.00,0.70,0.45,melody,Sax 2
WHO_ARE_YOU.MID,1,0.00,1.00,0.00,0.82,bass,Bass ( BB ) 
WHO_ARE_YOU.MID,3,0.00,0.00,1.00,0.87,accomp,Piano ( BB )
WHO_ARE_YOU.MID,4,0.00,0.00,1.00,0.59,accomp,Guitar ( BB ) 
WHO_ARE_YOU.MID,5,0.00,0.00,1.00,0.48,accomp,Strings ( BB ) 
WHO_ARE_YOU.MID,6,1.00,0.00,0.00,0.93,melody,Melody ( BB )--BBOK
PALLADIUM_Try_a_SYNTH_pat.MID,1,0.00,1.00,0.00,0.75,bass,Bass ( BB ) 
PALLADIUM_Try_a_SYNTH_pat.MID,3,0.00,0.00,1.00,0.66,accomp,Piano ( BB )
PALLADIUM_Try_a_SYNTH_pat.MID,4,0.10,0.00,1.00,0.52,accomp,Guitar ( BB ) 
