Filename,num_track,prob_melody,prob_bass,prob_accomp,ocuppation,tag,track_label
all_jarreau_moonlighting.mid,3,0.00,1.00,0.00,0.72,bass,Moonlight 
all_jarreau_moonlighting.mid,4,0.00,0.00,0.90,0.95,accomp,Moonlight 
all_jarreau_moonlighting.mid,5,0.90,0.00,0.10,0.62,melody,Moonlight 
all_jarreau_moonlighting.mid,6,0.10,0.00,0.90,0.74,accomp,Moonlight 
all_jarreau_moonlighting.mid,7,0.10,0.00,0.80,0.13,accomp,Moonlight 
all_jarreau_moonlighting.mid,8,0.00,0.00,0.70,0.09,accomp,Moonlight 
all_jarreau_moonlighting.mid,10,0.80,0.00,0.30,0.22,melody,Moonlight 
all_jarreau_moonlighting.mid,11,0.20,0.00,0.60,0.15,accomp,Moonlight 
ellen.MID,1,0.00,1.00,0.00,0.84,bass,Bass ( BB ) 
ellen.MID,3,0.00,0.00,1.00,0.98,accomp,Piano ( BB )
ellen.MID,4,0.00,0.00,0.60,0.70,accomp,Guitar ( BB ) 
ellen.MID,5,0.30,0.00,0.70,0.88,accomp,Strings ( BB ) 
ellen.MID,6,1.00,0.00,0.00,0.71,melody,Melody ( BB )--BBOK
STAR_CROSSED_LOVERS.MID,1,0.00,1.00,0.00,0.93,bass,Bass ( BB ) 
STAR_CROSSED_LOVERS.MID,3,0.00,0.00,1.00,0.77,accomp,Piano ( BB )
STAR_CROSSED_LOVERS.MID,6,1.00,0.00,0.00,0.89,melody,Melody ( BB )--BBOK
ITS_YOU_OR_NO_ONE.MID,1,0.00,1.00,0.00,0.90,bass,Bass ( BB ) 
ITS_YOU_OR_NO_ONE.MID,3,0.00,0.00,1.00,0.76,accomp,Piano ( BB )
ITS_YOU_OR_NO_ONE.MID,6,0.90,0.00,0.10,0.25,melody,Melody ( BB )--BBOK
kern_all_the_things_you_are.mid,1,0.00,1.00,0.00,0.89,bass,Bass
kern_all_the_things_you_are.mid,3,0.30,0.00,0.60,0.60,accomp,LeadPiano
kern_all_the_things_you_are.mid,4,0.90,0.00,0.10,0.41,melody,Sax1
kern_all_the_things_you_are.mid,5,0.10,0.00,0.80,0.45,melody,Sax 2
PALLADIUM_Try_a_SYNTH_pat.MID,1,0.00,1.00,0.00,0.75,bass,Bass ( BB ) 
PALLADIUM_Try_a_SYNTH_pat.MID,3,0.00,0.00,1.00,0.66,accomp,Piano ( BB )
PALLADIUM_Try_a_SYNTH_pat.MID,4,0.00,0.00,1.00,0.52,accomp,Guitar ( BB ) 
PALLADIUM_Try_a_SYNTH_pat.MID,6,0.70,0.00,0.10,0.67,melody,Melody ( BB )--BBOK
MILESTONES.MID,1,0.00,1.00,0.00,0.91,bass,Bass ( BB ) 
MILESTONES.MID,3,0.00,0.00,1.00,0.72,accomp,Piano ( BB )
MILESTONES.MID,4,0.00,0.00,0.90,0.32,accomp,Guitar ( BB ) 
MILESTONES.MID,6,0.30,0.00,0.80,0.79,melody,Melody ( BB )--BBOK
bbossaje.mid,1,0.80,0.00,0.30,0.36,melody,* Alto Saxophone 1 (Chris)
bbossaje.mid,2,0.40,0.00,0.60,0.20,accomp,* Alto Saxophone 2 (Chris)
bbossaje.mid,3,0.20,0.00,0.90,0.42,melody,* Tenor Saxophone 1 (Chris)
bbossaje.mid,4,0.00,0.00,0.80,0.20,accomp,Tenor Saxophone 2 (Chris)
bbossaje.mid,5,0.00,0.00,1.00,0.20,accomp,Baritone Saxophone (Chris)
bbossaje.mid,6,0.70,0.00,0.70,0.32,melody,* Trumpet 1 (Chris)
bbossaje.mid,7,0.30,0.00,0.70,0.18,accomp,* Trumpet 2 (Chris)
bbossaje.mid,8,0.70,0.00,0.50,0.35,melody,* Trumpet 3 (Chris)
bbossaje.mid,9,0.20,0.00,0.60,0.18,accomp,Trumpet 4 (Chris)
bbossaje.mid,10,0.10,0.00,0.80,0.10,accomp,* Trombone 1 (Chris)
bbossaje.mid,11,0.10,0.00,0.70,0.10,accomp,* Trombone 2 (Chris)
bbossaje.mid,12,0.00,0.00,0.80,0.10,accomp,Trombone 3 (Chris)
bbossaje.mid,13,0.00,0.10,1.00,0.10,accomp,Bass Trombone (Chris)
bbossaje.mid,14,0.70,0.00,0.10,0.51,melody,Guitar and Vibraphone (Chris)
bbossaje.mid,15,0.00,0.00,0.80,0.69,accomp,* Piano (Devian)
bbossaje.mid,16,0.00,1.00,0.00,0.69,bass,* Electric Bass (Devian)
Let_There_Be_Love.MID,1,0.00,1.00,0.00,0.93,bass,Bass ( BB ) 
Let_There_Be_Love.MID,3,0.00,0.00,1.00,0.92,accomp,Piano ( BB )
Let_There_Be_Love.MID,4,0.00,0.00,1.00,0.62,accomp,Guitar ( BB ) 
Let_There_Be_Love.MID,5,0.10,0.00,1.00,0.66,accomp,Strings ( BB ) 
Let_There_Be_Love.MID,6,1.00,0.00,0.00,0.84,melody,Melody ( BB )--BBOK
MY_BLUE_HEAVEN.MID,1,0.00,1.00,0.00,0.94,bass,Bass ( BB ) 
MY_BLUE_HEAVEN.MID,3,0.00,0.00,1.00,0.92,accomp,Piano ( BB )
MY_BLUE_HEAVEN.MID,4,0.00,0.00,1.00,0.62,accomp,Guitar ( BB ) 
MY_BLUE_HEAVEN.MID,5,0.00,0.00,1.00,0.51,accomp,Strings ( BB ) 
MY_BLUE_HEAVEN.MID,6,0.90,0.00,0.00,0.91,melody,Melody ( BB )--BBOK
MARYS_BOYCHILD.MID,1,0.00,1.00,0.00,0.82,bass,Bass ( BB ) 
MARYS_BOYCHILD.MID,3,0.20,0.00,0.90,0.72,accomp,Piano ( BB )
MARYS_BOYCHILD.MID,4,0.00,0.00,1.00,0.42,accomp,Guitar ( BB ) 
MARYS_BOYCHILD.MID,6,0.90,0.00,0.00,0.75,melody,Melody ( BB )--BBOK
It_hurts_me_to.MID,1,0.00,1.00,0.00,0.90,bass,Bass ( BB ) 
It_hurts_me_to.MID,3,0.00,0.00,1.00,0.79,accomp,Piano ( BB )
It_hurts_me_to.MID,6,0.70,0.00,0.70,0.92,melody,Melody ( BB )--BBOK
Moment_notice.MID,1,0.00,1.00,0.00,0.90,bass,Bass ( BB ) 
Moment_notice.MID,3,0.00,0.00,1.00,0.79,accomp,Piano ( BB )
Moment_notice.MID,6,0.90,0.00,0.00,0.78,melody,Melody ( BB )--BBOK
KING_OF_THE_ROAD.MID,1,0.00,1.00,0.00,0.82,bass,Bass ( BB ) 
KING_OF_THE_ROAD.MID,3,0.00,0.00,1.00,0.81,accomp,Piano ( BB )
KING_OF_THE_ROAD.MID,4,0.00,0.00,1.00,0.28,accomp,Guitar ( BB ) 
