Filename,num_track,prob_melody,prob_bass,prob_accomp,ocuppation,tag,track_label
Prince_Lets_Go_Crazy_4.kar,3,0.00,0.00,1.00,0.58,accomp,Organ
Prince_Lets_Go_Crazy_4.kar,4,0.00,0.90,0.00,0.69,bass,Bass
Prince_Lets_Go_Crazy_4.kar,5,0.10,0.00,1.00,0.20,accomp,Brass
Prince_Lets_Go_Crazy_4.kar,6,0.00,0.00,1.00,0.26,melody,Vocal--BBOK
Prince_Lets_Go_Crazy_4.kar,7,0.70,0.00,0.50,0.42,melody,Glock
Prince_Lets_Go_Crazy_4.kar,8,0.10,0.00,0.90,0.71,accomp,Guitar
Prince_Lets_Go_Crazy_4.kar,9,0.00,0.00,1.00,0.70,accomp,Guitar
Prince_Lets_Go_Crazy_4.kar,10,0.00,0.00,1.00,0.10,accomp,Strongs
Prince_Lets_Go_Crazy_4.kar,11,0.00,0.00,1.00,0.34,accomp,Harmonics
Prince_Lets_Go_Crazy_4.kar,14,0.10,0.00,0.90,0.72,accomp,Guitar
Prince_Lets_Go_Crazy_4.kar,15,0.00,0.00,1.00,1.00,accomp,
Danny_Brillant_Quand_je_vois_tes_yeux.kar,3,0.60,0.00,0.20,0.42,melody,Words
Danny_Brillant_Quand_je_vois_tes_yeux.kar,4,0.00,0.00,1.00,0.46,accomp,Piano   1
Danny_Brillant_Quand_je_vois_tes_yeux.kar,5,0.00,1.00,0.00,0.72,bass,Basse   2
Danny_Brillant_Quand_je_vois_tes_yeux.kar,6,0.00,0.00,1.00,0.38,accomp,Cordes  6
Danny_Brillant_Quand_je_vois_tes_yeux.kar,7,0.10,0.00,0.80,0.28,accomp,Vibra   7
Danny_Brillant_Quand_je_vois_tes_yeux.kar,8,0.00,0.00,1.00,0.26,accomp,Trpette 8
Danny_Brillant_Quand_je_vois_tes_yeux.kar,9,0.00,0.00,1.00,0.27,accomp,Brass   9
Danny_Brillant_Quand_je_vois_tes_yeux.kar,11,0.00,0.00,1.00,0.35,accomp,Sax Tenor
Danny_Brillant_Quand_je_vois_tes_yeux.kar,12,0.50,0.00,0.70,0.34,accomp,Trombone
Danny_Brillant_Quand_je_vois_tes_yeux.kar,13,0.00,0.00,1.00,0.23,accomp,Trombone
Danny_Brillant_Quand_je_vois_tes_yeux.kar,14,0.30,0.00,0.90,0.22,accomp,TrpetMute
Danny_Brillant_Quand_je_vois_tes_yeux.kar,15,0.00,0.00,0.90,0.20,accomp,Flute
Los_Cucas_La_ultima_carta.kar,3,0.00,0.00,1.00,0.61,accomp,KANTAMANIA
Los_Cucas_La_ultima_carta.kar,4,0.00,1.00,0.00,0.75,bass,bass
Los_Cucas_La_ultima_carta.kar,5,0.10,0.00,0.90,0.65,accomp,cleanguit
Los_Cucas_La_ultima_carta.kar,6,0.90,0.00,0.00,0.53,melody,melodia--BBOK
Los_Cucas_La_ultima_carta.kar,7,0.00,0.00,1.00,0.64,accomp,organ
Los_Cucas_La_ultima_carta.kar,8,0.30,0.00,0.50,0.35,accomp,coro
Los_Cucas_La_ultima_carta.kar,9,0.10,0.00,1.00,0.63,accomp,Cleanchor
Los_Cucas_La_ultima_carta.kar,10,0.00,0.00,0.90,0.10,accomp,muted
Alan_Jackson_Livin_on_love.kar,3,0.60,0.00,0.30,0.48,melody,Melody--BBOK
Alan_Jackson_Livin_on_love.kar,4,0.00,0.00,1.00,0.28,accomp,Choir
Alan_Jackson_Livin_on_love.kar,5,0.00,0.00,1.00,0.89,accomp,Piano
Alan_Jackson_Livin_on_love.kar,6,0.00,0.00,1.00,0.88,accomp,Guitar
Alan_Jackson_Livin_on_love.kar,7,0.00,0.00,1.00,0.39,accomp,Guitar
Alan_Jackson_Livin_on_love.kar,8,0.00,0.00,1.00,0.45,accomp,Violin
Alan_Jackson_Livin_on_love.kar,9,0.10,0.00,1.00,0.97,accomp,Strings
Alan_Jackson_Livin_on_love.kar,10,0.00,1.00,0.00,0.79,bass,Bass
Abba_Rock_me.kar,3,0.50,0.00,0.20,0.73,melody,Melody--BBOK
Abba_Rock_me.kar,4,0.00,0.70,0.00,0.94,bass,Bass
Abba_Rock_me.kar,5,0.00,0.00,1.00,0.94,accomp,Piano
Abba_Rock_me.kar,7,0.10,0.00,1.00,0.84,accomp,Guitar
Abba_Rock_me.kar,8,0.00,0.00,1.00,0.46,accomp,Background Voices
Abba_Rock_me.kar,9,0.10,0.00,1.00,0.84,accomp,Guitar 2
Abba_Rock_me.kar,10,0.00,0.00,1.00,0.64,accomp,Vibraphone
Tino_Rossi_Besame_mucho.kar,3,1.00,0.00,0.40,0.86,melody,melody--BBOK
Tino_Rossi_Besame_mucho.kar,4,0.00,1.00,0.00,0.82,bass,bass    
Tino_Rossi_Besame_mucho.kar,5,0.00,0.00,1.00,0.68,accomp,guitar  
Tino_Rossi_Besame_mucho.kar,6,0.10,0.00,0.80,0.84,accomp,strings 
Mecano_Dis_moi_lune_dargent.kar,3,0.00,0.00,1.00,0.99,accomp,piano
Mecano_Dis_moi_lune_dargent.kar,8,0.00,0.00,1.00,0.17,accomp,flute   
Mecano_Dis_moi_lune_dargent.kar,9,0.00,0.10,0.90,0.04,accomp,hit     
Mecano_Dis_moi_lune_dargent.kar,10,0.00,0.00,1.00,0.79,accomp,strings 
Mecano_Dis_moi_lune_dargent.kar,11,0.00,0.00,1.00,0.16,accomp,triombone
Mecano_Dis_moi_lune_dargent.kar,12,0.00,0.00,1.00,0.07,accomp,choir   
Mecano_Dis_moi_lune_dargent.kar,13,1.00,0.00,0.00,0.55,melody,MELODIA--BBOK
Boston_A_man_Ill_never_be_12.kar,3,0.00,0.00,0.90,0.47,accomp,Guitar
Boston_A_man_Ill_never_be_12.kar,5,0.00,1.00,0.00,0.93,bass,Bass
Boston_A_man_Ill_never_be_12.kar,7,0.00,0.00,1.00,0.18,accomp,Piano
Boston_A_man_Ill_never_be_12.kar,8,0.00,0.00,0.90,0.89,accomp,Rythym Guitar
Boston_A_man_Ill_never_be_12.kar,9,0.00,0.00,1.00,1.00,accomp,Organ
Boston_A_man_Ill_never_be_12.kar,11,0.20,0.00,1.00,0.47,accomp,Lead Guitar
Boston_A_man_Ill_never_be_12.kar,12,0.00,0.00,0.90,0.47,accomp,Guitar
Boston_A_man_Ill_never_be_12.kar,13,0.10,0.00,0.60,0.43,accomp,Lead Guitar
Boston_A_man_Ill_never_be_12.kar,14,0.90,0.00,0.30,0.42,melody,Lead Vocal--BBOK
Boston_A_man_Ill_never_be_12.kar,15,0.00,0.00,1.00,0.78,accomp,Back Vocal
Dontturn.kar,3,1.00,0.00,0.00,0.59,melody,Melody--BBOK
Dontturn.kar,4,0.00,0.00,1.00,0.15,accomp,Backup
Dontturn.kar,5,0.00,1.00,0.00,0.37,bass,Bass
Dontturn.kar,6,0.00,0.00,1.00,0.12,accomp,Organ
Dontturn.kar,7,0.00,0.00,1.00,0.12,accomp,Charang Lead
Dontturn.kar,8,0.00,0.00,1.00,0.06,accomp,Sawtooth Lead
Dontturn.kar,9,0.00,0.00,1.00,0.63,accomp,Strings
Dontturn.kar,10,0.00,0.00,1.00,0.14,accomp,Strings 2
Dontturn.kar,11,0.00,0.00,1.00,0.19,accomp,Sawtooth Lead
Dontturn.kar,12,0.00,0.00,1.00,0.39,accomp,Square Lead
Dontturn.kar,13,0.00,0.00,1.00,0.02,accomp,Shamisen
Dontturn.kar,14,0.00,0.00,1.00,0.29,accomp,Polysynth
Dontturn.kar,15,0.00,0.00,1.00,0.02,accomp,Reverse Cymbal
Roch_Voisine_Dites_moi.kar,3,0.40,0.00,0.70,0.89,melody,Melodie--BBOK
Roch_Voisine_Dites_moi.kar,4,0.00,0.80,0.20,0.97,accomp,Piano
Roch_Voisine_Dites_moi.kar,5,0.00,0.00,1.00,0.48,accomp,Piano 1
Roch_Voisine_Dites_moi.kar,6,0.10,0.00,0.90,0.08,accomp,Piano 2
Roch_Voisine_Dites_moi.kar,7,0.00,0.00,1.00,0.86,accomp,String
Divers_Comptines_A_la_claire_fontaine.kar,3,0.20,0.20,0.70,0.86,melody,Chant--BBOK
Divers_Comptines_A_la_claire_fontaine.kar,4,0.10,0.20,0.60,0.28,accomp,Choeur 1
Divers_Comptines_A_la_claire_fontaine.kar,5,0.00,0.00,0.80,0.39,accomp,Choeur 2
Divers_Comptines_A_la_claire_fontaine.kar,6,0.00,0.00,1.00,0.13,accomp,Choeur 3
