"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
Baroque_Baroque-Late_Bach_106.mid,4,1 2,4,,,,3
Baroque_Baroque-Late_Bach_aria.mid,11,4,1,,,,2 3
Baroque_Baroque-Late_Haendel_handels3.mid,8,1,4,,,,2 3
boh2_2.mid,21,7,4,,,,1 2 3 5 6 8 9 10 11
Classicism_Classicism_Mozart_mozart23.mid,21,1 7,11,5,6,,2 3 4 5 6 8 9 10
english_the_shepherds_hey.mid,11,2 3 4 5,,,,,
Iste_Confessor_b.mid,4,4,,,,,1 2 3
Medieval_ArsNova_Machau_machaut-b11.mid,4,2,,,,,3
Medieval_ArsNova_Machau_machaut-b24.mid,3,2,3,,,,
Monostatos.mid,10,1 2 5 8,7,,,,3 4 6 9
mozk218b.mid,3,1,3,,,,2
pasame_por_dios_varquero.mid,9,2,4,,,,3
Renaissance_Renaissance-Early_Anonymous_eladondon.mid,11,2 3,5,,,,4
Renaissance_Renaissance-Early_Compere_alons_fere_nos_barbes.mid,10,2,5,,,,3 4
Renaissance_Renaissance-Early_Dufay_duFay-adieu_vins_lan.mid,5,2,4,,,,3
Renaissance_Renaissance-Early_Escobar_pasame_por_dios_varquero.mid,9,2,4,,,,3
Renaissance_Renaissance-Late_Victoria_Ave_Maria-a_8-2s.mid,8,1 5,4 8,,,,2 3 6 7
Renaissance_Renaissance-Late_Victoria_Hic_Vir_Despiciens_Mundum-s.mid,4,1,4,,,,2 3
Renaissance_Renaissance-Late_Victoria_LJ9-Incipit_Oratio_Jeremiae-2t.mid,8,1 2,7 8,,,,3 4 5 6
Renaissance_Renaissance-Late_Victoria_O_Sacrum_Convivium_a_6.mid,6,1,6,,,,2 3 4 5
Renaissance_Renaissance-Late_Victoria_TR16-Astiterunt-Reges.mid,4,1,4,,,,2 3
Romanticism_Romanticism_Berlioz_Berlioz_Hector_Sur_Les_Lagunes.mid,9,4 5,7 8,,,,3 6 9
Romanticism_Romanticism_Jullien_Jullien_Tarantelle.mid,20,1 2 3 4 5 16,13 20,,,,6 7 8 9 10 11 12 17 18 19
SV06_Lauda_Jerusalem_b.mid,4,1 4,,,,,2 3
XXCentury_XX-Nationalism_Nielsen_symp_no2_finale.mid,19,1 3 13,19,,,,2 4 5 6 7 8 9 11 15 16 17 18
