"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
A_CHANCE_TO_TRY_AGAIN.MID,7,6,1,,,,3 4 5
arlen_its_only_paper_moon.mid,31,2,3,,,,4 5 6 7 8 9 10 11 12 13 14 15 16 17
davis_alone_together_1.mid,23,4 5 6,3,,,,2
dig.mid,3,3,2,,,,1
EMBRACEABLE_YOU.MID,7,6,1,,,,3 4
escucha.mid,10,4 5 7,3,,,,2 6
FASCINATIN_RHYTHM.MID,7,6,1,,,,3
FOGGY_DAY.MID,7,6,1,,,,3
HES_GOT_THE_WHOLE_WORLD_IN.MID,7,6,1,,,,3 4 5
I_REMEMBER_CLIFFORD.MID,7,6,1,,,,3
kosma_mercer_those_autumn_leaves_1.mid,10,,4,,,,3 6
MOON_LOVE.MID,7,6,1,,,,3 4
MY_SWEET_LORD.MID,7,6,1,,,,3 4 5
ON_A_SLOW_BOAT_TO_CHINA.MID,7,6,1,,,,3 4 5
ON_BROADWAY.MID,7,6,1,,,,3 4
RED_TOP.MID,7,6,1,,,,3
Riders_On_The_Storm_The_Do.MID,7,6,1,,,,3 4
SHINY_STOCKINGS.MID,7,6,1,,,,3
SOFTLY_AS_IN_A_MORNING_SUNR.MID,7,6,1,,,,3 4
STORMY_WEATHER.MID,7,6,1,,,,3
STRANGE.MID,7,6,1,,,,3 4
Sweet_Georgie_Fame.MID,7,6,1,,,,3 4
TA_TA_TANGO.MID,7,6,1,,,,3 4 5
Theres_A_Tear_In_My_Beer.MID,7,6,1,,,,3
What_Are_You_Doing_the_Rest.MID,7,6,1,,,,3 4 5
