"Nombre_fichero";"N_Pistas";"melody";"bass";"piano_rh";"piano_lh";"mixdown";;;;
"1008czerny13reg.mid";2;;;1;2;;"Staff-1";"OK";;
"1009czerny14reg.mid";2;;;1;2;;;"OK";;
"1052czerny34.mid";4;;;1;2;;;"OK";;
"1095czerny16reg.mid";2;;;1;2;;;"OK";;
"1096czerny15reg.mid";2;;;1;2;;"Staff-1";"OK";;
"1173nuitdete.mid";3;;;1;2;;"LH";"OK";;
"1174saltarel.mid";2;;;1;2;;;"OK";;
"1215czerny18reg.mid";2;;;1;2;;;"OK";;
"1216czerny19reg.mid";2;;;1;2;;;"OK";;
"1364brawaltz10.mid";2;;;1;2;;;"OK";;
"1365brawaltz15.mid";2;;;1;2;;;"OK";;
"1406humming.mid";14;;"12 13";;;;"Track 11C0";"OK-M";;
"1407manina.mid";15;;"10 14 15";;;;"Timpani";"OK-M";"Revisar";
"1408nessun.mid";17;;17;;;;"Timpani";"OK-M";;
"1409qmenvo.mid";19;;14;;;;"Basses";"OK";;
"1410tinyhand.mid";18;;"14 15 ";;;;"Timpani";"OK-M";;
"1411turan1.mid";14;;;;;;"gong";"OK-M";;
"1412turan2.mid";14;;;;;;"gong";"OK-M";;
"1429gpsenza.mid";13;;13;;;;;"OK";;
"14arenskiy.mid";3;;;2;3;;;"OK-M";;
"155.mid";16;;;;;;"COLLINE";"OK-M";;
"172.mid";2;;;;;;"Pasaje MIDI";"OK-M";;
"1727clementi.mid";2;;;1;2;;"Harpsichord Low";"OK-M";;
"1730gradu9.mid";8;;;1;2;;;"OK-M";;
"1731fantasia2.mid";8;;7;;;;"bass 2/contra";"OK";;
"1736no67woodssowild.mid";2;;;;;;;"OK";;
"1830sonatin36reg.mid";2;;;1;2;;;"OK-M";;
"1875palestrina.mid";5;;;;;;;"OK";;
"1886sonatin36n3reg.mid";2;;;1;2;;"Reg Ritchie 2000";"OK-M";;
"1912belli1.mid";4;;;;;;"Pedal";"OK-M";;
"1913absent.mid";3;;;2;3;;"goninet@neuronnexion.fr";"OK-M";;
"1914norma_ov.mid";4;;;"1 3";"2 4";;;"OK-M";;
"1915normamarchreg.mid";3;;;2;3;;;"OK-M";;
"2070lachassereg.mid";2;;;1;2;;;"OK-M";;
"2150boh2no1.mid";32;;;;;;"Colline";"OK-M";;
"2279laconsolreg.mid";2;;;1;2;;;"OK-M";;
"2336cr29g.mid";12;;;1;2;;;"OK-M";;
"2425rosacruz1.mid";5;;;;;;"Sequence 1 BBOK";"OK-M";;
"254BOH1.mid";22;;;;;;"COLLINE BBOK";"OK-M";;
"254BOH1_tr2.mid";2;;;;;;;"OK";;
"262car_ante.mid";2;;;1;2;;"Pasaje MIDI";"OK-M";;
"33apasnato.mid";3;;;2;3;;;"OK-M";;
"421hungdan5.mid";11;;;1;2;;"Piano Left Hand";"OK-M";;
"548agnus.mid";4;;4;;;;"Bassus";"OK";;
"580elucev.mid";11;;5;;;;"Orquestra";"OK-M";;
"582zimarra.mid";9;;;;;;;"OK";;
"67.mid";4;;;4;3;;"LEFT HAND";"OK-M";;
"727hmmtop95.mid";16;;7;;;;;;;
"760fiveroma.mid";2;;;;;;;"OK";;
"813czerny1reg.mid";4;;;1;2;;;"OK-M";;
"831czerny2eg.mid";4;;;1;2;;;"OK-M";;
"843guitar.mid";6;;5;;;;"R.Fennimore-2";"OK";;
"863czerny6reg.mid";2;;;1;2;;;"OK-M";;
"870czerny7reg.mid";2;;;1;2;;;"OK-M";;
"889czerny8reg.mid";2;;;1;2;;"Staff-1";"OK-M";;
"952czerny9reg.mid";2;;;1;2;;;"OK-M";;
"982czerny11reg.mid";2;;;1;2;;;"OK-M";;
"983czerny12reg.mid";2;;;1;2;;"Staff-1";"OK-M";;
"ADAGOP26.mid";2;;;2;1;;;"OK-M";;
"ALKANCHM.mid";3;;;2;3;;"LH";"OK-M";;
"ALKN61N3.mid";3;;;1;2;;"M: S:";"OK-M";;
"ALKN61N4.mid";3;;;1;2;;"M: S:";"OK-M";;
"A_bach1.mid";2;;;2;1;;;"OK-M";;
"A_mozrt3.mid";2;;;2;1;;"Piano   (BB)";"OK-M";;
"Air_On_The_G_String.mid";4;;4;;;;"Pizzicato Bass";"OK";;
"Arcadelt_SapetAmanti.mid";5;;5;;;;"b";"OK";;
"Artists_Life_Waltz_Stra.MID";5;;1;;;;"Bass ( BB ) ";"OK";;
"Ascendens_Christus_In_Altum_2_Gloria_1s.mid";5;;5;;;;"b";"OK";;
"Ascendens_Christus_In_Altum_6_Agnus_Dei_1s.mid";6;;6;;;;"b";"OK";;
"Asperges_Me_b.mid";4;;;;;;"b BBOK";"OK-M";;
"AveMariaVictoria.mid";4;;4;;;;"b";"OK";;
"Ave_Maria.mid";7;;6;;;;"P�d.Orgue";"OK";;
"Ave_Maria_Palestrina.mid";5;;5;;;;;"OK-M";;
"Ave_Maria_a_8_1b.mid";8;;"4 8";;;;"2b";"OK-M";;
"Ave_Regina_1_Kyrie_1b.mid";8;;"4 8";;;;"2b";"OK-M";;
"Ave_Regina_Caelorum_a_5_1c.mid";5;;5;;;;"b";"OK";;
"BRAHMS_M.mid";4;;3;;;;"  Piano Secondo  {1}";"OK";;
"BR_120A1.mid";3;;;2;3;;"MIDI by Marty Weimer  1/5/98";"OK";;
"BR_120A2.mid";3;;;2;3;;"MIDI by Marty Weimer 1/5/98";"OK";;
"BR_120A3.mid";3;;;2;3;;"MIDI by Marty Weimer 1/8/98";"OK";;
"BR_120A4.mid";3;;;2;3;;"MIDI by Marty Weimer 1/5/98";"OK";;
"BR_120B1.mid";3;;;2;3;;"1st movement - allegro amabile";"OK";;
"BR_120B2.mid";3;;;2;3;;"2nd mvmt.  Allegro appassionato";"OK-M";;
"BR_120B3.mid";3;;;2;3;;"MIDI by Marty Weimer 4/3/97";"OK-M";;
"Beethoven_Symphony_#5.MID";4;;;;;;;"OK";;
"Berlioz_Hector_Absence.mid";10;;"8 9";;;;;"OK-M";;
"Berlioz_Hector_AuCimeti.mid";10;;8;;;;;"OK-M";;
"Berlioz_Hector_LeSpectre.mid";10;;"8 9";;;;;"OK-M";;
"Berlioz_Hector_LesNuits.mid";11;;"8 9";;;;"Vocal line (open staff)--BBOK";"OK-M";;
"Berlioz_Hector_SurLes.mid";10;;"8 9";;;;"French--BBOK";"OK-M";;
"Berlioz_Hector_Villanelle.mid";10;;"8 10";;;;;"OK-M";;
"Binchois11.mid";3;;2;;;;"Staff-1";"OK";;
"Binchois12.mid";3;;2;;;;"Staff-1";"OK";;
"Binchois14.mid";3;;3;;;;"Staff-1";"OK-M";;
"Binchois5.mid";5;;4;;;;"Staff-3";"OK";;
"Binchois6.mid";4;;;;;;;"OK";;
"Bizet_Habanera.kar";10;;"5 6";;;;"Bass";"OK-M";;
"CANBRES.mid";3;;2;;;;"VEU 2";"OK";;
"Capriccio_h_moll_op.76_Nr.2.mid";2;;;1;2;;"linke Hand";"OK-M";;
"CaprichoArabe.mid";8;;;;;;"Fret Noise";"OK-M";;
"Cavmdfy.mid";16;;"4 6";;;;"StrEnsmbl 1";"OK-M";;
"Ce_Moys_De_May_SATB_Janequin_Clement.mid";4;;4;;;;;"OK";;
