"Nombre_fichero";"N_Pistas";"melody";"bass";"piano_rh";"piano_lh";"mixdown";;;;
"20abril.kar";16;;4;;;;"Bass";"OK";;
"55301_Gitano_Abigail4.kar";14;;4;;;;"Copyright Kantamania";"OK";;
"56507_CRISTIAN_AZUL.kar";17;;4;;;;" Fretless Bs.";"OK";;
"56509_DUO_DINAMICO_SI_NO_FUERA_POR_TI.kar";15;;4;;;;" Fretless Bs. ";"OK";;
"56510_ANA_BELEN_Y_VICTOR_la_muralla.kar";17;;4;;;;"FRETLESS";"OK";;
"56513_LA_PARED_SOTOKAR.kar";12;;4;;;;" Fretless Bs. ";"OK";;
"AGUSTIN_LARA_MARIA_BONITA.kar";12;;4;;;;"MIDI";"OK";"Revisar";"*"
"ANDREA_BOCELLI_Por_ti_volare.kar";14;;3;;;;"Bass    ";"OK";;
"ANTONIO_FLORES_Alba.kar";12;;4;;;;"FRETLESS";"OK";;
"AZUCAR_MORENO_Amen.kar";18;;4;;;;"Bass";"OK";;
"A_Celentano_and_P_Conte_Azzurro.kar";7;;3;;;;"Bass";"OK";;
"A_Ha_Take_on_me.kar";11;;"4 5";;;;"Slap Bass   ";"OK-M";;
"A_Ha_Take_on_me_4.kar";11;;"4 5";;;;"Slap Bass   ";"OK-M";;
"A_cause_des_garcons_A_cause_des_garcons.kar";23;;8;;;;"Bass                ";"OK";;
"A_testa_boon_renis_Quando_quando.kar";10;;5;;;;"Bass";"OK";;
"Aaron_Neville_Dont_know_much.kar";10;;6;;;;"Bass    ";"OK";;
"Abba_Angel_eyes.kar";15;;7;;;;"Bass";"OK";;
"Abba_Another_town_another_train.kar";14;;4;;;;"Bass";"OK";;
"Abba_Band_a_boomerang.kar";14;;4;;;;"Bass";"OK";;
"Abba_Dance_while_the_music_still_goes_on.kar";17;;4;;;;"Bass";"OK";;
"Abba_Dancing_Queen_4.kar";12;;4;;;;"Bass";"OK";;
"Abba_Dum_dum_diddle.kar";17;;4;;;;"Bass";"OK";;
"Abba_Hasta_manana.kar";15;;4;;;;"Bass Clef         ";"OK";;
"Abba_Hey_hey_Helen.kar";13;;4;;;;"Bass";"OK";;
"Abba_I_have_a_dream.kar";13;;4;;;;"Bass";"OK";;
"Abba_I_have_a_dream_4.kar";13;;4;;;;"Bass";"OK";;
"Abba_Knowing_me_knowing_you.kar";13;;6;;;;"Bass";"OK";;
"Abba_La_reina_del_baile.kar";24;;6;;;;"Bass Guitar         ";"OK";;
"Abba_Lay_all_your_love_on_me.kar";22;;9;;;;"Bass Guitar";"OK";;
"Abba_Money_money_money.kar";13;;4;;;;"Bass";"OK";;
"Abba_Rock_me.kar";15;;4;;;;"Bass";"OK";;
"Abba_Thank_you_for_the_music.kar";12;;4;;;;"Bass";"OK";;
"Abba_The_visitors.kar";19;;"5 6";;;;"Muted Guitar";"OK-M";;
"Abba_The_winner_takes_it_all.kar";9;;8;;;;"bass    ";"OK";;
