# path melody.mid
@resolution 240
@format "%p %o %d %v"
@track 1 Melody--BBOK
79 0 60 100
79 120 60 100
81 240 60 100
83 360 60 100
83 480 60 100
83 600 60 100
83 720 60 100
83 840 60 100
83 960 60 100
83 1080 60 100
83 1200 60 100
76 1320 60 100
78 1440 60 100
79 1560 60 100
78 1680 60 100
79 1800 60 100
76 1920 60 100
78 2040 60 100
78 2160 60 100
78 2280 60 100
79 2400 60 100
81 2520 60 100
83 2640 60 100
83 2760 60 100
76 2880 60 100
78 3000 60 100
79 3120 60 100
78 3240 60 100
79 3360 60 100
76 3480 60 100
79 3600 60 100
78 3720 60 100
79 3840 60 100
81 3960 60 100
83 4080 60 100
83 4200 60 100
83 4320 60 100
76 4440 60 100
79 4560 60 100
79 4680 60 100
76 4800 60 100
78 4920 60 100
78 5040 60 100
78 5160 60 100
78 5280 60 100
79 5400 60 100
76 5520 60 100
79 5640 60 100
76 5760 60 100
76 5880 60 100
76 6000 60 100
76 6120 60 100
79 6240 60 100
81 6360 60 100
83 6480 60 100
76 6600 60 100
76 6720 60 100
79 6840 60 100
81 6960 60 100
83 7080 60 100
83 7200 60 100
76 7320 60 100
79 7440 60 100
81 7560 60 100
83 7680 60 100
83 7800 60 100
76 7920 60 100
76 8040 60 100
76 8160 60 100
78 8280 60 100
78 8400 60 100
78 8520 60 100
79 8640 60 100
78 8760 60 100
78 8880 60 100
79 9000 60 100
76 9120 60 100
76 9240 60 100
76 9360 60 100
76 9480 60 100
76 9600 60 100
76 9720 60 100
76 9840 60 100
76 9960 60 100
76 10080 60 100
79 10200 60 100
78 10320 60 100
79 10440 60 100
78 10560 60 100
78 10680 60 100
79 10800 60 100
81 10920 60 100
83 11040 60 100
76 11160 60 100
76 11280 60 100
78 11400 60 100
79 11520 60 100
79 11640 60 100
81 11760 60 100
83 11880 60 100
83 12000 60 100
83 12120 60 100
