Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
20abril.kar,16,,4,,,
55301_Gitano_Abigail4.kar,14,,4,,,
56507_CRISTIAN_AZUL.kar,17,,4,,,
56509_DUO_DINAMICO_SI_NO_FUERA_POR_TI.kar,15,,4,,,
56510_ANA_BELEN_Y_VICTOR_la_muralla.kar,17,,4,,,
56513_LA_PARED_SOTOKAR.kar,12,,4,,,
AGUSTIN_LARA_MARIA_BONITA.kar,12,,4,,,
ANDREA_BOCELLI_Por_ti_volare.kar,14,,3,,,
ANTONIO_FLORES_Alba.kar,12,,4,,,
AZUCAR_MORENO_Amen.kar,18,,4,,,
A_Celentano_and_P_Conte_Azzurro.kar,7,,3,,,
A_Ha_Take_on_me.kar,11,,4 5,,,
A_Ha_Take_on_me_4.kar,11,,4 5,,,
A_cause_des_garcons_A_cause_des_garcons.kar,23,,8,,,
A_testa_boon_renis_Quando_quando.kar,10,,5,,,
Aaron_Neville_Dont_know_much.kar,10,,6,,,
Abba_Angel_eyes.kar,15,,7,,,
Abba_Another_town_another_train.kar,14,,4,,,
Abba_Band_a_boomerang.kar,14,,4,,,
Abba_Dance_while_the_music_still_goes_on.kar,17,,4,,,
Abba_Dancing_Queen_4.kar,12,,4,,,
Abba_Dum_dum_diddle.kar,17,,4,,,
Abba_Hasta_manana.kar,15,,4,,,
Abba_Hey_hey_Helen.kar,13,,4,,,
Abba_I_have_a_dream.kar,13,,4,,,
Abba_I_have_a_dream_4.kar,13,,4,,,
Abba_Knowing_me_knowing_you.kar,13,,6,,,
Abba_La_reina_del_baile.kar,24,,6,,,
Abba_Lay_all_your_love_on_me.kar,22,,9,,,
Abba_Money_money_money.kar,13,,4,,,
Abba_Rock_me.kar,15,,4,,,
Abba_Thank_you_for_the_music.kar,12,,4,,,
Abba_The_visitors.kar,19,,5 6,,,
Abba_The_winner_takes_it_all.kar,9,,8,,,
Abba_Tiger.kar,13,,4,,,
Abba_Voulez_vous.kar,14,,6,,,
Abba_Why_did_it_have_to_be_me.kar,17,,3,,,
Abbronzatissima_Edoardo_Vianello.kar,18,,4,,,
Abigail_Gitano_4.kar,14,,4,,,
Abigail_Oro_y_plata.kar,15,,2,,,
Acdc_Highway_to_hell.kar,12,,5,,,
Ace_of_base_All_that_she_wants.kar,26,,5,,,
Ace_of_base_Dont_turn_around.kar,16,,5,,,
Ace_of_base_Dont_turn_around_4.kar,16,,5,,,
Ace_of_base_The_sign.kar,28,,6,,,
Ace_of_base_The_sign_1.kar,28,,6,,,
Ade_Gagnon_Danser_pour_oublier.kar,9,,2,,,
Adios_pampa_mia.kar.kar,13,,3,,,
Aerosmith_Janies_Got_A_Gun.kar,24,,12 13,,,
Aerosmith_Janies_got_a_gun_3.kar,24,,12 13,,,
Aftrlove.kar,16,,6,,,
Aja.kar,13,,9,,,
AlTgria_Rodrigo_BAY.kar.kar,15,,2,,,
Aladin_Le_Reve_bleu.kar,8,,7,,,
Alain_Barriere_A_regarder_la_mer.kar,10,,2,,,
Alain_Barriere_Ma_vie.kar,13,,4,,,
Alain_Baschung_La_nuit_je_mens.kar,13,,4,,,
Alain_Baschung_Vertige_de_lamour.kar,15,,5,,,
Alain_Boublil_And_Herbert_Kretzmer_On_My_Own.kar,14,,,,,
Alain_Chamfort_Manureva.kar,18,,5,,,
Alain_Morisod_Sweet_People_Les_trois_cloches.kar,19,,7 18,,,
Alain_Souchon_Au_ras_des_paquerettes.kar,16,,4,,,
Alain_Souchon_Foule_sentimentale.kar,10,,10,,,
Alain_Souchon_Lamour_a_la_machine.kar,10,,3,,,
Alain_Souchon_Le_baiser.kar,10,,3,,,
Alain_Souchon_Sous_les_jupes_des_filles.kar,17,,4,,,
Alain_Souchon_Ya_de_la_rumba_dans_lair.kar,17,,8,,,
Alan_Jackson_Home.kar,14,,4,,,
Alan_Jackson_Livin_on_love.kar,11,,10,,,
Alan_Jackson_Pop_a_top_again.kar,12,,8,,,
Alan_Jackson_Summer_time_blues.kar,22,,5 6,,,
Alan_Jackson_Tall_tall_trees.kar,11,,3,,,
Alan_Parsons_Project_Dont_answer_me.kar,22,,3,,,
Alan_Parsons_Project_The_cask_of_amontillado.kar,16,,9,,,
Alan_Parsons_Project_The_tell_tale_heart.kar,15,,7,,,
Alan_Tam_Elaine.kar,14,,10,,,
Alan_Theo_Lola.kar,14,,2,,,
Alanis_Morissette_Ironic.kar,11,,5,,,
Alanis_Morissette_Ironic_4.kar,11,,5,,,
Alanis_Morissette_You_oughta_know.kar,10,,6,,,
Alazan_Amarrao_a_mi_cintura.kar,14,,4,,,
Alazan_Amarrao_a_mi_cintura4.kar,14,,4,,,
Alazan_Torero.kar,15,,4,,,
Albano_Felicidad.kar,12,,3,,,
Albano_y_Romina_Felicidad_4.kar,12,,3,,,
Albert_Babin_Je_dis_des_mots_damour.kar,18,,1,,,
Albert_Babin_Le_toit_de_ma_maison.kar,8,,2,,,
Albert_Babin_Ma_hache_pis_le_bucksaw.kar,9,,1 7 8,,,
Albert_Hammond_It_Never_Rains_In_Southern_Californa.kar,11,,4,,,
Albert_Hammond_It_never_rains_in_southern_California.kar,11,,4,,,
Alberto_Domfnguez_Frenesf.kar,13,,4,,,
Aldo_Gunthrie_City_of_New_Orleans.kar,15,,8,,,
Alejandro_Sanz_Me_ire.kar,15,,5,,,
Alejandro_Sanz_Quisiera_ser_4.kar,18,,4,,,
Ali_Baba_Tu_me_manques_depuis_longtemps.kar,15,,3,,,
All_Four_One_I_swear.kar,19,,3,,,
All_for_one_I_swear_4.kar,19,,3,,,
Alliage_Cruel_Summer.kar,16,,4,,,
Alliage_Lucy.kar,13,,2,,,
Alliage_Te_garder_pres_de_moi.kar,15,,4,,,
Allman_Brothers_Midnight_rider.kar,8,,4,,,
Allman_Brothers_Stormy_Monday.kar,8,,3,,,
Allwright_Graeme_Suzanne.kar,4,,,,,
Alma_Cogan_Tennesse_waltz.kar,8,,3,,,
Almeno_tu_nelluniverso_Mia_Martini.kar,19,,3,,,
Amanda_Marshall_Beautiful_goodbye.kar,13,,7,,,
Amanda_McBroom_The_Rose.kar,10,,9,,,
America_Sandman.kar,18,,3,,,
America_Tinman.kar,28,,8,,,
America_Ventura_highway.kar,14,,3,,,
Amparo_Sandino_Mar_De_Amores.kar,12,,4,,,
Amy_Grant_Baby_baby.kar,6,,4,,,
AnaBelenDesde_mi_libertad.kar,11,,5,,,
Ana_Belen_Desde_mi_libertad_5.kar,11,,5,,,
Andre_Breton_Un_jour_a_la_fois.kar,22,,12 22,,,
Andre_Clavier_As_tu_deja_pleurer.kar,12,,4,,,
Andre_Lejeune_Joue_moi_un_rigodon.kar,11,,1 11,,,
Andre_Verchuren_Ah_si_jetais_reste_celibataire.kar,6,,1,,,
Andrew_Lloyd_Webber_Phantom_of_the_Opera.kar,5,,5,,,
Andy_Williams_Walk_on_by.kar,12,,3,,,
Angelo_Branduardi_La_demoiselle.kar,12,,3,,,
Angelo_Branduardi_Va_ou_le_vent_te_mene.kar,11,,5,,,
Anggun_Au_nom_de_la_lune.kar,11,,2,,,
Anggun_La_neige_au_Sahara.kar,16,,4,,,
Anggun_La_rose_des_vents.kar,16,,2,,,
Animals_House_of_the_rising_sun_blues.kar,19,,5,,,
Animals_Sky_pilot.kar,13,,7,,,
Anita_Mui_The_sunset_song.kar,14,,5,,,
Anne_Mauray_Broken_heartache_me.kar,14,,8,,,
Anne_Mauray_Could_i_have_this_dance.kar,14,,5,,,
Anne_Mauray_Nobody_loves_me_like_you_do.kar,12,,6,,,
Anne_Mauray_Shadows_in_the_moonlight.kar,12,,8,,,
Anne_Mauray_You_needed_me.kar,12,,6,,,
Annie_I_Think_Im_Gonna_Like_It_Here.kar,14,,4,,,
Annie_Without_A_Smile.kar,21,,4,,,
Antoine_Les_Elucubrations.kar,9,,3,,,
Antonio_Flores_Alba_4.kar,12,,4,,,
Aqua_Dr_Jones.kar,16,,8 11,,,
Aqua_Roses_are_red_1.kar,17,,6,,,
Archies_Sugar_sugar.kar,11,,4,,,
Art_Popular_Temporal.kar,16,,4,,,
Artistes_New_York_New_York.kar,12,,4,,,
Ashford_Simpson_Aint_No_Mountain_High_Enough.kar,11,,3,,,
Atlantique_Les_eaux_de_Mars.kar,11,,3,,,
Aubrey.kar,9,,4,,,
Axelle_Red_A_quoi_ca_sert.kar,9,,2,,,
Axelle_Red_Le_monde_tourne_mal.kar,14,,5,,,
Axelle_Red_Parce_que_cest_toi.kar,12,,4,,,
Axelle_Red_Rester_femme.kar,11,,2,,,
Axelle_Red_Rien_que_dy_penser.kar,11,,4,,,
BIG_MOUNTAIN_Baby_I_Love_Your_Way.kar,17,,5,,,
BJ_Thomas_Raindrops_keep_fallin_on_my_head.kar,13,,5,,,
BSO_Cheers_Where_everybody_knows_your_name.kar,18,,11,,,
BSO_Jesucristo_superstar_I_dont_know_how_to_love_him_3.kar,11,,3,,,
B_Wayne_l_Morris_Blue_velvet.kar,9,,3,,,
Babacar.kar,15,,5 12,,,
Bachman_Turner_Overdrive_You_aint_seen_nothing_yet.kar,12,,4,,,
Bad_Boy_Blues_You_are_a_woman.kar,18,,5,,,
Bad_Company_Bad_company.kar,21,,5 14,,,
Bad_Finger_Come_and_get_it.kar,11,,3,,,
Bananarama_Venus.kar,13,,4,,,
Banda_Eva_Carro_velho.kar,15,,4,,,
Bangles_Eternal_flame.kar,12,,8,,,
Bangles_Eternal_flame_4.kar,12,,8,,,
Barbara_Steisand_Evergreen.kar,9,,8,,,
Barricada_Oveja_negra_16.kar,13,,3,,,
Be_Gees_I_started_the_joke_9.kar,12,,6,,,
Be_Gees_If_I_cant_have_you_6.kar,10,,3,,,
Be_Gees_Massachusetts_9.kar,12,,6,,,
Be_Gees_Staying_Alive_4.kar,12,,6,,,
Be_Gees_Tragedy_4.kar,14,,4,,,
Beach_Boys_Help_me_ronda.kar,14,,4,,,
Beach_Boys_Surfer_girl.kar,19,,5,,,
Beach_Boys_Surfnusa.kar,6,,5,,,
Beach_Boys_Wouldnt_it_be_nice.kar,15,,7 8,,,
Beastie_Boys_Fight_for_your_right_to_party.kar,7,,6,,,
Beat_Culture_Crying_in_the_rain.kar,12,,9,,,
Beatles_Bad_boy.kar,10,,7,,,
Beatles_Ballad_of_John_and_yoko.kar,10,,7,,,
Beatles_Beautiful_Night.kar,17,,5,,,
Beatles_Bogey_Music.kar,17,,5,,,
Beatles_Everybodys_got_something_to_hide.kar,10,,6,,,
Beatles_Free_As_A_Bird.kar,9,,8,,,
Beatles_Glad_all_over.kar,14,,3,,,
Beatles_Happiness_is_a_warm_gun.kar,13,,7,,,
Beatles_Hello_goodbye.kar,13,,8,,,
Beatles_Here_comes_the_sun.kar,12,,7,,,
Beatles_Hey_Jude.kar,9,,5,,,
Beatles_I_saw_her_standing_there.kar,12,,6,,,
Beatles_I_wanna_be_your_man.kar,14,,5,,,
Beatles_Isolation.kar,16,,5,,,
Bee_Gees_Staying_alive.kar,12,,6,,,
Bee_Gees_To_love_somebody_4_y_15.kar,14,,3,,,
Big_Mountain_Baby_I_love_your_way_4.kar,17,,5,,,
Billy_Joel_Honesty_1.kar,8,,5,,,
Bob_Seger_Hollywood_night.kar,18,,3,,,
Bob_Seger_Turn_the_Page.kar,15,,4,,,
Boney_M_Daddy_Cool.kar,10,,9,,,
Boney_M_Dreadlock_Holiday.kar,13,,5,,,
Boney_M_Hold_on_Im_coming.kar,19,,5,,,
Boney_M_Sunny.kar,11,,10,,,
Bonny_M_Rivers_of_Babylon_4.kar,14,,10,,,
Boogwond.kar,17,,4,,,
Boris_Vian_Le_deserteur.kar,14,,4,,,
