Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;;;
Baroque_Baroque-Early_Merula_mcan07_m.mid;3;1 2;3;;;;Secondo Violino;Basso Continuo;OK
Baroque_Baroque-Early_Viadana_viadana-padovana.mid;11;1;11;;;;Cornetto;Violone;xxxxx
Baroque_Baroque-Late_Bach_1678tpvent1w.mid;3;1;3;;;;Track 2;Track 4;OK
Baroque_Baroque-Late_Bach_3part06.mid;5;3;5;;;;Treble Voice;Bass Voice;OK
Baroque_Baroque-Late_Bach_bach_cantata_150_4.mid;7;1;4;;;;Soprani;Bassi;OK
Baroque_Baroque-Late_Bach_Goldberg_Variations_Aria.mid;7;;;6;3;;Melody ( BB );;OK
Baroque_Baroque-Late_Bach_johann_sebastian_bach_bwv1048a.mid;15;2;11;;;;Violino.1;Violone;OK
Baroque_Baroque-Late_Bach_jsbbrc12.mid;16;5 9;14;;;;Violin Piccolo in E-flat;Contrabass;OK
Baroque_Baroque-Late_Haendel_415h7sonata.mid;2;1;;;;;;;xxxxx
Baroque_Baroque-Late_Haendel_fireworks-menuet1.mid;7;3 5;7;;;;Oboe 1;Bass;OK
Baroque_Baroque-Late_Haendel_handel05.mid;7;6;1;;;;Melody  (BB);Bass    (BB);OK
Baroque_Baroque-Late_Haendel_handms22.mid;9;3;9;;;;;;xxxxx
Baroque_Baroque-Late_Pachelbel_1585pchciacd.mid;16;4;13;;;;Fifths;Ciacona in d;xxxxx
Baroque_Baroque-Late_Pachelbel_Canone_by_max22861.mid;5;2 3 4;5;;;;Flauto;Archi;OK
Baroque_Baroque-Late_Vivaldi_gloria.mid;12; ;6;;;;;;OK
Baroque_Baroque-Middle_Becker_15mfrfr_m.mid;6;1;6;;;;Violino I;Basso Continuo;OK
Classicism_Classicism_Haydn_hay70_4.mid;12;8;12;;;;Flute;Contrabass;OK
Classicism_Classicism_Haydn_haydn-10.mid;5; ; ;1;4;;;;OK
Classicism_Classicism_Haydn_hydn06_3.mid;9;1;9;;;;Flauto;Basso;OK
Classicism_Classicism_Haydn_hydn31_2.mid;11;5;11;;;;Corni III in Sol;Basso;OK
Classicism_Classicism_Hummel_HUMM81M2.mid;6;;;;;;;;xxxxx
Classicism_Classicism_Lidon_lidon-quartet_2ndmid.mid;10;1;4;;;;Violin 1;Violon;OK
Classicism_Classicism_Mozart_cosi_fan_tutte_overtura_Mozart.mid;12;1;12;;;;Flutes;Double Bass;xxxxx
Classicism_Classicism_Mozart_Symphony35-41-013-mok550m2.mid;15; ;14;;;;Flute;Contrabass;OK
Classicism_Classicism_Mozart_Symphony35-41-6-jupitmen.mid;17;1 7;12;;;;FLAUTO;CONTRABBASSO;OK
Medieval_ArsNova_Caserta_Anthonello_antho27.mid;4;2;4;;;;Notes pour moi                      ;seq by n.nakamura;OK
Medieval_ArsNova_Perusio_matteo09.mid;4;2;4;;;;[A-01] Heylas que feray;[A-03] seq by n.nakamura;OK
Renaissance_Renaissance-Early_Anonymous_this_day_thaws.mid;9;2 3;4;;;;alto;bass;OK
Renaissance_Renaissance-Late_Byrd_PA5.mid;2;1;;;;;Track 1;;xxxxx
Renaissance_Renaissance-Late_Dowland_dowland-what_if_a_day.mid;2;1;;;;;John Dowland (1563-1626);;xxxxx
Renaissance_Renaissance-Late_Gabrieli_gabrieli-sonata_octavi_toni.mid;12;1 7;6 12;;;;Cantus;Duodecimus;OK
Renaissance_Renaissance-Late_Victoria_atonal-dialog.mid;22;1;5;;;;Flute;Timpani;xxxxx
Renaissance_Renaissance-Late_Victoria_Cum_Beatus_Ignatius-1s.mid;5;1;5;;;;1s;b;OK
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-1-Kyrie-s.mid;6;1;6;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Gaude_Maria_Virgo-2s.mid;5;1 2;5;;;;2s;b;OK
Renaissance_Renaissance-Late_Victoria_Gaude_Maria_Virgo-b.mid;5;1 2;5;;;;2s;b;OK
Renaissance_Renaissance-Late_Victoria_Laetatus_Sum-2-Gloria-2b.mid;12;4;8;;;;1b;2b;xxxxx
Renaissance_Renaissance-Late_Victoria_LJ8-Aleph_Quomodo_Obscuratum-2s.mid;5;1 2;5;;;;1s;b;OK
Renaissance_Renaissance-Late_Victoria_Magnificat_Quinti_Toni-pares-2t.mid;7;1 2;7;;;;1s;b;OK
Renaissance_Renaissance-Late_Victoria_Magnificat_Secundi_Toni-impares-s.mid;5;1;5;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Magnificat_Sexti_Toni-pares-1c.mid;5;1 2;5;;;;2c;b;OK
Renaissance_Renaissance-Late_Victoria_O_Lux_Et_Decus_Hispaniae-b.mid;5;1 2;5;;;;2s;b;OK
Renaissance_Renaissance-Late_Victoria_O_Magnum_Mysterium-3-Credo-t.mid;4;3;4;;;;b;b;OK
Renaissance_Renaissance-Late_Victoria_Pro_Victoria-6-Agnus_Dei-1b.mid;9;1 2 6;5 9;;;;1b;1b;OK
Renaissance_Renaissance-Late_Victoria_Quam_Pulchri_Sunt-3-Credo.mid;4;1;4;;;;b;b;OK
Renaissance_Renaissance-Late_Victoria_Quicumque_Christum_Quaeritis-s.mid;4;1;4;;;;b;b;OK
Renaissance_Renaissance-Late_Victoria_Requiem_a_4_voces-01-Introitus-t.mid;4;3;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Sancta_Maria_Succurre_Miseris-b.mid;4;1;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Simile_Est_Regnum_Coelorum-3-Credo-s.mid;4;1;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Surge_Propera-4-Sanctus_y_Benedictus-s.mid;5;1;5;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_SV02-Confitebor_Tibi.mid;4;1;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Te_Lucis_Ante_Terminum-c.mid;4;1;4;;;;s;b;OK
Renaissance_Renaissance-Late_Victoria_Tibi_Christe-b.mid;4;1;4;;;;t;b;OK
Renaissance_Renaissance-Late_Victoria_TR05-Una_Hora-1s.mid;4;1 2;4;;;;1s;t;OK
Renaissance_Renaissance-Late_Victoria_TR09-Animam_Meam_Dilectam-s.mid;4;1;4;;;;b;b;OK
Renaissance_Renaissance-Late_Victoria_Victimae_Paschale-b.mid;8;1;8;;;;1s;b;xxxxx
Renaissance_Renaissance-Middle_HenryVIII_hen8cn24.mid;9;2;4;;;;alto;bass;OK
Romanticism_Post-romanticism_Bruckner_Br9-2-MA.mid;21;1;15;;;;Flute;Bass;xxxxx
Romanticism_Post-romanticism_Rachmaninoff_etuded.mid;2;;2;;;;;Piano;xxxxx
Romanticism_Post-romanticism_Rachmaninoff_RachSymphony3-3.mid;41;15;10;;;;F Trumpet;Contrabassoon;xxxxx
