Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
Baroque_Baroque-Late_Bach_1687tpvent10w.mid,3,1 2,3,,,,OK,
Baroque_Baroque-Late_Bach_430bjsbmm15.mid,13,2 3 4 5,6 12,,,,,
Baroque_Baroque-Late_Bach_ARIA_R2.mid,3,1,3,,,,,
Baroque_Baroque-Late_Bach_ARTFUG10.mid,8,1 2 5 6,4 8,,,,,
Baroque_Baroque-Late_Bach_PFA-3ALG.mid,16,,,1,2,,,
Baroque_Baroque-Late_Bach_WTCFUG03.mid,5,,,3 4,5,,,
Baroque_Baroque-Late_Bach_anna-04.mid,2,,,1,2,,,
Baroque_Baroque-Late_Bach_bach_cantata_150_7.mid,7,1 5,4,,,,OK,
Baroque_Baroque-Late_Bach_bjs0974c.mid,6,,,1,2,,,
Baroque_Baroque-Late_Bach_bwv534b.mid,6,1 2 3,5 6,,,,Revisar,
Baroque_Baroque-Late_Bach_f09emaj.mid,3,,,1 2,3,,,
Baroque_Baroque-Late_Bach_jesujoyofmansdesiring.mid,13,7,11,,,,,
Baroque_Baroque-Late_Bach_sinf5.mid,3,,,1 2 ,3,,,
Baroque_Baroque-Late_Haendel_handels4.mid,8,5,4,,,,Revisar,
Baroque_Baroque-Late_Purcell_purcell1.mid,9,1 2,4 5,,,,,
Baroque_Baroque-Late_Vivaldi_Violin_Concerto_in_Bb_RV.383a_Op.4_No.1_3._Allegro_from_La_stravaganza_David_Rothschild_Vivaldi.mid,17,7 8 9,10 12 14,,,,,
Baroque_Baroque-Middle_Becker_02mfrfr_m.mid,4,1 2,4,,,,OK,
Baroque_Baroque-Middle_Uccellini_35op8sy_m.mid,4,1 2,4,,,,OK,
Classicism_Classicism_Haydn_hydn84_2.mid,10,1 2 3 6 7,10,,,,Revisar,
Classicism_Classicism_Haydn_hydn84_3.mid,10,1 2 6,10,,,,Revisar,
Classicism_Classicism_Haydn_sonata_piano_no52_en_Eb_joseph_haydn.mid,4,,,1,2,,,
Classicism_Classicism_Mozart_1787gpk136b.mid,10,1 2 6 7,5 10,,,,Revisar,
Classicism_Classicism_Mozart_1788gpk136c.mid,10,1 6,5 10,,,,Revisar,
