Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;
Baroque_Baroque-Late_Bach_1687tpvent10w.mid;3;1;3;;;;
Baroque_Baroque-Late_Bach_430bjsbmm15.mid;13;3 4;6 11;;;;
Baroque_Baroque-Late_Bach_anna-04.mid;2;;;1;2;;
Baroque_Baroque-Late_Bach_ARIA_R2.mid;3;1;3;;;;
Baroque_Baroque-Late_Bach_ARTFUG10.mid;8;1 2 5 6;4 8;;;;
Baroque_Baroque-Late_Bach_azbwv929.mid;7;NO;;;;;
Baroque_Baroque-Late_Bach_bach_cantata_150_7.mid;7;2;5;;;;
Baroque_Baroque-Late_Bach_bjs0974c.mid;6;;;1;2;;
Baroque_Baroque-Late_Bach_bwv534b.mid;6;3 4 5;6 7;;;;
Baroque_Baroque-Late_Bach_f09emaj.mid;3;;;1 2;3;;
Baroque_Baroque-Late_Bach_jesujoyofmansdesiring.mid;13;5;9;;;11;
Baroque_Baroque-Late_Bach_PFA-3ALG.mid;16;;;1;2;;3 pistas
Baroque_Baroque-Late_Bach_sinf5.mid;3;;;1 2 ;3;;
Baroque_Baroque-Late_Bach_WTCFUG03.mid;5;;;1 2;3;;
Baroque_Baroque-Late_Haendel_handels4.mid;8;5;4;;;;
Baroque_Baroque-Late_Haendel_Mes49.mid;7;NO;;;;;
Baroque_Baroque-Late_Marcello_Gli_uomini_non_cambiano_Antonio_Marcello.mid;8;NO;NO ES CLASICO!;;;;
Baroque_Baroque-Late_Pachelbel_pachelbel_magnificat_part_I_23.mid;16;NO;;;;1;
Baroque_Baroque-Late_Purcell_purcell1.mid;9;2 3;5 6;;;;
Baroque_Baroque-Late_Vivaldi_Violin_Concerto_in_Bb_RV.383a_Op.4_No.1_3._Allegro_from_La_stravaganza_David_Rothschild_Vivaldi.mid;17;6 7;10 12 14;;;;
Baroque_Baroque-Middle_Becker_02mfrfr_m.mid;4;2;5;;;;
Baroque_Baroque-Middle_Uccellini_35op8sy_m.mid;4;2 3;5;;;;
Classicism_Classicism_Haydn_hydn84_2.mid;10;7;11;;;;
Classicism_Classicism_Haydn_hydn84_3.mid;10;7;11;;;;
Classicism_Classicism_Haydn_sonata_piano_no52_en_Eb_joseph_haydn.mid;4;;;1;2;;
Classicism_Classicism_Hummel_1574hmcello2.mid;15;NO;;;;;
Classicism_Classicism_Mozart_1787gpk136b.mid;10;2 3 7 8;6 11;;;;
Classicism_Classicism_Mozart_1788gpk136c.mid;10;2 7;6 11;;;;
Classicism_Classicism_Mozart_A_mozrt3.mid;7;;;4;3;;
Classicism_Classicism_Mozart_mozart-2.mid;12;1 5 9;4 8 12;;;;
Classicism_Classicism_Mozart_sonata-in-c-1_5.mid;7;;;3;4;2;
Classicism_Classicism_Mozart_Symphony35-41-012-k543_1.mid;13;7 8;11;;;;
Classicism_Classicism_Mozart_Symphony35-41-012-msy5514.mid;11;1 7;11;;;;
Classicism_Classicism_Mozart_Symphony35-41-021-mo_sy391.mid;5;NO;;;;;
Classicism_Pre-classicism_Scarlatti_scarlatti_sento_nel_core.mid;3;2;;3;4;;
Medieval_ArsNova_Machau_machaut-b29.mid;4;3;5;;;;
Renaissance_Renaissance-Early_DelEncina_encina-mas_vale_trocar.mid;4;1;4;;;;
Renaissance_Renaissance-Early_Escobar_escobar_lo_que_queda_es_lo_seguro.mid;9;1 2;3;;;;
Renaissance_Renaissance-Late_Byrd_FW008.mid;2;NO;;;;;
Renaissance_Renaissance-Late_Byrd_FW174.mid;2;NO;;;;;
Renaissance_Renaissance-Late_Praetorius_spagnoletta_xxvii.mid;10;1;4;;;;
Renaissance_Renaissance-Late_Victoria_Ascendens_Christus_In_Altum-1-Kyrie-1s.mid;5;2;6;;;;
Renaissance_Renaissance-Late_Victoria_Ave_Regina-2-Gloria.mid;8;2;5 9;;;;
Renaissance_Renaissance-Late_Victoria_Ave_Regina_Caelorum-a_8-2c.mid;8;2;9;;;;
Renaissance_Renaissance-Late_Victoria_Benedicta_Sit-b.mid;6;2;7;;;;
Renaissance_Renaissance-Late_Victoria_Descendit_Angelus-1s.mid;5;2;6;;;;
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-6-Agnus_Dei-2s.mid;7;2 3 ;8;;;;
Renaissance_Renaissance-Late_Victoria_Falsobordon-4-c.mid;5;NO;;;;;
Renaissance_Renaissance-Late_Victoria_Hostis_Herodes_Impie-s.mid;4;2;5;;;;
Renaissance_Renaissance-Late_Victoria_Laudate_Pueri_Dominum.mid;8;2 6;5 9;;;;
Renaissance_Renaissance-Late_Victoria_Magnificat_Octavi_Toni-impares-1c.mid;7;4 5;8;;;;
Renaissance_Renaissance-Late_Victoria_Magnificat_Octavi_Toni-impares-1s.mid;7;4 5;8;;;;
