Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
Baroque_Baroque-Early_Merula_mcan11_m.mid,3,1,3,,,
Baroque_Baroque-Early_Young_04yste_m.mid,4,1,3 4,,,
Baroque_Baroque-Late_Albinoni_Rollerball_Albinoni_Super_8_Remix_cloudburst.mid,2,1,2,,,
Baroque_Baroque-Late_Bach_3PART_06.mid,3,1,3,,,
Baroque_Baroque-Late_Bach_997-5DOU.mid,16,,,1,2,
Baroque_Baroque-Late_Bach_anna-18.mid,2,1,2,,,
Baroque_Baroque-Late_Bach_anna-24.mid,3,1,2 3,,,
Baroque_Baroque-Late_Bach_bjs99014.mid,6,3,4,,,
Baroque_Baroque-Late_Bach_invent1.mid,2,1,2,,,
Baroque_Baroque-Late_Bach_jsbos12.mid,13,5 6 8,7 11,,,
Baroque_Baroque-Late_Bach_MUSOFF_K.mid,1 2,2,,,,
Baroque_Baroque-Late_Bach_p22b_min.mid,2,,,1,2,
Baroque_Baroque-Late_Bach_prelud21.mid,2,,,1,2,
Baroque_Baroque-Late_Bach_WT1_7B.mid,3,,,1 2,3,
Baroque_Baroque-Late_Pachelbel_trumpet_quartet_canon.mid,9,1 2 3,4,,,
Baroque_Baroque-Middle_Rosenmuller_01padal_m.mid,4,1 2,3 4,,,
Classicism_Classicism_Haydn_hay-p38b.mid,4,,,1,2,
Classicism_Classicism_Mozart_2024panos3no1.mid,20,9,13,3 5 7,4 6 8,1
Classicism_Classicism_Mozart_moz330_2.mid,2,,,1,2,
Classicism_Classicism_Mozart_Mozart-minuet-k2-2.mid,2,,,1,2,
Classicism_Classicism_Mozart_mozk22.mid,12,1 2 5 6,9,,,
Medieval_ArsNova_Machau_machaut-b05.mid,3,2,3,,,
Renaissance_Renaissance-Late_Monteverdi_monteverdi_lamento_a1.mid,3,1,3,,,
Renaissance_Renaissance-Late_Praetorius_pragav3.mid,11,2 3,6,,,
Renaissance_Renaissance-Late_Victoria_Ave_Maria_de_Victoria.mid,5,1,4,,,
Renaissance_Renaissance-Late_Victoria_Ave_Maris_Stella-1-Kyrie.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_Ave_Regina-2-Gloria-1t.mid,8,3,4 8,,,
Renaissance_Renaissance-Late_Victoria_Domine_In_Virtute_Tua-1b.mid,8,1 4 5,8,,,
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-5-Benedictus-2c.mid,7,1 2 4,7,,,
Renaissance_Renaissance-Late_Victoria_Ecce_Dominus_Veniet.mid,5,1,5,,,
