"Nombre_fichero","N_Pistas","melody","bass","piano_rh","piano_lh","mixdown"
"Baroque_Baroque-Early_Merula_mcan01_m.mid",3,1,3,,,
"Baroque_Baroque-Late_Bach_1690tpvent13w.mid",3,1,3,,,
"Baroque_Baroque-Late_Bach_2PART_04.mid",2,,,1,2,
"Baroque_Baroque-Late_Bach_a_1pre.mid",2,,,,,
"Baroque_Baroque-Late_Bach_BACH17.MID_dist3.mid",7,,,,,
"Baroque_Baroque-Late_Bach_bakson61.mid",13,,3,2,1,
"Baroque_Baroque-Late_Bach_bjs0978c.mid",6,1,2,,,
"Baroque_Baroque-Late_Bach_BWV948.mid",1,0,,,,
"Baroque_Baroque-Late_Bach_BWV_525.mid",1,3,1,,,
"classicism_Classicism_Haydn_haydn_-9.mid",18,6,9,,,
"Baroque_Baroque-Late_Bach_jsbbrc53.mid",12,5 6,10,,,
"Baroque_Baroque-Late_Haendel_HANDELO2.mid",4,3,4,,,
"Baroque_Baroque-Late_Haendel_Mes39.mid",10,1 5,9,,,
"Baroque_Baroque-Late_Haendel_Mes53b.mid",10,5,9,,,
"Baroque_Baroque-Late_Vivaldi_gp_v05.mid",15,3 4,15,,,
"Baroque_Baroque-Late_Vivaldi_vivaldi_gloria_05_propter_magnam.mid",13,1 5 6,4 8 9 13,,,
"Baroque_Baroque-Middle_Uccellini_34op8sy_m.mid",3,1 2,3,,,
"Classicism_Classicism_Haydn_haydn_-9.mid",5,1 2,,,,
"Classicism_Classicism_Mozart_arias-kv468.mid",5,1, ,,,
"Classicism_Classicism_Mozart_Symphony35-41-012-k543_4.mid",13,7,11,,,
"Classicism_Classicism_Paradis_paradis-sicilienne.mid",5,1,3,,,
"Classicism_Pre-classicism_Boccherini_Boccherini_min.mid",14,1 4 9,13,,,
"Medieval_ArsNova_Machau_machaut-b17.mid",4,2,4,,,
"Renaissance_Renaissance-Early_Dufay_duFay-adieu_vins_lan.mid",5,2,4,,,
"Renaissance_Renaissance-Late_Victoria_Alma_Redemptoris-3-Credo-2c.mid",8,1 5,4 8,,,
"Renaissance_Renaissance-Late_Victoria_Ave_Regina-1-Kyrie-1b.mid",8,1 5,4 8,,,
"Renaissance_Renaissance-Late_Victoria_Ave_Regina-1-Kyrie-1c.mid",8,1 5,4 8,,,
"Renaissance_Renaissance-Late_Victoria_Beata_Es_Virgo_Maria-2b.mid",6,1,6,,,
"Renaissance_Renaissance-Late_Victoria_Congratulamini_Mihi-1t.mid",6,1,6,,,
"Renaissance_Renaissance-Late_Victoria_Deus_Tuorum_Militum-c.mid",4,1,4,,,
"Renaissance_Renaissance-Late_Victoria_Ecce_Sacerdos_Magnus-s.mid",4,1,4,,,
"Renaissance_Renaissance-Late_Victoria_Jesu_Nostra_Redemptio-c.mid",4,1,4,,,
"Renaissance_Renaissance-Late_Victoria_LJ2-Vau_Et_Egressus_Est-b.mid",5,1 2,5,,,
"Renaissance_Renaissance-Late_Victoria_LJ9-Incipit_Oratio_Jeremiae-2t.mid",8,1 2,7 8,,,
"Renaissance_Renaissance-Late_Victoria_Magnificat_Secundi_Toni-impares-2c.mid",5,1,5,,,
"Renaissance_Renaissance-Late_Victoria_O_Ildenphonse-1c.mid",8,1 2 5,4 8,,,
"Renaissance_Renaissance-Late_Victoria_OD-09-Versa_Est_In_Luctum-2s.mid",6,1 2,6,,,
"Renaissance_Renaissance-Late_Victoria_Pro_Victoria-4-Sanctus-2s.mid",9,1 2,9,,,
"Renaissance_Renaissance-Late_Victoria_Quem_Vidistis_Pastores-2s.mid",6,1 2,6,,,
"Renaissance_Renaissance-Late_Victoria_Requiem_a_4_voces-03-Graduale-c.mid",4,1,4,,,
"Renaissance_Renaissance-Late_Victoria_Salve-2-Gloria-3s.mid",8,5,4 8,,,
"Renaissance_Renaissance-Late_Victoria_Salve-4-Sanctus_y_Benedictus-2c.mid",8,1,8,,,
"Renaissance_Renaissance-Late_Victoria_Salve_Regina-a_6-1s.mid",6,1,6,,,
"Renaissance_Renaissance-Late_Victoria_TR11-Iesum_Tradidit_Impius.mid",4,1,4,,,
"Renaissance_Renaissance-Late_Victoria_Vere_Languores_Nostros_Ipse_Tulit-s.mid",4,1,4,,,
