Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;;;;;
Baroque_Baroque-Early_Merula_mcan01_m.mid;3;1;3;;;;Primo Violino;Basso Continuo;ok;;
Baroque_Baroque-Late_Bach_1690tpvent13w.mid;3;1;3;;;;OBOE;BASSOON;changed;;
Baroque_Baroque-Late_Bach_2PART_04.mid;2;;;1;2;;RH;LH;changed;;
Baroque_Baroque-Late_Bach_a_1pre.mid;2;;;;;;Reed Organ          ;;changed;Las dos pistas son iguales;
Baroque_Baroque-Late_Bach_BACH17.MID_dist3.mid;7;;;;;;;;not;No valido. Solo tiene una pista válida;***
Baroque_Baroque-Late_Bach_bakson61.mid;13;;3;2;1;;Great RH;Pedal;changed;;
Baroque_Baroque-Late_Bach_bjs0978c.mid;6;1;2;;;;3rd movement - allegro; BWV 978;ok;;
Baroque_Baroque-Late_Bach_BWV948.mid;1;0;;;;;;;not;;***
Baroque_Baroque-Late_Bach_BWV_525.mid;1;3;1;;;;;;changed;revisar: dos pistas melodia?;
classicism_Classicism_Haydn_haydn_-9.mid;18;6;9;;;;Violin 1;Cello;ok;;
Baroque_Baroque-Late_Bach_jsbbrc53.mid;12;5 6;10;;;;Flute;Contrabass;changed;;
Baroque_Baroque-Late_Haendel_HANDELO2.mid;4;3;4;;;;;;ok;;
Baroque_Baroque-Late_Haendel_Mes39.mid;10;1 5;9;;;;;;ok;;
Baroque_Baroque-Late_Haendel_Mes53b.mid;10;5;9;;;;;;ok;;
Baroque_Baroque-Late_Vivaldi_gp_v05.mid;15;3 4;15;;;;The Four Seasons;;changed;;
Baroque_Baroque-Late_Vivaldi_vivaldi_gloria_05_propter_magnam.mid;13;1 5 6;4 8 9 13;;;;Violini I;Violoncelli;changed;revisar;
Baroque_Baroque-Middle_Uccellini_34op8sy_m.mid;3;1 2;3;;;;Violino Secondo ad Lib.;B. Continuo e Violone;changed;;
Classicism_Classicism_Haydn_haydn_-9.mid;5;1 2;;;;;;;changed;;
Classicism_Classicism_Mozart_arias-kv468.mid;5;1; ;;;;Vocals;Pianoforte (or Organ) ;changed;;
Classicism_Classicism_Mozart_MOZMF14_R1.mid;1;0;;;;;Flute;;NOT;;***
Classicism_Classicism_Mozart_Symphony35-41-012-k543_4.mid;13;7;11;;;;;;changed;;
Classicism_Classicism_Mozart_turkish_2.mid;5;5;;;;;X Piano             ;;NOT;solo tiene una pista valida;***
Classicism_Classicism_Paradis_paradis-sicilienne.mid;5;1;3;;;;Sicilienne;Arranged by Samuel Dushkin;changed;;
Classicism_Pre-classicism_Boccherini_Boccherini_min.mid;14;1 4 9;13;;;;MINUET;;changed;;
Classicism_Pre-classicism_Scarlatti_K020.mid;1;0;;;;;;;NOT;;***
Classicism_Pre-classicism_Scarlatti_K128.mid;1;0;;;;;;;NOT;;***
Classicism_Pre-classicism_Scarlatti_K158.mid;1;0;;;;;;;NOT;;***
Classicism_Pre-classicism_Scarlatti_K274.mid;1;0;;;;;;;NOT;;***
Classicism_Pre-classicism_Scarlatti_K368.mid;1;0;;;;;;;NOT;;***
Classicism_Pre-classicism_Scarlatti_K380_2.mid;1;1;;;;;;;NOT;;***
Classicism_Pre-classicism_Scarlatti_scad_238.mid;2;1;;;;;;;NOT;solo tiene una pista valida;***
Medieval_ArsNova_Machau_machaut-b17.mid;4;2;4;;;;    /Dame; dolens    ;changed;;
Medieval_Gregorian_gre99.mid;1;1;;;;;;;NOT;;***
Renaissance_Renaissance-Early_Dufay_duFay-adieu_vins_lan.mid;5;2;4;;;;Rondeau (ABaAabAB);sequenced by Aitor Ceballos;ok;;
Renaissance_Renaissance-Late_Dowland_dowland-galliard_2.mid;2;1;1;;;;John Dowland (1563-1626);John Dowland (1563-1626);NOT;son la misma pista;***
Renaissance_Renaissance-Late_Victoria_Alma_Redemptoris-3-Credo-2c.mid;8;1 5;4 8;;;;1b;1b;changed;;
Renaissance_Renaissance-Late_Victoria_Ave_Regina-1-Kyrie-1b.mid;8;1 5;4 8;;;;1t;1b;changed;;
Renaissance_Renaissance-Late_Victoria_Ave_Regina-1-Kyrie-1c.mid;8;1 5;4 8;;;;1t;1b;changed;;
Renaissance_Renaissance-Late_Victoria_Beata_Es_Virgo_Maria-2b.mid;6;1;6;;;;s;2b;ok;;
Renaissance_Renaissance-Late_Victoria_Congratulamini_Mihi-1t.mid;6;1;6;;;;1s;b;ok;;
Renaissance_Renaissance-Late_Victoria_Deus_Tuorum_Militum-c.mid;4;1;4;;;;b;b;ok;;
Renaissance_Renaissance-Late_Victoria_Ecce_Sacerdos_Magnus-s.mid;4;1;4;;;;s;b;ok;;
Renaissance_Renaissance-Late_Victoria_Jesu_Nostra_Redemptio-c.mid;4;1;4;;;;b;b;changed;;
Renaissance_Renaissance-Late_Victoria_LJ2-Vau_Et_Egressus_Est-b.mid;5;1 2;5;;;;1s;b;changed;;
