Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
11pmtheme.mid,10,2 3 4 5,7,,,
20thcenturystomp.mid,18,1 2 3,11,,,
2ndtime.mid,4,3,2,,,
4thAvenueTheme.mid,11,5,1,,,
AFoggyD.MID,30,16,2,,,
agfih2find.mid,7,7,4,,,
ALICEINW.MID,4,3,1,,,
AllOfMe2.mid,8,5,2 3,,,
alltheth.mid,4,,2,,,
alone.mid,23,5 6,3,,,
Alonetog.mid,17,2,1,,,
along.mid,14,3 4 5,1,,,
Anthropology.mid,3,1,2,,,
AroundVG.MID,31,1,3,,,
atIknew.mid,24,11 12 13 14,7,,,
Atrain.mid,31,19 21 24 25 26,18,,,
atrain2.mid,11,4,2 5,,,
auprvave.mid,6,2,1,,,
autumn_leaves.MID,3,1,3,,,
Bach3B.MID,12,2 3 5,6,,,
Basiervg.mid,29,17 19,15,,,
bayou.mid,9,1,9,,,
bbblues.mid,7,6,5,,,
bbossaje.mid,24,1 3 6 8 14 ,16,,,
bdazhed.mid,15,3 4 5 6,1,,,
beacon.mid,16,4 8,1,,,
Beautiful_Love.mid,5,,2,,,
Berniestune.mid,4,2,1,,,
bewitched.mid,5,3,5,,,
BigMess.mid,6,4,3,,,
bigtime.mid,24,3 18 19,4 5 7 9,,,
bl4alice.mid,10,3,2,,,
BLBOSSA.MID,4,4,2,,,
Blknrcs.mid,8,1 2,4,,,
Bluenboo.mid,6,3 4,1,,,
Blues4Basie.mid,4,1,3,,,
bluesette.mid,20,5 7,3,,,
BluesForTrane.mid,11,1 7,4,,,
blueswalk.mid,7,4 5,2,,,
BlueTrain.mid,17,11 12 14 15 16,5 13,,,
blumonk.mid,5,1 2 5,4,,,
BodyAndSoul.mid,20,4 5,1,,,
BodySoul_tb.MID,6,1,6,,,
bolivia.mid,13,1 2 6 7,8,,,
Bop_OnTR.mid,4,2,3,,,
BORGAN_Lues.mid,4,2,3,,,
Born2BBlue.mid,10,3 6 7,2,,,
BPowell.mid,17,3 4 5 7 8,1,,,
brasil.mid,9,7 9,6,,,
Breezin_.mid,6,4 5,3,,,
broadwa2.mid,4,,2 3,,,
budo.mid,6,3,5,,,
Bye_ByeG.MID,30,4,2,,,
caravan.mid,29,5 6 7 8,2,,,
carchase.mid,22,4 5,3,,,
carnival.MID,5,5 4,1,,,
Cat_Walk.mid,12,9 11,3,,,
Chameleon.mid,15,6 7 8 14,11 12,,,
Cheek_To_Cheek.mid,7,1,2,,,
chega.mid,13,6 7,8,,,
CHIM.mid,4,3 4,,,,
chromBlinF.mid,4,3,1,,,
chsticks.mid,15,2 5,3,,,
CityGate.mid,18,4 5 16,9 10,,,
CleanSweep.mid,19,4 6 7 8,1,,,
comerain.mid,3,,1,,,
comerain2.MID,5,4,1,,,
conalma.mid,7,,2,,,
Corner_pocket.mid,17,1 2 3 4 6 7,16,,,
CottonG.MID,30,4 5 6 7 9,2,,,
criss-cross.mid,12,4 5,1,,,
Cute.mid,29,4 5 6 9 13,2,,,
daybyday2.mid,5,2,3,,,
DaysOf.mid,3,,1,,,
decoy.mid,15,1,5,,,
Desafinado78.mid,10,4 5 6 7,2,,,
dig.mid,3,3,2,,,
doxy.mid,9,1 2 4 6,8,,,
DstMeT.mid,8,4 7,2,,,
EndOfSummer.mid,5,5,,,,
escucha.mid,10,4 5 7,3,,,
eyeotbeh.mid,27,3,1,,,
FarWes.MID,3,1,3,,,
FastBluesJam.mid,6,4,3,,,
felicid.MID,7,3 6 7 ,1,,,
fever2.mid,31,4,2,,,
flybynight.mid,27,6,1,,,
Footprints_R.mid,6,3,1,,,
FreckleFace.mid,30,4 9 10,2,,,
Freedom_At_Midnight.mid,6,6,4,,,
funkallero.mid,10,2,1,,,
Georgia.mid,20,1,,1,2,
goodbait.mid,29,4,1,,,
gotrhytm.mid,2,1,,,,
grooving_hard.mid,31,17 18 22 23 24 25,15,,,
groovn.mid,14,7 8,3,,,
halfzware_shag.mid,10,2 3 10,6,,,
HaNiceDayG.MID,30,4 5 6 9 10 12,2,,,
HaveUMMsJ.mid,7,,2,,,
hayBurner.mid,16,4 9 10,2,,,
Heat.mid,8,1,2,,,
HeatsOnG.MID,31,4 5 6 9 10,2,,,
helpme.mid,7,4,2,,,
Here.mid,11,5,6,,,
honey.MID,6, ,3,,,
hornfunk.mid,19,1 3 5,4 15,,,
HOW.mid,9,5,3,,,
HowIns.mid,17,2 3 10,4,,,
IALikeBeingInLove.mid,3, ,2,,,
ICWABook.mid,4,3,2,,,
Idkwhtime.mid,3,3,1,,,
IGrownAcc2HF.mid,3,,2,,,
Impressions.mid,4,4,1,,,
in_love_with_night.mid,8,2 6 8,3,,,
ineverknew.mid,3,,2,,,
INVITATION.mid,5,4,3,,,
ISaidItbefore.mid,11,,1,,,
itsallright.mid,5,5,1,,,
itsjusttalk.mid,15,5 6 13,4,,,
joshua.mid,6,3,1,,,
joyed.mid,14,3 6 7,1 14,,,
JoySpring.mid,3,,2,,,
Justfren.mid,15,7 8 9 10 11,5,,,
Justjazz.mid,16,2 3 4 5,2,,,
JustOneG.MID,30,4 6 9 10,2,,,
KathysWaltz.mid,9,8 9,1,,,
kicker2.mid,10,1 10,2 8 ,,,
killerjoe.mid,18,4 5 6 7 8 10,2,,,
LauraG.mid,6,1 2,6,,,
LBirdland.mid,6,3 4 5,2,,,
LibertyCity.mid,12,2 3 4 5 9 ,1 12,,,
LilDarlin.MID,12,3 4 11,1,,,
LittlePixieG.MID,29,4 5 9 10 11 12,2,,,
Lovehere.mid,17,4 8 11,2,,,
LoveMachine.mid,5,4,2,,,
Lovewalkedin.mid,3,3,1,,,
lullaby.mid,17,8 11,2,,,
Mack.mid,12,2 7 8,10,,,
maisquenada.mid,7,2 3 5,4,,,
Mannix.mid,30,4 6 9 12,2,,,
MapleLeafRag.mid,2,1,,1,2,
medit.mid,2,1,,,,
menilmuche.mid,13,1,2,,,
minorsw.mid,3,1,3,,,
Mnksmd.mid,6,2,3,,,
move.mid,5,2,3,,,
mwv_blues.mid,11,3,5,,,
myfoolheart.mid,5,1 4,3,,,
naima95.mid,27,7,2,,,
Nardisg.mid,5,4 5,1,,,
NETBOP.MID,4, ,3,,,
nica.mid,5,,2,,,
Nicadream.mid,6,5,1,,,
NoMoreBlues.mid,20,7 8,2,,,
NothinG.MID,30,4 5 9 10,2,,,
nowsthet.mid,17,4 5 6,2,,,
one4hellen.mid,17,4,1,,,
onenote.mid,9,4 5 6 7,3,,,
OpFunk.mid,17,1 2 5,4,,,
OrthlgyG.MID,30,18 20 23 26,16,,,
OurLove_x.mid,4,,2,,,
paladium.mid,18,3 6 7 8,1,,,
palco.mid,13,4 5 6 10,1,,,
pep.mid,14,4 5,3,,,
perissc.mid,17,3,1,,,
petite_fleur.mid,11,10,1 6,,,
phasedance.mid,14,6 7,2,,,
pinebark.mid,17,4 5 7,3,,,
pinkp.mid,14,7 9 10,4,,,
poinciana.mid,17,3 4 5,2,,,
PorgyG.MID,30,18 20 23 24,16,,,
quick.mid,8,1 3 4,5,,,
riofunk.mid,6,4 5,1,,,
RioSamba.MID,12,1 5 6 8,3,,,
rndmngt.mid,19,4 5,1,,,
RockMeBaby.mid,7,2 5 7,4,,,
roofgdn2.mid,9,1 4 7,2,,,
Route66G.MID,30,4 5 6 7 9 10,2,,,
rumble.mid,12,3 4,5,,,
Samba_do_Aviao.mid,10,,2,,,
ScrapleG.MID,29,17 19 22 23 24,15,,,
Senor2.mid,7,1 2,6,,,
sentmood.mid,10,2 5,8,,,
seven.mid,7,4,3,,,
shawnuff.mid,6,4 5,1,,,
sinceIfell.mid,9,7,9,,,
SingSing.mid,16,4 9 15 16,2 6,,,
snochase.mid,17,4 8 11,3,,,
solar.mid,15,4 5 10 11,1,,,
someday.mid,7,6,2,,,
someday2.mid,17,4 5,2,,,
sonata4vc.mid,6,5,3,,,
songfor.mid,10,2 4 5,3,,,
songforbilbao.mid,8,6 7 8,2,,,
soon.mid,8,6,7,,,
SophisticatedLady.mid,31,23,16,,,
speaklo3.mid,7,,1,,,
spknoevl.mid,22,1 2 3 6 14,16,,,
SpLACh.mid,10,1 3 4 8,6,,,
straight.mid,4,2 3,1,,,
sushi.mid,16,2,8,,,
SweetSixteen.mid,10,1 4 5 7 8,2,,,
Swing42.mid,15,3 4 5 6,8,,,
Takerv3g.mid,30,4 6 9 10 13,2,,,
TakinAC.mid,3, ,1,,,
Teentown.mid,8,4 5 6,1,,,
tempusfugit.mid,6,1,5,,,
thechicken.mid,9,3 4 5 6,1,,,
TheJoke.MID,9,6 8 9,2,,,
TheOddCpl.mid,30,4 5 6 9 10,2,,,
thomas.mid,6, ,2,,,
toss_up.mid,16,2 3 7,1,,,
tp.mid,16,1 6 7,15,,,
Triste.mid,11,3,4,,,
tristeza.mid,17,3,2,,,
tunisia.mid,22,1 2 3 4 6 7 8,17,,,
tutu.mid,13,2 5 6,1,,,
Vegaswk.mid,16,6 7 8,2,,,
veryearly.mid,11,1,3,,,
WALTZ.mid,5,4,3,,,
Wave3.mid,9,3 7,4,,,
weasel.mid,15,3 6 7 8,2,,,
wellyoun.mid,8,2 3 6 7,1,,,
whisper.mid,4,,1,,,
whispernot.mid,17,3 4 5,2,,,
Whocaniturnto.mid,18,5,3 4,,,
Woods1G.MID,20,16 17,,,,
world.mid,30,16,2,,,
WWHappens.mid,30,16,2,,,
wylhg.mid,3,,1,,,
xmas.mid,6,2,5,,,
YardBrdG.MID,30,18 19 23 24,16,,,
younight.mid,18,3 4 5,6,,,
youstep.mid,3,,2,,,
yuarrest.mid,6,1 2,4,,,
zanzibar.mid,10,2 3 9,4,,,
Zip-A-Dee-Doo-Dah.mid,29,17 19 22 23 24,15,,,
