Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
"1931.MID",7,6,1,,,
"ACCENTUATE_THE_POSITIVE.MID",7,6,1,,,
"ACCUSTOMED_TO_HER_FACE.MID",7,6,1,,,
"AFRICAN_FLOWER.MID",7,6,1,,,
"AFRO_BLUE.MID",7,6,1,,,
"AINT_MISBEHAVIN.MID",7,6,1,,,
"AIREGIN.MID",7,6,1,,,
"ALICE_IN_WONDERLAND.MID",7,6,1,,,
"ALLO.MID",7,6,1,,,
"ALL_IN_LOVE_IS_FAIR.MID",7,6,1,,,
"ALL_MY_TOMORROWS.MID",7,6,1,,,
"ALL_OF_YOU.MID",7,6,1,,,
"ALONE_TOGETHER.MID",7,6,1,,,
"ALWAYS.MID",7,6,1,,,
"AM_I_BLUE.MID",7,6,1,,,
"ANA_MARIA.MID",7,6,1,,,
"AND_I_LOVE_HER.MID",7,6,1,,,
"ANGEL_EYES.MID",7,6,1,,,
"ANOTHER_YOU_THERE_WILL_NEV.MID",7,6,1,,,
"ANTHROPOLOGY.MID",7,6,1,,,
"ANYTHING_FOR_YOU.MID",7,6,1,,,
"ANYTHING_GOES.MID",7,6,1,,,
"ANYWAY.MID",7,6,1,,,
"ANY_TIME.MID",7,6,1,,,
"APRIL_IN_PARIS.MID",7,6,1,,,
"APRIL_JOY.MID",7,6,1,,,
"ARMAGEDDON.MID",7,6,1,,,
"AT_LAST_IVE_FOUND_YOU.MID",7,6,1,,,
"AUTUMN_IN_NEW_YORK.MID",7,6,1,,,
"AUTUMN_LEAVES.MID",7,6,1,,,
"A_CHANCE_TO_TRY_AGAIN.MID",7,6,1,,,
"A_Call_for_All_Demons.MID",7,6,1,,,
"A_Certain_Smile.MID",7,6,1,,,
"A_Child_is_Born.MID",7,6,1,,,
"A_Cottage_For_Sale.MID",7,6,1,,,
"A_FELICIDADE.MID",7,6,1,,,
"A_FINAL_DRINK.MID",7,6,1,,,
"A_Family_Joy.MID",7,6,1,,,
"A_Foggy_Day.MID",7,6,1,,,
"A_PURO_SOL.MID",7,6,1,,,
"A_SUNDAY_KIND_OF_LOVE.MID",7,6,1,,,
"A_Smooth_One.MID",7,6,1,,,
"A_kiss_to_build_a_dream_on.MID",7,6,1,,,
"A_lonely_man.MID",7,6,1,,,
"A_nightingale_sang_in_Berke.MID",7,6,1,,,
"AckVE.MID",7,6,1,,,
"All_About_Ronnie.MID",7,6,1,,,
"All_Blues.MID",7,6,1,,,
"All_By_Myself.MID",7,6,1,,,
"All_Gods_Chillun_Got_Rhyth.MID",7,6,1,,,
"All_Of_Me.MID",7,6,1,,,
"All_Or_Nothing_At_All.MID",7,6,1,,,
"All_the_way_Jimmy_van_Heus.MID",7,6,1,,,
"Almost_Like_Being_in_Love.MID",7,6,1,,,
"Along_Came_Betty.MID",7,6,1,,,
"Angel_Eyes.MID",7,6,1,,,
"Antigua.MID",11,6 8,1,,,
"As_Time_Goes_By.MID",7,6,1,,,
"Au_Privave.MID",7,6,1,,,
"Autumn_Leaves.MID",7,6,1,,,
"Avant_de_Mourir.MID",7,6,1,,,
"Ay_Arriba.MID",7,6,1,,,
"BAGS_GROOVE_F_BLUES.MID",7,6,1,,,
"BA_LUE_BOLIVAR_BA_LUES_ARE.MID",7,6,1,,,
"BEAUTIFUL_LOVE.MID",7,6,1,,,
"BEAUTY_AND_THE_BEAST.MID",7,6,1,,,
"BEGINNING_TO_SEE_THE_LIGHT.MID",7,6,1,,,
"BEMSHA_SWING.MID",7,6,1,,,
"BESSIES_BLUES.MID",7,6,1,,,
"BETTER_IN_FRENCH.MID",7,6,1,,,
"BEWITCHED.MID",7,6,1,,,
"BE_CERTAIN.MID",7,6,1,,,
"BIG_NICK.MID",7,6,1,,,
"BILLY_BOY.MID",7,6,1,,,
"BLACK_DIAMOND.MID",7,6,1,,,
"BLACK_NARCISSUS.MID",7,6,1,,,
"BLUESETTE.MID",7,6,1,,,
"BLUES_RIFF.MID",7,6,1,,,
"BLUE_BOSSA.MID",7,6,1,,,
"BLUE_COMEDY.MID",7,6,1,,,
"BLUE_MONK.MID",7,6,1,,,
"BLUE_MOON.MID",7,6,1,,,
"BLUE_ROOM.MID",7,6,1,,,
"BLUE_TRANE.MID",7,6,1,,,
"BODY_AND_SOUL.MID",7,6,1,,,
"BOPLICITY.MID",7,6,1,,,
"BORN_TO_BE_BLUE.MID",7,6,1,,,
"BOTH_SIDES_NOW.MID",7,6,1,,,
"BREEZIN.MID",7,6,1,,,
"BRIGHT_MISSISSIPPI.MID",7,6,1,,,
"BRIGHT_SIZE_LIFE.MID",7,6,1,,,
"BRILLIANT_CORNERS.MID",7,6,1,,,
"BRITE_BREEZY.MID",7,6,1,,,
"BULLET_TRAIN.MID",7,6,1,,,
"BUT_BEAUTIFUL_Jimmy_van_He.MID",7,6,1,,,
"BUT_NOT_FOR_ME.MID",7,6,1,,,
"BYE_BYE_BLACKBIRD.MID",7,6,1,,,
"Backstage_Sally.MID",7,6,1,,,
"Birks_works_Dizzy_Gillesp.MID",7,6,1,,,
"Black_Coffee.MID",7,6,1,,,
"Black_Nile.MID",7,6,1,,,
"Black_Orpheus_Orfeo_Negro.MID",7,6,1,,,
"Black_Velvet_Alann.MID",7,6 7,1,,,
"Blame_It_On_My_Youth.MID",7,6,1,,,
"Blue_Skies.MID",7,6,1,,,
"Blue_in_Green.MID",7,6,1,,,
"Bluemax.MID",7,6,1,,,
"Blues_Backstage_Frank_Fost.MID",7,6,1,,,
"Blues_For_Alice.MID",7,6,1,,,
"Blues_March.MID",7,6,1,,,
"Brainville.MID",7,6,1,,,
"But_Beautiful.MID",7,6,1,,,
"But_Not_For_Me_Verse.MID",7,6,1,,,
"By_Myself.MID",7,6,1,,,
"CALL_IT_A_SUMMER_DAY.MID",7,6,1,,,
"CANDLE_GLOW.MID",7,6,1,,,
"CANDYMAN.MID",7,6,1,,,
"CANT_BUY_ME_LOVE.MID",7,6,1,,,
"CANT_WE_BE_FRIENDS.MID",7,6,1,,,
"CAPTAIN_MARVEL.MID",7,6,1,,,
"CARNIVAL.MID",7,6,1,,,
"CEORA.MID",7,6,1,,,
"CHACQUE_FOIS.MID",7,6,1,,,
"CHARLSTON.MID",7,6,1,,,
"CHATTENOOGA_CHOO_CHOO.MID",7,6,1,,,
"CHILD_IS_BORN_A.MID",7,6,1,,,
"CHRISTMAS_IS_HERE.MID",7,6,1,,,
"CHRISTMAS_SONG.MID",7,6,1,,,
"CLEAR_DAY_ON_A.MID",7,6,1,,,
"CLOSE_TO_YOU.MID",7,6,1,,,
"COME_SUNDAY.MID",7,6,1,,,
"CONFESSIN_THAT_I_LOVE_YOU.MID",7,6,1,,,
"CORAL.MID",7,6,1,,,
"CORCOVADO.MID",7,6,1,,,
"COTTONTAIL.MID",7,6,1,,,
"COULD_IT_BE_YOU.MID",7,6,1,,,
"COUNTDOWN.MID",7,6,1,,,
"COUNTRY_NIGHTS.MID",7,6,1,,,
"CRAZY.MID",7,6,1,,,
"CRISS_CROSS.MID",7,6,1,,,
"CRUISING_AROUND.MID",7,6,1,,,
"CRUSH_ON_YOU_IVE_GOT_A.MID",7,6,1,,,
"CRYSTAL_SILENCE.MID",7,6,1,,,
"CRY_ME_A_RIVER.MID",7,6,1,,,
"CUANDO_CUANDO.MID",7,6,1,,,
"CUTE.MID",7,6,1,,,
"Cabaret_Fred_Ebb_John.MID",7,6,1,,,
"Candy.MID",7,6,1,,,
"Cant_Help_Lovin_That_Ma.MID",7,6,1,,,
"Caravan.MID",7,6,1,,,
"Carioca.MID",7,6,1,,,
"Cheek_to_Cheek_Berlin.MID",7,6,1,,,
"Chega_De_Saudade_No_More_B.MID",7,6,1,,,
"City_of_New_Orleans...by_S.MID",7,6,1,,,
"Come_Rain_or_Come_Shine.MID",7,6,1,,,
"Con_Alma.MID",7,6,1,,,
"Conception.MID",7,6,1,,,
"Confirmation.MID",7,6,1,,,
