"Nombre_fichero","N_Pistas","melody","bass","piano_rh","piano_lh","mixdown"
"A_Child_is_Born.MID",7,6,1,,,
"A_Family_Joy.MID",7,6,1,,,
"A_Fine_Romance.MID",7,6,1,,,
"A_Foggy_Day.MID",7,6,1,,,
"A_Night_in_Tunisia.MID",7,6,1,,,
"African_Flower.MID",7,6,1,,,
"Afro_Blue.MID",7,6,1,,,
"After_Youve_Gone.MID",7,6,1,,,
"Afternoon_In_Paris.MID",7,6,1,,,
"Airegin.MID",7,6,1,,,
"Alfie.MID",7,6,1,,,
"Alice_in_Wonderland.MID",7,6,1,,,
"All_Blues_3_4_version.MID",7,6,1,,,
"All_Blues.MID",7,6,1,,,
"All_In_Love_Is_Fair.MID",7,6,1,,,
"All_My_Tomorrows.MID",7,6,1,,,
"ALL_OF_ME.MID",7,6,1,,,
"All_Of_You.MID",7,6,1,,,
"All_The_Things_You_Are.MID",7,6,1,,,
"Alone_Together.MID",7,6,1,,,
"Ana_Maria.MID",7,6,1,,,
"And_on_the_Third_Day.MID",7,6,1,,,
"Angel_Eyes.MID",7,6,1,,,
"Anthropology.MID",7,6,1,,,
"April_In_Paris.MID",7,6,1,,,
"Armageddon.MID",7,6,1,,,
"As_Time_Goes_By.MID",7,6,1,,,
"ASK_ME_NOW.MID",7,6,1,,,
"Au_Privave.MID",7,6,1,,,
"Autumn_In_New_York.MID",7,6,1,,,
"Ay_Arriba.MID",7,6,1,,,
"Beautiful_Love.MID",7,6,1,,,
"Bessies_Blues.MID",7,6,1,,,
"Bewitched_Bothered_and_Bew.MID",7,6,1,,,
"Big_Nick.MID",7,6,1,,,
"Black_Diamond.MID",7,6,1,,,
"Black_Narcissus.MID",7,6,1,,,
"Black_Nile.MID",7,6,1,,,
"Black_Orpheus_Orfeo_Negro.MID",7,6,1,,,
"Blue_Bossa.MID",7,6,1,,,
"Blue_Comedy.MID",7,6,1,,,
"Blue_in_Green.MID",7,6,1,,,
"Blue_Room.MID",7,6,1,,,
"Blue_Trane.MID",7,6,1,,,
"Blues_for_Alice.MID",7,6,1,,,
"Bluesette.MID",7,6,1,,,
"Body_and_Soul.MID",7,6,1,,,
"Boplicity.MID",7,6,1,,,
"Brainville.MID",7,6,1,,,
"Bright_Size_Life.MID",7,6,1,,,
"Brownout.MID",7,6,1,,,
"But_Beautiful.MID",7,6,1,,,
"BYE_YA.MID",7,6,1,,,
"Captain_Marvel.MID",7,6,1,,,
"Ceora.MID",7,6,1,,,
"Chega_De_Saudade_No_More_B.MID",7,6,1,,,
"Cherokee.MID",7,6,1,,,
"Come_Sunday.MID",7,6,1,,,
"Con_Alma.MID",7,6,1,,,
"Conception.MID",7,6,1,,,
"Coral.MID",7,6,1,,,
"Corcovado_Quiet_Nights_of_Q.MID",7,6,1,,,
"Cottontail.MID",7,6,1,,,
"Could_it_be_You.MID",7,6,1,,,
"Countdown.MID",7,6,1,,,
"Country_Roads.MID",7,6,1,,,
"Crystal_Silence.MID",7,6,1,,,
"Daahoud.MID",7,6,1,,,
"Deluge.MID",7,6,1,,,
"Desafinado.MID",7,6,1,,,
"Dexterity.MID",7,6,1,,,
"Django.MID",7,6,1,,,
"Dolphin_Dance.MID",7,6,1,,,
"Dolphin_The.MID",7,6,1,,,
"Dont_Get_Around_Much_Anymo.MID",7,6,1,,,
"Donna_Lee.MID",7,6,1,,,
"Doxy.MID",7,6,1,,,
"Duke_The.MID",7,6,1,,,
"E.S.P..MID",7,6,1,,,
"Easy_Living.MID",7,6,1,,,
"Easy_to_Love.MID",7,6,1,,,
"Eighty_One.MID",7,6,1,,,
"El_Gaucho.MID",7,6,1,,,
"Empathy.MID",7,6,1,,,
"Epistrophy.MID",7,6,1,,,
"Equinox.MID",7,6,1,,,
"Equipoise.MID",7,6,1,,,
"Fables_of_Faubus.MID",7,6,1,,,
"Fall.MID",7,6,1,,,
"Falling_Grace.MID",7,6,1,,,
"Falling_in_Love_With_Love.MID",7,6,1,,,
"Fee_Fi_Fo_Fum.MID",7,6,1,,,
"Five_Hundred_Miles_High.MID",7,6,1,,,
"Five_o_Two_Blues.MID",7,6,1,,,
"Footprints.MID",7,6,1,,,
"For_Heavens_Sake.MID",7,6,1,,,
"Forest_Flower.MID",7,6,1,,,
"Four_on_Six.MID",7,6,1,,,
"Four.MID",7,6,1,,,
"Freedom_Jazz_Dance.MID",7,6,1,,,
"Giant_Steps.MID",7,6,1,,,
"Glorias_Step.MID",7,6,1,,,
"God_Bless_the_Child.MID",7,6,1,,,
"Goodbye_Pork_Pie_Hat.MID",7,6,1,,,
"Grand_Central.MID",7,6,1,,,
"Green_Dolphin_Street.MID",7,6,1,,,
"Groovin_High.MID",7,6,1,,,
"Half_Nelson.MID",7,6,1,,,
"Have_You_Met_Miss_Jones.MID",7,6,1,,,
"Heaven.MID",7,6,1,,,
"Hello_Young_Lovers.MID",7,6,1,,,
"Heres_That_Rainy_Day.MID",7,6,1,,,
"Hey_There.MID",7,6,1,,,
"House_of_Jade.MID",7,6,1,,,
"How_High_the_Moon.MID",7,6,1,,,
"How_Insensitive.MID",7,6,1,,,
"I_Cant_Get_Started.MID",7,6,1,,,
"I_Could_Write_a_Book.MID",7,6,1,,,
"I_Got_It_Bad.MID",7,6,1,,,
"I_Let_a_Song_Go_Out_of_my.MID",7,6,1,,,
"I_MEAN_YOU.MID",7,6,1,,,
"Interplay.MID",7,6,1,,,
"Invitation.MID",7,6,1,,,
"Isnt_it_Romantic.MID",7,6,1,,,
"Isotope.MID",7,6,1,,,
"It_Dont_Mean_a_Thing.MID",7,6,1,,,
"Jinriksha.MID",7,6,1,,,
"Jordu.MID",7,6,1,,,
"Joy_Spring.MID",7,6,1,,,
"Ju_Ju.MID",7,6,1,,,
"Jump_Monk.MID",7,6,1,,,
"Just_Friends.MID",7,6,1,,,
"Lady_Bird.MID",7,6,1,,,
"Lament.MID",7,6,1,,,
"Lazybird.MID",7,6,1,,,
"Like_Someone_In_Love.MID",7,6,1,,,
"Limehouse_Blues.MID",7,6,1,,,
"Little_Waltz.MID",7,6,1,,,
"Long_Ago_and_Far_Away.MID",7,6,1,,,
"Look_to_the_Sky.MID",7,6,1,,,
"Lucky_Southern.MID",7,6,1,,,
"Lullaby_of_Birdland.MID",7,6,1,,,
"Lush_Life.MID",7,6,1,,,
"Maiden_Voyage.MID",7,6,1,,,
"Majoong.MID",7,6,1,,,
"Meditation.MID",7,6,1,,,
"Memories_of_Tommorow.MID",7,6,1,,,
"Michelle.MID",7,6,1,,,
"Misty.MID",7,6,1,,,
"Miyako.MID",7,6,1,,,
"Moments_Notice.MID",7,6,1,,,
"Mood_Indigo.MID",7,6,1,,,
"More_I_See_You_The.MID",7,6,1,,,
"Mr._P.C..MID",7,6,1,,,
"My_Favorite_Things.MID",7,6,1,,,
"My_Foolish_Heart.MID",7,6,1,,,
"My_Funny_Valentine.MID",7,6,1,,,
"My_One_and_Only_Love.MID",7,6,1,,,
"My_Romance.MID",7,6,1,,,
"Naima.MID",7,6,1,,,
"Nardis.MID",7,6,1,,,
"Nefertiti.MID",7,6,1,,,
"Never_Will_I_Marry.MID",7,6,1,,,
"Nicas_Dream.MID",7,6,1,,,
"Night_and_Day.MID",7,6,1,,,
"Night_Dreamer.MID",7,6,1,,,
"Night_Has_a_Thousand_Eyes_.MID",7,6,1,,,
"Once_I_Loved.MID",7,6,1,,,
"One_Note_Samba.MID",7,6,1,,,
"Open_Your_Eyes_You_Can_Fly.MID",7,6,1,,,
"Ornithology.MID",7,6,1,,,
"Out_of_Nowhere.MID",7,6,1,,,
"Peace.MID",7,6,1,,,
"Pee_Wee.MID",7,6,1,,,
"Pensativa.MID",7,6,1,,,
"Peris_Scope.MID",7,6,1,,,
"Played_Twice.MID",7,6,1,,,
"Real_Guitarist.MID",7,6,1,,,
"Recorda_Me.MID",7,6,1,,,
"Round_Midnight.MID",7,6,1,,,
"Satin_Doll.MID",7,6,1,,,
"Scotch_and_Soda.MID",7,6,1,,,
"Take_the_A_Train.MID",7,6,1,,,
"THE_SONG_IS_YOU.MID",7,6,1,,,
"Time_Remembered.MID",7,6,1,,,
"Triste.MID",7,6,1,,,
"Tune_Up.MID",7,6,1,,,
"Up_Jumped_Spring.MID",7,6,1,,,
"Wave.MID",7,6,1,,,
"Well_Be_Together_Again.MID",7,6,1,,,
"Well_You_Neednt.MID",7,6,1,,,
"What_Am_I_Here_For.MID",7,6,1,,,
"What_Are_You_Doing_the_Rest.MID",7,6,1,,,
"When_I_Fall_In_Love.MID",7,6,1,,,
"Yesterday.MID",7,6,1,,,
"Yesterdays.MID",7,6,1,,,
"You_Are_the_Sunshine_of_My.MID",7,6,1,,,
"You_Are_Too_Beautiful.MID",7,6,1,,,
"You_Dont_Know_What_Love_Is.MID",7,6,1,,,
"You_Took_Advantage_of_Me.MID",7,6,1,,,
