Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
"11pmtheme.mid",10,2 3 4 5,7,,,
"1931.MID",7,6,1,,,
"20thcenturystomp.mid",18,1 2 3,11,,,
"2ndtime.mid",4,3,2,,,
"4thAvenueTheme.mid",11,5,1,,,
"ACCENTUATE_THE_POSITIVE.MID",7,6,1,,,
"ACCUSTOMED_TO_HER_FACE.MID",7,6,1,,,
"AFRICAN_FLOWER.MID",7,6,1,,,
"AFRO_BLUE.MID",7,6,1,,,
"AFoggyD.MID",30,16,2,,,
"AINT_MISBEHAVIN.MID",7,6,1,,,
"AIREGIN.MID",7,6,1,,,
"ALICEINW.MID",4,3,1,,,
"ALICE_IN_WONDERLAND.MID",7,6,1,,,
"ALLO.MID",7,6,1,,,
"ALL_IN_LOVE_IS_FAIR.MID",7,6,1,,,
"ALL_MY_TOMORROWS.MID",7,6,1,,,
"ALL_OF_YOU.MID",7,6,1,,,
"ALONE_TOGETHER.MID",7,6,1,,,
"ALWAYS.MID",7,6,1,,,
"AM_I_BLUE.MID",7,6,1,,,
"ANA_MARIA.MID",7,6,1,,,
"AND_I_LOVE_HER.MID",7,6,1,,,
"ANGEL_EYES.MID",7,6,1,,,
"ANOTHER_YOU_THERE_WILL_NEV.MID",7,6,1,,,
"ANTHROPOLOGY.MID",7,6,1,,,
"ANYTHING_FOR_YOU.MID",7,6,1,,,
"ANYTHING_GOES.MID",7,6,1,,,
"ANYWAY.MID",7,6,1,,,
"ANY_TIME.MID",7,6,1,,,
"APRIL_IN_PARIS.MID",7,6,1,,,
"APRIL_JOY.MID",7,6,1,,,
"ARMAGEDDON.MID",7,6,1,,,
"AT_LAST_IVE_FOUND_YOU.MID",7,6,1,,,
"AUTUMN_IN_NEW_YORK.MID",7,6,1,,,
"A_CHANCE_TO_TRY_AGAIN.MID",7,6,1,,,
"A_Call_for_All_Demons.MID",7,6,1,,,
"A_Certain_Smile.MID",7,6,1,,,
"A_Child_is_Born.MID",7,6,1,,,
"A_Cottage_For_Sale.MID",7,6,1,,,
"A_FELICIDADE.MID",7,6,1,,,
"A_FINAL_DRINK.MID",7,6,1,,,
"A_Family_Joy.MID",7,6,1,,,
"A_Foggy_Day.MID",7,6,1,,,
"A_PURO_SOL.MID",7,6,1,,,
"A_SUNDAY_KIND_OF_LOVE.MID",7,6,1,,,
"A_Smooth_One.MID",7,6,1,,,
"A_kiss_to_build_a_dream_on.MID",7,6,1,,,
"A_lonely_man.MID",7,6,1,,,
"A_nightingale_sang_in_Berke.MID",7,6,1,,,
"AckVE.MID",7,6,1,,,
"AllOfMe2.mid",8,5,2 3,,,
"All_About_Ronnie.MID",7,6,1,,,
"All_Blues.MID",7,6,1,,,
"All_By_Myself.MID",7,6,1,,,
"All_Gods_Chillun_Got_Rhyth.MID",7,6,1,,,
"All_Of_Me.MID",7,6,1,,,
"All_Or_Nothing_At_All.MID",7,6,1,,,
"All_the_way_Jimmy_van_Heus.MID",7,6,1,,,
"Almost_Like_Being_in_Love.MID",7,6,1,,,
"Alonetog.mid",17,2,1,,,
"Along_Came_Betty.MID",7,6,1,,,
"Anthropology2.mid",3,1,2,,,
"Antigua.MID",11,6 8,1,,,
"AroundVG.MID",31,1,3,,,
"As_Time_Goes_By.MID",7,6,1,,,
"Atrain.mid",31,19 21 24 25 26,18,,,
"Au_Privave.MID",7,6,1,,,
"Autumn_Leaves.MID",7,6,1,,,
"Avant_de_Mourir.MID",7,6,1,,,
"Ay_Arriba.MID",7,6,1,,,
"BAGS_GROOVE_F_BLUES.MID",7,6,1,,,
"BA_LUE_BOLIVAR_BA_LUES_ARE.MID",7,6,1,,,
"BEAUTIFUL_LOVE.MID",7,6,1,,,
"BEAUTY_AND_THE_BEAST.MID",7,6,1,,,
"BEGINNING_TO_SEE_THE_LIGHT.MID",7,6,1,,,
"BEMSHA_SWING.MID",7,6,1,,,
"BESSIES_BLUES.MID",7,6,1,,,
"BETTER_IN_FRENCH.MID",7,6,1,,,
"BEWITCHED.MID",7,6,1,,,
"BE_CERTAIN.MID",7,6,1,,,
"BIG_NICK.MID",7,6,1,,,
"BILLY_BOY.MID",7,6,1,,,
"BLACK_DIAMOND.MID",7,6,1,,,
"BLACK_NARCISSUS.MID",7,6,1,,,
"BLBOSSA.MID",4,4,2,,,
"BLUESETTE.MID",7,6,1,,,
"BLUES_RIFF.MID",7,6,1,,,
"BLUE_BOSSA.MID",7,6,1,,,
"BLUE_COMEDY.MID",7,6,1,,,
"BLUE_MONK.MID",7,6,1,,,
"BLUE_MOON.MID",7,6,1,,,
"BLUE_ROOM.MID",7,6,1,,,
"BLUE_TRANE.MID",7,6,1,,,
"BODY_AND_SOUL.MID",7,6,1,,,
"BOPLICITY.MID",7,6,1,,,
"BORN_TO_BE_BLUE.MID",7,6,1,,,
"BOTH_SIDES_NOW.MID",7,6,1,,,
"BPowell.mid",17,3 4 5 7 8,1,,,
"BREEZIN.MID",7,6,1,,,
"BRIGHT_MISSISSIPPI.MID",7,6,1,,,
"BRIGHT_SIZE_LIFE.MID",7,6,1,,,
"BRILLIANT_CORNERS.MID",7,6,1,,,
"BRITE_BREEZY.MID",7,6,1,,,
"BULLET_TRAIN.MID",7,6,1,,,
"BUT_BEAUTIFUL_Jimmy_van_He.MID",7,6,1,,,
"BUT_NOT_FOR_ME.MID",7,6,1,,,
"BYE_BYE_BLACKBIRD.MID",7,6,1,,,
"Bach3B.MID",12,2 3 5,6,,,
"Backstage_Sally.MID",7,6,1,,,
"Basiervg.mid",29,17 19,15,,,
"Beautiful_Love2.mid",5,,2,,,
"Berniestune.mid",4,2,1,,,
"BigMess.mid",6,4,3,,,
"Birks_works_Dizzy_Gillesp.MID",7,6,1,,,
"Black_Coffee.MID",7,6,1,,,
"Black_Nile.MID",7,6,1,,,
"Black_Orpheus_Orfeo_Negro.MID",7,6,1,,,
"Black_Velvet_Alann.MID",7,6 7,1,,,
"Blame_It_On_My_Youth.MID",7,6,1,,,
"Blknrcs.mid",8,1 2,4,,,
"BlueTrain.mid",17,11 12 14 15 16,5 13,,,
"Blue_Skies.MID",7,6,1,,,
"Blue_in_Green.MID",7,6,1,,,
"Bluemax.MID",7,6,1,,,
"Bluenboo.mid",6,3 4,1,,,
"Blues4Basie.mid",4,1,3,,,
"BluesForTrane.mid",11,1 7,4,,,
"Blues_Backstage_Frank_Fost.MID",7,6,1,,,
"Blues_For_Alice.MID",7,6,1,,,
"Blues_March.MID",7,6,1,,,
"BodyAndSoul.mid",20,4 5,1,,,
"BodySoul_tb.MID",6,1,6,,,
"Bop_OnTR.mid",4,2,3,,,
"Born2BBlue.mid",10,3 6 7,2,,,
"Brainville.MID",7,6,1,,,
"Breezin_.mid",6,4 5,3,,,
"But_Beautiful.MID",7,6,1,,,
"But_Not_For_Me_Verse.MID",7,6,1,,,
"By_Myself.MID",7,6,1,,,
"Bye_ByeG.MID",30,4,2,,,
"CALL_IT_A_SUMMER_DAY.MID",7,6,1,,,
"CANDLE_GLOW.MID",7,6,1,,,
"CANDYMAN.MID",7,6,1,,,
"CANT_BUY_ME_LOVE.MID",7,6,1,,,
"CANT_WE_BE_FRIENDS.MID",7,6,1,,,
"CAPTAIN_MARVEL.MID",7,6,1,,,
"CARNIVAL.MID",7,6,1,,,
"CEORA.MID",7,6,1,,,
"CHACQUE_FOIS.MID",7,6,1,,,
"CHARLSTON.MID",7,6,1,,,
"CHATTENOOGA_CHOO_CHOO.MID",7,6,1,,,
"CHILD_IS_BORN_A.MID",7,6,1,,,
"CHRISTMAS_IS_HERE.MID",7,6,1,,,
"CHRISTMAS_SONG.MID",7,6,1,,,
"CLEAR_DAY_ON_A.MID",7,6,1,,,
"CLOSE_TO_YOU.MID",7,6,1,,,
"COME_SUNDAY.MID",7,6,1,,,
"CONFESSIN_THAT_I_LOVE_YOU.MID",7,6,1,,,
"CORAL.MID",7,6,1,,,
"CORCOVADO.MID",7,6,1,,,
"COTTONTAIL.MID",7,6,1,,,
"COULD_IT_BE_YOU.MID",7,6,1,,,
"COUNTDOWN.MID",7,6,1,,,
"COUNTRY_NIGHTS.MID",7,6,1,,,
"CRAZY.MID",7,6,1,,,
"CRISS_CROSS.MID",7,6,1,,,
"CRUISING_AROUND.MID",7,6,1,,,
"CRUSH_ON_YOU_IVE_GOT_A.MID",7,6,1,,,
"CRYSTAL_SILENCE.MID",7,6,1,,,
"CRY_ME_A_RIVER.MID",7,6,1,,,
"CUANDO_CUANDO.MID",7,6,1,,,
"CUTE.MID",7,6,1,,,
"Cabaret_Fred_Ebb_John.MID",7,6,1,,,
"Candy.MID",7,6,1,,,
"Cant_Help_Lovin_That_Ma.MID",7,6,1,,,
"Caravan.MID",7,6,1,,,
"Carioca.MID",7,6,1,,,
"Cat_Walk.mid",12,9 11,3,,,
"Cheek_To_Cheek.mid",7,1,2,,,
"Cheek_to_Cheek_Berlin.MID",7,6,1,,,
"Chega_De_Saudade_No_More_B.MID",7,6,1,,,
"City_of_New_Orleans...by_S.MID",7,6,1,,,
"CleanSweep.mid",19,4 6 7 8,1,,,
"Come_Rain_or_Come_Shine.MID",7,6,1,,,
"Con_Alma.MID",7,6,1,,,
"Conception.MID",7,6,1,,,
"Confirmation.MID",7,6,1,,,
"Cooking_in_Your_Head.MID",7,6,1,,,
"Corcovado_Quiet_Nights_of.MID",7,6,1,,,
"Corner_pocket.mid",17,1 2 3 4 6 7,16,,,
"Cute2.mid",29,4 5 6 9 13,2,,,
"DAAHOUD.MID",7,6,1,,,
"DANCING_ON_THE_CEILING.MID",7,6,1,,,
"DANNY_BOY.MID",7,6,1,,,
"DARN_THAT_DREAM_Jimmy_van.MID",7,6,1,,,
"DEARLY_BELOVED.MID",7,6,1,,,
"DEAR_ACQUAINTANCE.MID",7,6,1,,,
"DEAR_OLD_STOCKHOLM.MID",7,6,1,,,
"DEEP_PURPLE.MID",7,6,1,,,
"DELORES.MID",7,6,1,,,
"DELUGE.MID",7,6,1,,,
"DESAFINADO.MID",7,6,1,,,
"DJANGO.MID",7,6,1,,,
"DOLPHIN_DANCE.MID",7,6,1,,,
"DONT_BLAME_ME.MID",7,6,1,,,
"DONT_FEEL_TOO_SORRY_FOR_ME.MID",7,6,1,,,
"DONT_GET_AROUND_MUCH_ANYMO.MID",7,6,1,,,
"DONT_MEAN_A_THING_IT.MID",7,6,1,,,
"DOUJIE.MID",7,6,1,,,
"DO_NOTHIN_TIL_YOU_HEAR_FR.MID",7,6,1,,,
"DREAM.MID",17,6 8 9 10 11 12 13,1,,,
"Darn_That_Dream.MID",7,6,1,,,
"DaysOf.mid",3,,1,,,
"Days_of_Wine_and_Roses.MID",7,6,1,,,
"Days_of_Wine_and_Roses_The.MID",7,6,1,,,
"De_Pois_Do_Amor_OVazio.MID",7,6,1,,,
"Deacon_Blues_see_memo.MID",7,6,1,,,
"Deed_I_Do.MID",7,6,1,,,
"Delias_gone_Blake.MID",7,6,1,,,
"Dialog.MID",7,6,1,,,
"Dindi.MID",7,6,1,,,
"Do_You_Know_What_It_Means.MID",7,6,1,,,
"Dont_get_around_much_more.MID",7,6,1,,,
"Driftin.MID",7,6,1,,,
"DstMeT.mid",8,4 7,2,,,
"E.S.P..MID",7,6,1,,,
"EASY_LIVING.MID",7,6,1,,,
"EDELWEISS.MID",7,6,1,,,
"EIGHTY_ONE.MID",7,6,1,,,
"EL_GAUCHO.MID",7,6,1,,,
"EMBRACEABLE_YOU.MID",7,6,1,,,
"EPISTROPHY.MID",7,6,1,,,
"EQUINOX.MID",7,6,1,,,
"ERONEL.MID",7,6,1,,,
"EVERYTHING_IS_BEAUTIFUL.MID",7,6,1,,,
"EVERYTHING_I_HAVE_IS_YOURS.MID",7,6,1,,,
"EVIDENCE.MID",7,6,1,,,
"EXACTLY_LIKE_YOU.MID",7,6,1,,,
"EXCERCISE_#3_MISSOURI_UNC.MID",7,6,1,,,
"EXERCISE_#6_Unity_Village.MID",7,6,1,,,
"East_of_the_Sun.MID",7,6,1,,,
"Easy_to_Love.MID",7,6,1,,,
"Elsa.MID",7,6,1,,,
"EndOfSummer.mid",5,5,,,,
"Equipoise.MID",7,6,1,,,
"Evergreen.MID",7,6,1,,,
"FALL.MID",7,6,1,,,
"FALLING_GRACE.MID",7,6,1,,,
"FASCINATIN_RHYTHM.MID",7,6,1,,,
"FEELS_SO_GOOD.MID",7,6,1,,,
"FEE_FI_FO_FUM.MID",7,6,1,,,
"FIFTY_SECOND_STREET_THEME.MID",7,6,1,,,
"FINE_ROMANCE.MID",7,6,1,,,
"FIVE_0_TWO_BLUES.MID",7,6,1,,,
"FIVE_HUNDRED_MILES_HIGH.MID",7,6,1,,,
"FLINTSTONES_THEME.MID",7,6,1,,,
"FLY_AWAY.MID",7,6,1,,,
"FLY_ME_TO_THE_MOON.MID",7,6,1,,,
"FOGGY_DAY.MID",7,6,1,,,
"FOOLISH_HEART_MY.MID",7,6,1,,,
"FOOLISH_THINGS_THESE.MID",7,6,1,,,
"FOOLS_RUSH_IN.MID",7,6,1,,,
"FREE_FOR_ALL.MID",7,6,1,,,
"FRENESI.MID",7,6,1,,,
"Fables_of_Faubus.MID",7,6,1,,,
"Falling_in_Love_w_Love_Joe.MID",7,6,1,,,
"FarWes.MID",3,1,3,,,
"FastBluesJam.mid",6,4,3,,,
"Feest.MID",7,6,1,,,
"Fia_Pash.MID",7,6,1,,,
"Flamingo.MID",9,6,1,,,
"Footprints_R.mid",6,3,1,,,
"FreckleFace.mid",30,4 9 10,2,,,
"Freedom_At_Midnight.mid",6,6,4,,,
"Friday_night_at_the_Cadilla.MID",7,6,1,,,
"From_This_Moment_On.MID",7,6,1,,,
"GENTLE_RAIN.MID",7,6,1,,,
"GEORGIA.MID",7,6,1,,,
"GETTIN_SENTIMENTAL_OVER_YO.MID",7,6,1,,,
"GET_ME_TO_THE_CHURCH.MID",7,6,1,,,
"GHOST_OF_A_CHANCE.MID",7,6,1,,,
"GIRL_TALK.MID",7,6,1,,,
"GOOD_BAIT_TODD_DAMERON.MID",7,6,1,,,
"Gatorwhale_by_W._Jackson.MID",7,6,1,,,
"Georgia2.mid",20,1,,1,2,
"Gettin_it_right.MID",7,6,1,,,
"Giant_Steps.MID",7,6,1,,,
"Giant_steps_J.Coltrane.MID",7,6,1,,,
"Girl_from_Ipanema.MID",7,6,1,,,
"Glorias_step_Scott_LaFaro.MID",7,6,1,,,
"Glow_Worm.MID",7,6,1,,,
"God_Bless_The_Child.MID",7,6,1,,,
"HACKENSACK.MID",7,6,1,,,
"HAD_TO_BE_YOU_IT.MID",7,6,1,,,
"HALF_NELSON.MID",7,6,1,,,
"HANDYMAN.MID",7,6,1,,,
"HAPPY_HAPPY_BIRTHDAY_BABY.MID",7,6,1,,,
"HARD_DAYS_NIGHT.MID",7,6,1,,,
"HAVE_ANOTHER.MID",7,6,1,,,
"HAWAIIAN_WEDDING_SONG.MID",7,6,1,,,
"HEAVEN_D.Ellington.MID",7,6,1,,,
"HELP_ME_MAKE_IT_THROUGH_THE.MID",7,6,1,,,
"HERES_THAT_RAINY_DAY.MID",7,6,1,,,
"HERES_TO_YOU.MID",7,6,1,,,
"HERE_COMES_THE_SUN.MID",7,6,1,,,
"HERE_THERE_AND_EVERYWHERE.MID",7,6,1,,,
"HES_GOT_THE_WHOLE_WORLD_IN.MID",7,6,1,,,
"HEY_JUDE.MID",7,6,1,,,
"HEY_MISTER.MID",7,6,1,,,
"HEY_THERE.MID",7,6,1,,,
"HE_AINT_HEAVY..HES_MY_BRO.MID",7,6,1,,,
"HONEYSUCKLE_ROSE.MID",7,6,1,,,
"HOUSE_OF_JADE.MID",7,6,1,,,
"HOW.mid",9,5,3,,,
"HOW_ABOUT_YOU.MID",7,6,1,,,
"HOW_ABOUT_YOUJimmy_van_H.MID",7,6,1,,,
"HOW_DEEP_IS_YOUR_LOVE.MID",7,6,1,,,
"HOW_HIGH_THE_MOON.MID",7,6,1,,,
"HOW_INSENSITIVE.MID",7,6,1,,,
"HOW_LONG_HAS_THIS_BEEN_GOIN.MID",7,6,1,,,
"HOW_SWEET_IT_IS_TO_BE_LOVED.MID",7,6,1,,,
"Hand_in_hand.MID",7,6,1,,,
"Harlem_Nocturne.MID",7,6,1,,,
"Hassles_Just_Friends_by_R.MID",7,6,1,,,
"HaveUMMsJ.mid",7,,2,,,
"Have_A_Nice_Day_By_Will.MID",7,6,1,,,
"Have_You_Met_Miss_Jones.MID",7,6,1,,,
"Havona.MID",7,6,1,,,
"Heal_My_Heart_Continentals.MID",13,7 9 10 11 12 13,1,,,
"Heat.mid",8,1,2,,,
"HeatsOnG.MID",31,4 5 6 9 10,2,,,
"Heigh_ho_Morey_Churchill.MID",7,6,1,,,
"Hello_Dolly.MID",7,6,1,,,
"Here.mid",11,5,6,,,
"High_Society_Steele_Melros.MID",7,6,1,,,
"Hommage_a_Enelram_Astening.MID",7,6,1,,,
"Hou_vol.MID",7,6,1,,,
"HowIns.mid",17,2 3 10,4,,,
"How_deep_is_the_ocean.MID",7,6,1,,,
"IALikeBeingInLove.mid",3, ,2,,,
"ICARUS.MID",7,6,1,,,
"ICWABook.mid",4,3,2,,,
"IF_I_FELL.MID",7,6,1,,,
"IF_YOU_COULD_SEE_ME_NOW.MID",7,6,1,,,
"IF_YOU_NEVER_COME_TO_ME.MID",7,6,1,,,
"IF_lyrics_expanded.MID",7,6,1,,,
"IGrownAcc2HF.mid",3,,2,,,
"ILL_BE_AROUND.MID",7,6,1,,,
"ILL_BE_SEEING_YOU.MID",7,6,1,,,
"ILL_GET_BY.MID",7,6,1,,,
"ILL_REMEMBER_APRIL.MID",7,6,1,,,
"IMAGINATION.MID",7,6,1,,,
"IMAGINATION_J.van_Heusen.MID",7,6,1,,,
"IMPRESSIONS.MID",7,6,1,,,
"IM_ALL_SMILES.MID",7,6,1,,,
"IM_A_FOOL_TO_WANT_YOU.MID",7,6,1,,,
"IM_BEGINNING_TO_SEE_THE_LI.MID",7,6,1,,,
"IM_IN_THE_MOOD_FOR_LOVE.MID",7,6,1,,,
"IM_STUCK_WITH_YOU.MID",7,6,1,,,
"IM_WALKIN.MID",7,6,1,,,
