Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
A_bach1.mid,2,2,,2,1,
A_mozrt3.mid,2,2,,2,1,
ADAGOP26.mid,2,2,,2,1,
adieu_corage_adieu.mid,8,1 2,3,,,
Air_On_The_G_String.mid,4,1,4,,,
ALKANCHM.mid,3,2,,2,3,
ALKN61N3.mid,3,1,,1,2,
ALKN61N4.mid,3,1,,1,2,
allemande_otra.mid,9,1,4,,,
Arcadelt_SapetAmanti.mid,5,2,5,,,
arias_004_mozartk1.mid,4,1,,,,
arias_011_doppel.mid,4,1,4,,,
arias_1_voiavete.mid,7,6,7,,,
arias_kv125.mid,4,1,4,,,
arias_kv152.mid,4,1,3,,,
arias_kv308.mid,3,1,3,,,
arias_kv340a.mid,5,1,4 5,,,
arias_kv349.mid,3,1,3,,,
arias_kv367.mid,4,1,3 4,,,
arias_kv390.mid,5,1,4 5,,,
