Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
20abril.kar,16,11,4,,,
55301_Gitano_Abigail4.kar,14,6,4,,,
56507_CRISTIAN_AZUL.kar,17,7,4,,,
56509_DUO_DINAMICO_SI_NO_FUERA_POR_TI.kar,15,7,4,,,
56510_ANA_BELEN_Y_VICTOR_la_muralla.kar,17,6,4,,,
56513_LA_PARED_SOTOKAR.kar,12,7,4,,,
AGUSTIN_LARA_MARIA_BONITA.kar,12,5,4,,,
ANDREA_BOCELLI_Por_ti_volare.kar,14,5,3,,,
ANTONIO_FLORES_Alba.kar,12,6,4,,,
AZUCAR_MORENO_Amen.kar,18,6,4,,,
A_Celentano_and_P_Conte_Azzurro.kar,7,6,3,,,
A_Ha_Take_on_me.kar,11,3,4 5,,,
A_Ha_Take_on_me_4.kar,11,3,4 5,,,
A_cause_des_garcons_A_cause_des_garcons.kar,23,3,8,,,
A_testa_boon_renis_Quando_quando.kar,10,3,5,,,
Aaron_Neville_Dont_know_much.kar,10,5,6,,,
Abba_Angel_eyes.kar,15,3,7,,,
Abba_Another_town_another_train.kar,14,5,4,,,
Abba_Band_a_boomerang.kar,14,3,4,,,
Abba_Dance_while_the_music_still_goes_on.kar,17,3,4,,,
