"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
1406humming.mid,14,,12 13,,,,3 4 5 6 7 8 9 10 11 14
arias_kv530.mid,5,1,4 5,,,,2 3
Baroque_Baroque-Late_Bach_348baw101f.mid,6,3 4 5 6,,,,,
Baroque_Baroque-Late_Bach_anna-24.mid,3,1,2 3,,,,
Baroque_Baroque-Late_Bach_jsbbrc53.mid,12,5 6,10,,,,7 8 9 11
Baroque_Baroque-Late_Bach_ZZBACH1.mid,4,2 3,4,,,,
bransle_gay_II.mid,10,2,5,,,,3 4
KNOX1915.MID,16,2 10,15,,,,1 3 4 5 6 7 8 11 12 13 14
Laetatus_Sum_4_Sanctus_y_Benedictus_1b.mid,13,2 3 5 6 10,9 13,,,,4 7 8 11 12
mozart_s.mid,2,1,,,,,2
O_Quam_Gloriosum_2_Gloria_b.mid,4,4,,,,,1 2 3
Renaissance_Renaissance-Late_Praetorius_pragav3.mid,11,2 3,6,,,,4 5
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-5-Benedictus-2c.mid,7,1 2 4,7,,,,3 5 6
Renaissance_Renaissance-Late_Victoria_Gaude_Maria_Virgo-b.mid,5,1 2,5,,,,3 4
Renaissance_Renaissance-Late_Victoria_O_Quam_Gloriosum-5-Benedictus-s.mid,4,1,4,,,,2 3
Renaissance_Renaissance-Late_Victoria_Salve-5-Agnus_Dei-1b.mid,8,1 2 5,4 8,,,,3 6 7
Renaissance_Renaissance-Late_Victoria_Vidi_Speciosam-c.mid,6,1 2 3,6,,,,4 5
Romanticism_Post-romanticism_Saint_Saens_Saint-Saens_carnaval12.mid,21,4 6,16,,,,7 8 9 10 12 13 14 15
Romanticism_Romantic-Nationalism_Rimsky_Korsakov_gp_tumb.mid,17,1 2 3 4 13,10 17,,,,5 6 7 8 9 12 14 15 16
Romanticism_Romanticism_Beethoven_8thSymph_SYM8-4.mid,4,1 2,4,,,,3
Romanticism_Romanticism_Beethoven_beet54s.mid,16,1 12,16,,,,2 3 4 5 6 7 8 9 11 13 14 15
Romanticism_Romanticism_Schubert_First_Waltzes_D.365_Op.9.mid,4,1,4,,,,2 3
Romanticism_Romanticism_Schumann_Concerto_Piano_and_Orch_Op.92_intro.mid,21,1 2 3 9,13 14,,,,4 5 6 7 8 10 11 12
Romanticism_Romanticism_Strauss_Johann_rad.mid,9,2 3 9,1,,,,4 6 7 8
trumpets.mid,7,7,6,,,,1 2 3 4 5
x.cgi_mid_mozart_wamk358.mid,7,,,,,,1 2
XXCentury_Impressionism_Debussy_034_debrap.mid,20,7,20,,,,1 2 3 4 5 6 8 9 10 11 12 13 15 16 17 18 19
XXCentury_Impressionism_Debussy_0_pr1no2.mid,11,2 3,10 11,,,,4 5 6 7 8 9
XXCentury_Neoclassicism_Hindemith_Symph_metamorphosis_mov1.mid,16,2 3 4 5 12,16,,,,1 6 7 8 9 11 13 14 15
XXCentury_Neoclassicism_Prokofiev_piano_conc_no3_op26_mov3.mid,20,2,19,,,,1 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18
