"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
ALL_MY_TOMORROWS.MID,7,6,1,,,,3
ANGEL_EYES.MID,7,6,1,,,,3 4 5
blumonk.mid,5,1 2 5,4,,,,3
caron_alain_slam_the_clown_xg.mid,13,4,1 2 7,,,,3 5 6 8 10 11 12
culbreath_wade_moorea.mid,9,1 5 6,2,,,,3 4 7
DESAFINADO.MID,7,6,1,,,,3 4 5
I_REMEMBER_YOU.MID,7,6,1,,,,3
IN_YOUR_OWN_SWEET_WAY_w_8.MID,7,6,1,,,,3
INNER_URGE.MID,7,6,1,,,,3 4
jobim_girl_from_ipanema_2.MID,16,4 6 7,2,,,,1 3 5 8
Johnny_One_Note.MID,7,6,1,,,,3 4 5
KEEP_A_KNOCKIN.MID,7,6,1,,,,3 4
Les_Paul.MID,7,6,1,,,,3 4 5
MERRILYNNE.MID,7,6,1,,,,3 4 5
Night_and_Day.MID,7,6,1,,,,3
rippingtons_the_aspen.mid,37,12 17 20 22,11,,,,10 13 14 15 16 18 19 21 23
RUBY_MY_DEAR.MID,7,6,1,,,,3
uzeb_brass_licks.mid,5,2 5,4,,,,3
waller_fats_thomas_honeysuckle_rose.mid,6,3,1,,,,2
zequinha_abreu_tico_tico_big_band_version.mid,30,18 20,15,,,,16 17 19 21 22 23 24 25 26 27 28 29 30
