"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
Abba_Dance_while_the_music_still_goes_on.kar,17,3,4,,,,5 6 7 8 10 11
Ace_of_base_Dont_turn_around.kar,16,3,5,,,,4 6 7 8 9 10 11 12 13 14 15
Andrew_Lloyd_Webber_Phantom_of_the_Opera.kar,5,3,5,,,,4
Be_Gees_I_started_the_joke_9.kar,12,11,6,,,,4 7 8 9
Beat_Culture_Crying_in_the_rain.kar,12,11,9,,,,6 7 8 10
Christina_Aguilera_Genio_atrapado_4.kar,12,6,4,,,,3 5 7 8 9 10 11
COCK_ROBIN_The_Promise_You_Made_from_the_album_Cock_Robin_1985.kar,21,4,6,,,,5 7 8 9 10 11
David_Hallyday_Tu_ne_mas_pas_laisse_le_temps.kar,15,6,4,,,,3 5 7 8 9 10 11 13 14 15
Eagles_Hotel_california.kar,10,3,4,,,,5 6 7 8
Elton_John_Island_Girl_1.kar,15,3,5,,,,6 7 8 9 10 11 12 13 14 15
Frank_Sinatra_The_way_you_look_tonight.kar,10,5,9,,,,4 6 7 8 10
Georgius_La_plus_bath_des_javas.kar,7,6,,,,,3 4 5
Gilbert_Becaud_Quand_Jules_est_au_violon.kar,10,5,3,,,,4 6 7 8
Jacques_Dutronc_Il_est_5_heures_Paris_seveille.kar,7,5,3,,,,4 6
La_Oreja_de_Van_Gogh_La_estrella_y_la_luna.kar,13,7,4,,,,5 6 8 9 10 11 12
Le_ragazze_Neri_per_caso.kar,14,5,3,,,,4 6 7 8 9 10 12 13
Leo_Ferrer_Les_cornichons.kar,10,,1,,,,2 3 4 5 6 7 9 10
Les_Chats_Sauvages_Cest_pas_serieux.kar,11,,6,,,,7 8 9 10 11
Lina_Margy_Ah_le_petit_vin_blanc.kar,8,6,4,,,,3 5 7
Lipps_Inc_Funky_town.kar,20,3 8 9,5,,,,4 6 7 10 11
Los_Panchos_Cuando_calienta_el_sol_4.kar,17,8,5,,,,6 7 9 10 11 13 14 15 16 17
Lyne_Charbonneau_Les_serpents_rampent_la_nuit.kar,10,6,2,,,,3 4 5
Michael_Jackson_Dont_stop_till_you_get_enough.kar,13,3,5,,,,4 6 7 8 9 10 11 12
Michel_Delpech_Que_Marianne_etait_jolie.kar,17,6,4,,,,3 5 7 8 9 10 11 13 14 15 16 17
Mireille_Le_carrosse.kar,8,5,1,,,,3 4 6 7 8
Olivia_Newton_John_Have_You_Never_Been_Mellow.kar,12,3 4,6,,,,5 7 8 9 10 11
Ophelie_Winter_Dieu_ma_donne_la_foi.kar,17,,5,,,,3 4 6 7 8 9 10 11 13 14 15 16
Ophelie_Winter_Le_feu_qui_mattise.kar,16,7,5,,,,4 6 8 9 10 11 12 14 15 16
Sacha_Distel_Scandale_dans_la_famille.kar,9,6,3 4,,,,5 7 8
Who_Baba_ORiley.kar,13,4,8,,,,3 5 6 7 9 10 11 12
