"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
"Baroque_Baroque-Early_Marini_op22_2ballet_m.mid",4,1 2,4,,,
"Baroque_Baroque-Early_Marini_op22_svlnsol_m.mid",3,1,3,,,
"Baroque_Baroque-Early_Merula_mcan01_m.mid",3,1,3,,,
"Baroque_Baroque-Early_Merula_mcan07_m.mid",3,1 2,3,,,
"Baroque_Baroque-Early_Merula_mcan11_m.mid",3,,,,,,
"Baroque_Baroque-Early_Young_04yste_m.mid",4,,,,,,
"Baroque_Baroque-Late_Albinoni_Rollerball_Albinoni_Super_8_Remix_cloudburst.mid",2,,,,,,
"Baroque_Baroque-Late_Bach_01Wachet_auf_ruft_uns_die_Stimme.mid",2,,,1,2,
"Baroque_Baroque-Late_Bach_106.mid",4,1,4,,,
"Baroque_Baroque-Late_Bach_127.mid",2,,,1,2,
"Baroque_Baroque-Late_Bach_1678tpvent1w.mid",3,1,3,,,
"Baroque_Baroque-Late_Bach_1687tpvent10w.mid",3,1,3,,,
"Baroque_Baroque-Late_Bach_1690tpvent13w.mid",3,1,3,,,
"Baroque_Baroque-Late_Bach_1696tpinven5.mid",3,,,1,3,
"Baroque_Baroque-Late_Bach_1699tpinven8.mid",3,1,3,,,
"Baroque_Baroque-Late_Bach_2PART_04.mid",2,,,1,2,
"Baroque_Baroque-Late_Bach_2part09.mid",4,,,3,4,
"Baroque_Baroque-Late_Bach_348baw101f.mid",6,3 4 5 6,,,,
"Baroque_Baroque-Late_Bach_3PART_04.mid",3,,,1,3,
"Baroque_Baroque-Late_Bach_3PART_05.mid",3,,,1 2,3,
"Baroque_Baroque-Late_Bach_3PART_06.mid",3,,,,,,
"Baroque_Baroque-Late_Bach_3PART_13.mid",3,,,1,3,
"Baroque_Baroque-Late_Bach_3part06.mid",5,3,5,,,
"Baroque_Baroque-Late_Bach_3part13.mid",5,3,5,,,
"Baroque_Baroque-Late_Bach_430bjsbmm15.mid",13,3 4,6 11,,,
"Baroque_Baroque-Late_Bach_997-5DOU.mid",16,,,,,,
"Baroque_Baroque-Late_Bach_ARIA_R2.mid",3,1,3,,,
"Baroque_Baroque-Late_Bach_ARTFUG10.mid",8,1 2 5 6,4 8,,,
"Baroque_Baroque-Late_Bach_BACH17.MID_dist3.mid",7,,,,,
"Baroque_Baroque-Late_Bach_BJS83105_R1.mid",6,,,3,4,
"Baroque_Baroque-Late_Bach_BWV1030.mid",5,3,,4,5,
"Baroque_Baroque-Late_Bach_BWV807B.mid",3,,,1,2,
"Baroque_Baroque-Late_Bach_BWV810G.mid",3,,,1,2,
"Baroque_Baroque-Late_Bach_BWV818.mid",2,,,,,1
"Baroque_Baroque-Late_Bach_BWV948.mid",1,0,,,,
"Baroque_Baroque-Late_Bach_BWV_525.mid",1,3,1,,,
"Baroque_Baroque-Late_Bach_Bach_cantata_41_6.mid",4,1,4,,,
"Baroque_Baroque-Late_Bach_CONCER3.mid",10,1 4,9,,,
"Baroque_Baroque-Late_Bach_GOLDBERG.mid",9,,,1 3,2 4,
"Baroque_Baroque-Late_Bach_Goldberg_Variations_Aria.mid",7,,,6,3,
"Baroque_Baroque-Late_Bach_INVENT_R1.mid",2,,,1,2,
"Baroque_Baroque-Late_Bach_K003.mid",2,,,,,,
"Baroque_Baroque-Late_Bach_MUSOFF_K.mid",2,,,,,,
"Baroque_Baroque-Late_Bach_PASCFUG.mid",5,1,4,,,
"Baroque_Baroque-Late_Bach_PFA-3ALG.mid",16,,,1,2,
"Baroque_Baroque-Late_Bach_Toccata_e_fuga.mid",5,,,1,2,
"Baroque_Baroque-Late_Bach_WT1_7B.mid",3,,,,,,
"Baroque_Baroque-Late_Bach_WT1_X4B.mid",4,,,1 2,3 4,
"Baroque_Baroque-Late_Bach_WT2_XX1A.mid",3,1,3,,,
"Baroque_Baroque-Late_Bach_WTCFUG03.mid",5,,,1 2,3,
"Baroque_Baroque-Late_Bach_WTCPRE18.mid",4,,,3,4,
"Baroque_Baroque-Late_Bach_a_1pre.mid",2,,,,,
"Baroque_Baroque-Late_Bach_air_g.mid",16,1,5 6,,,
"Baroque_Baroque-Late_Bach_anna-04.mid",2,,,1,2,
"Baroque_Baroque-Late_Bach_anna-18.mid",2,,,,,,
"Baroque_Baroque-Late_Bach_anna-24.mid",3,,,,,,
"Baroque_Baroque-Late_Bach_anna-29.mid",3,,,1,2 3,
"Baroque_Baroque-Late_Bach_babwv656.mid",7,,3,1,2,
"Baroque_Baroque-Late_Bach_bach_10p.mid",4,1,2,,,
"Baroque_Baroque-Late_Bach_bach_cantata_150_4.mid",7,1,4,,,
"Baroque_Baroque-Late_Bach_bach_cantata_150_7.mid",7,2,5,,,
"Baroque_Baroque-Late_Bach_bakson61.mid",13,,3,2,1,
