Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
A_Thousand_and_One_Nights_W.mid,4,4,,,,
Adagio_in_Bb_Mozart_pno_so.mid,2,2,,2,1,
Adagio_in_Bm_Op.6_2nd_mvt.mid,5,5,1,,,
Adagio_in_Fm_Mozart_pno_son.mid,2,2,,2,1,
Adagio_in_G_Mozart_2nd_mov.mid,2,2,,2,1,
Air_in_F_Watermusic_Hand.mid,5,5,1,,,
Air_on_the_G_String_J.S.mid,4,4,1,,,
Album_Leaf_Grieg.mid,2,2,,2,1,
Allegro_Finale_in_Eb_Sym.#.mid,5,5,1,,,
Allegro_in_F_Mozart_pno_so.mid,2,2,,2,1,
Andante_in_Bb_Mozart_K533.mid,2,2,,2,1,
Andante_in_C_Mozart_sona.mid,2,2,,2,1,
Artists_Life_Waltz_Stra.mid,5,5,1,,,
Beethoven_Symp_#_7_mvt_2.mid,5,5,1,,,
Beethoven_Symphony_#5.mid,4,4,,,,
Berceuse_Chopin_op57.mid,2,2,,2,1,
Bourree_in_Dm_Fireworks_Mu.mid,5,5,1,,,
Bourree_in_F_Watermusic_.mid,5,5,1,,,
Brandenburg_Concerto_#1_in.mid,5,5,1,,,
Brandenburg_Concerto_#2_1s.mid,4,4,,,,
Brandenburg_Concerto#2_in_F.mid,5,5,1,,,
Cagliostro_Waltz_#1_Straus.mid,5,5,1,,,
cannond14.mid,8,2 3 4 6 7 8 ,1  5  ,,,
Concerto_in_D_Op.6_1st_mv.mid,4,4,,,,
Dance_Of_Anitra_Op.46_no.3.mid,2,2,,2,1,
Danube_Mermaid_Waltz_Op.mid,5,5,1,,,
Eine_Kleine_Nachtmusik_K5.mid,5,5,1,,,
Eine_Kleine_Nachtmusik_K52.mid,5,5,1,,,
einekleine.mid,4,4,,,,
Emperor_Waltz_Op.437_Strau.mid,5,5,1,,,
Enjoy_LifeWaltz_Strauss.mid,5,5,1,,,
Etude_in_Cm_Chopins_Revol.mid,2,2,,2,1,
Etude_Chopin_op25no9.mid,2,2,,2,1,
Fantaisie_Impromptu_in_Db_.mid,2,2,,2,1,
Fantaisie_Impromtu_4_Chopin.mid,2,2,,2,1,
Funeral_March_Chopin_Op35.mid,2,2,,2,1,
Fur_Elise_Beethoven.mid,2,2,,2,1,
Goldberg_Variation_#1_Alle.mid,2,2,,2,1,
Goldberg_Variation_#3_And.mid,2,2,,2,1,
Goldberg_Variation_#3_Anda.mid,2,2,,2,1,
Goldberg_Variations_Aria.mid,2,2,,2,1,
Grande_Valse_Brilliante_Cho.mid,3,3,1,,,
Heliotrope_Bouquet_Scott.mid,2,2,,2,1,
Humoreske_Op.101_no.7_D.mid,4,4,1,,,
Hungarian_Dance#5_Brahms.mid,2,2,,2,1,
Jesu_Joy_of_Mans_Desiring.mid,5,5,1,,,
Kiss_Waltz_Strauss.mid,5,5,1,,,
La_Paix_Fireworks_Music.mid,5,5,1,,,
La_Paloma_The_Dove_Ch.mid,2,2,,2,1,
La_Rejouissance_Fireworks.mid,4,4,,,,
Largo_in_G_from_the_Opera_.mid,5,5,1,,,
Light_Character_polka_Stra.mid,4,4,1,,,
Maple_Leaf_Rag_Scott_Jopl.mid,2,2,,2,1,
Mazurka_in_Ab_Chopin_Op.24.mid,2,2,,2,1,
Mazurka_in_Am_Chopin_Op67.mid,2,2,,2,1,
Mazurka_in_Am_Chopin_OP67_n.mid,2,2,,2,1,
Mazurka_In_Am_Chopin_Op7_no.mid,2,2,,2,1,
Mazurka_in_B_Chopin_Op63_no.mid,3,3,1,,,
Mazurka_in_Bb_Chopin_op7_n.mid,3,3,1,,,
Mazurka_in_Bm_Chopin_Op33.mid,2,2,,2,1,
Mazurka_in_C_Chopin_Op33_no.mid,2,2,,2,1,
Mazurka_in_C_Chopin_Op67_no.mid,3,3,1,,,
Mazurka_in_D_Chopin_Op33_N.mid,3,3,1,,,
Mazurka_in_G_minor_Chopin_O.mid,3,3,1,,,
Mazurka_in_G#m_Chopin_Op33.mid,2,2,,2,1,
Menuet_1_Fireworks_Music.mid,5,5,1,,,
Menuet_2_Fireworks_Music.mid,5,5,1,,,
Menuet_in_F_Watermusic.mid,5,5,1,,,
Menuetto_in_Eb_Sym.#39_K54.mid,5,5,1,,,
