Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
1008czerny13reg.mid,2,,,1,2,
1009czerny14reg.mid,2,,,1,2,
1052czerny34.mid,4,,,1,2,
1095czerny16reg.mid,2,,,1,2,
1096czerny15reg.mid,2,,,1,2,
1173nuitdete.mid,3,1,,1,2,
1174saltarel.mid,2,1,,1,2,
1215czerny18reg.mid,2,,,1,2,
1216czerny19reg.mid,2,,,1,2,
1364brawaltz10.mid,2,1,,1,2,
1365brawaltz15.mid,2,1,,1,2,
1406humming.mid,14,,12 13,,,
1407manina.mid,15,,10 14 15,,,
1408nessun.mid,17,,17,,,
1409qmenvo.mid,19,,14,,,
1410tinyhand.mid,18,,14 15,,,
1411turan1.mid,14,,,,,
1412turan2.mid,14,,,,,
1429gpsenza.mid,13,,13,,,
14arenskiy.mid,3,2,,2,3,
155.mid,16,,,,,
172.mid,2,1,,,,
1727clementi.mid,2,,,1,2,
1730gradu9.mid,8,,,1,2,
1731fantasia2.mid,8,1 2,7,,,
1736no67woodssowild.mid,2,1,,,,
1830sonatin36reg.mid,2,,,1,2,
1875palestrina.mid,5,3,,,,
1886sonatin36n3reg.mid,2,,,1,2,
1912belli1.mid,4,2,,,,
1913absent.mid,3,1,,2,3,
1914norma_ov.mid,4,1 2,,1 3,2 4,
1915normamarchreg.mid,3,2,,2,3,
2070lachassereg.mid,2,,,1,2,
2150boh2no1.mid,32,,,,,
2279laconsolreg.mid,2,,,1,2,
2336cr29g.mid,12,,,1,2,
2425rosacruz1.mid,5,1 2 3 4,,,,
254BOH1.mid,22,2 3 4 6 20 21 22,,,,
254BOH1_tr2.mid,2,2,,,,
262car_ante.mid,2,1,,1,2,
33apasnato.mid,3,1,,2,3,
421hungdan5.mid,11,1 3,,1,2,
548agnus.mid,4,1,4,,,
580elucev.mid,11,1 2 4 10 11,5,,,
582zimarra.mid,9,3,,,,
67.mid,4,2,,4,3,
727hmmtop95.mid,16,,7,,,
760fiveroma.mid,2,1,,,,
813czerny1reg.mid,4,,,1,2,
831czerny2eg.mid,4,,,1,2,
843guitar.mid,6,2 4,5,,,
863czerny6reg.mid,2,,,1,2,
870czerny7reg.mid,2,,,1,2,
889czerny8reg.mid,2,,,1,2,
952czerny9reg.mid,2,,,1,2,
982czerny11reg.mid,2,,,1,2,
983czerny12reg.mid,2,,,1,2,
ADAGOP26.mid,2,2,,2,1,
ALKANCHM.mid,3,2,,2,3,
ALKN61N3.mid,3,1,,1,2,
ALKN61N4.mid,3,1,,1,2,
A_bach1.mid,2,2,,2,1,
A_mozrt3.mid,2,2,,2,1,
Air_On_The_G_String.mid,4,1,4,,,
Arcadelt_SapetAmanti.mid,5,2,5,,,
Artists_Life_Waltz_Stra.MID,5,5,1,,,
Ascendens_Christus_In_Altum_2_Gloria_1s.mid,5,1,5,,,
Ascendens_Christus_In_Altum_6_Agnus_Dei_1s.mid,6,1,6,,,
Asperges_Me_b.mid,4,4,,,,
AveMariaVictoria.mid,4,1,4,,,
Ave_Maria.mid,7,4,6,,,
Ave_Maria_Palestrina.mid,5,1,5,,,
Ave_Maria_a_8_1b.mid,8,1 5,4 8,,,
Ave_Regina_1_Kyrie_1b.mid,8,1 3 7,4 8,,,
