Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
Baroque_Baroque-Early_Merula_mcan07_m.mid,3,1 2,3,,,
Baroque_Baroque-Late_Bach_1678tpvent1w.mid,3,1,3,,,
Baroque_Baroque-Late_Bach_3part06.mid,5,3,5,,,
Baroque_Baroque-Late_Bach_bach_cantata_150_4.mid,7,1,4,,,
Baroque_Baroque-Late_Bach_Goldberg_Variations_Aria.mid,7,,,6,3,
Baroque_Baroque-Late_Bach_johann_sebastian_bach_bwv1048a.mid,15,2,11,,,
Baroque_Baroque-Late_Bach_jsbbrc12.mid,16,5 9,14,,,
Baroque_Baroque-Late_Haendel_fireworks-menuet1.mid,7,3 5,7,,,
Baroque_Baroque-Late_Haendel_handel05.mid,7,6,1,,,
Baroque_Baroque-Late_Pachelbel_Canone_by_max22861.mid,5,2 3 4,5,,,
Baroque_Baroque-Late_Vivaldi_gloria.mid,12,1 2,6,,,
Baroque_Baroque-Middle_Becker_15mfrfr_m.mid,6,1,6,,,
Classicism_Classicism_Haydn_hay70_4.mid,12,8,12,,,
Classicism_Classicism_Haydn_haydn-10.mid,5, , ,1,4,
Classicism_Classicism_Haydn_hydn06_3.mid,9,1,9,,,
Classicism_Classicism_Haydn_hydn31_2.mid,11,5,11,,,
Classicism_Classicism_Lidon_lidon-quartet_2ndmid.mid,10,1,4,,,
Classicism_Classicism_Mozart_Symphony35-41-013-mok550m2.mid,15, ,14,,,
Classicism_Classicism_Mozart_Symphony35-41-6-jupitmen.mid,17,1 7,12,,,
Medieval_ArsNova_Caserta_Anthonello_antho27.mid,4,2,4,,,
Medieval_ArsNova_Perusio_matteo09.mid,4,2,4,,,
Renaissance_Renaissance-Early_Anonymous_this_day_thaws.mid,9,2 3,4,,,
Renaissance_Renaissance-Late_Gabrieli_gabrieli-sonata_octavi_toni.mid,12,1 7,6 12,,,
Renaissance_Renaissance-Late_Victoria_Cum_Beatus_Ignatius-1s.mid,5,1,5,,,
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-1-Kyrie-s.mid,6,1,6,,,
Renaissance_Renaissance-Late_Victoria_Gaude_Maria_Virgo-2s.mid,5,1 2,5,,,
Renaissance_Renaissance-Late_Victoria_LJ8-Aleph_Quomodo_Obscuratum-2s.mid,5,1 2,5,,,
Renaissance_Renaissance-Late_Victoria_Magnificat_Quinti_Toni-pares-2t.mid,7,1 2,7,,,
Renaissance_Renaissance-Late_Victoria_Magnificat_Secundi_Toni-impares-s.mid,5,1,5,,,
Renaissance_Renaissance-Late_Victoria_Magnificat_Sexti_Toni-pares-1c.mid,5,1 2,5,,,
Renaissance_Renaissance-Late_Victoria_O_Lux_Et_Decus_Hispaniae-b.mid,5,1 2,5,,,
Renaissance_Renaissance-Late_Victoria_O_Magnum_Mysterium-3-Credo-t.mid,4,3,4,,,
Renaissance_Renaissance-Late_Victoria_Pro_Victoria-6-Agnus_Dei-1b.mid,9,1 2 6,5 9,,,
Renaissance_Renaissance-Late_Victoria_Quam_Pulchri_Sunt-3-Credo.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_Quicumque_Christum_Quaeritis-s.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_Requiem_a_4_voces-01-Introitus-t.mid,4,3,4,,,
