"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
1406humming.mid,14,,12 13,,,,3 4 5 6 7 8 9 10 11 14
1407manina.mid,15,11,10 14 15,,,,2 3 4 5 6 7 9 12 13
1408nessun.mid,17,3,17,,,,4 5 6 7 8 9 10 11 13 14 15 16
1409qmenvo.mid,19,1 9 10,14,,,,2 3 4 5 6 7 8 11 12 13 15 16
1410tinyhand.mid,18,10,14 15,,,,1 2 3 4 5 6 8 9 11 12 13
1411turan1.mid,14,9 10,,,,,1 2 3 4 5 11 12 13 14
1412turan2.mid,14,,,,,,1 3 4 5 6 7 8 12 13 14
1429gpsenza.mid,13,1 3,13,,,,2 4 5 6 7 8 9 10 11 12
155.mid,16,,,,,,1 2 3 4 5 7
172.mid,2,1,,,,,2
1731fantasia2.mid,8,1 2,7,,,,3 4 5 6 8
1736no67woodssowild.mid,2,1,,,,,2
1875palestrina.mid,5,3,,,,,2 4 5
1912belli1.mid,4,2,4,,,,3
2150boh2no1.mid,32,,,,,,1 2 3 4 5 6 7 10 11 12
2425rosacruz1.mid,5,1 2 3 4,,,,,5
254BOH1.mid,22,2 3 4 6 20 21 22,,,,,1 5
254BOH1_tr2.mid,2,2,,,,,
548agnus.mid,4,1,4,,,,2 3
580elucev.mid,11,1 2 4 10 11,5,,,,3
582zimarra.mid,9,3,,,,,4
727hmmtop95.mid,16,,7,,,,1 2 3 4 5 6 8 9
760fiveroma.mid,2,1,,,,,2
843guitar.mid,6,2 4,5,,,,3
A_bach1.mid,2,2,,,,,1
adieu_corage_adieu.mid,8,1 2,3,,,,
Air_On_The_G_String.mid,4,1,4,,,,2 3
allemande_otra.mid,9,1,4,,,,2 3
Arcadelt_SapetAmanti.mid,5,2,5,,,,3 4
arias_004_mozartk1.mid,4,1,,,,,2 3
arias_011_doppel.mid,4,1,4,,,,2 3
arias_1_voiavete.mid,7,6,7,,,,1 2 3 4 5
arias_kv125.mid,4,1,4,,,,2 3
arias_kv152.mid,4,1,3,,,,2 4
arias_kv308.mid,3,1,3,,,,2
arias_kv340a.mid,5,1,4 5,,,,2 3
arias_kv349.mid,3,1,3,,,,2
arias_kv367.mid,4,1,3 4,,,,2
arias_kv390.mid,5,1,4 5,,,,2 3
arias_kv391.mid,3,1,,,,,2 3
arias_kv433.mid,3,1,3,,,,2
arias_kv468.mid,5,1,,,,,2 3 4 5
arias_kv472.mid,4,1,4,,,,2 3
arias_kv473.mid,5,1,4,,,,2 3 5
arias_kv476.mid,5,1,5,,,,2 3 4
arias_kv517.mid,4,1,4,,,,2 3
arias_kv518.mid,5,1,4,,,,2 3 5
arias_kv519.mid,5,1,4 5,,,,2 3
arias_kv520.mid,4,1,4,,,,2 3
arias_kv523.mid,3,1,3,,,,2
arias_kv524.mid,3,1,3,,,,2
arias_kv530.mid,5,1,4 5,,,,2 3
arias_kv531.mid,4,1,4,,,,2 3
arias_kv552.mid,4,1,,,,,2 3
arias_kv596.mid,3,1 2,3,,,,
arias_kv597.mid,5,1,4 5,,,,2 3
arias_kv598.mid,3,1,3,,,,2
Artists_Life_Waltz_Stra.MID,5,5,1,,,,2 3 4
