"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
11pmtheme.mid,10,2 3 4 5,7,,,,6 9
1931.MID,7,6,1,,,,3 4 5
20thcenturystomp.mid,18,1 2 3,11,,,,5 6 8 9
2ndtime.mid,4,3,2,,,,1
4thAvenueTheme.mid,11,5,1,,,,3
A_Call_for_All_Demons.MID,7,6,1,,,,3 4
A_Certain_Smile.MID,7,6,1,,,,3 4 5
A_CHANCE_TO_TRY_AGAIN.MID,7,6,1,,,,3 4 5
A_Child_is_Born.MID,7,6,1,,,,3 4
A_Cottage_For_Sale.MID,7,6,1,,,,3
A_Family_Joy.MID,7,6,1,,,,3 4
A_FELICIDADE.MID,7,6,1,,,,3 4 5
A_FINAL_DRINK.MID,7,6,1,,,,3 4 5
A_Foggy_Day.MID,7,6,1,,,,3
A_kiss_to_build_a_dream_on.MID,7,6,1,,,,3
A_lonely_man.MID,7,6,1,,,,3 4 5
A_nightingale_sang_in_Berke.MID,7,6,1,,,,3
A_PURO_SOL.MID,7,6,1,,,,3 4
A_Smooth_One.MID,7,6,1,,,,3
A_SUNDAY_KIND_OF_LOVE.MID,7,6,1,,,,3
abhez_nature_boy.mid,19,11,5,,,,6 7 8 9 10
ACCENTUATE_THE_POSITIVE.MID,7,6,1,,,,3
ACCUSTOMED_TO_HER_FACE.MID,7,6,1,,,,3
AckVE.MID,7,6,1,,,,3 4 5
acoustic_alchemy_blue_chip_bop.mid,29,25,6,,,,5 7 8 9 10 11 12 26
acoustic_alchemy_playing_for_time.mid,30,8 11 12 15 17,6 16,,,,5 7 9 10 14
adams_bernstain_after_the_lovin.mid,29,17 22,15,,,,16 18 19 20 21 23 24 25 26 27 28 29
AFoggyD.MID,30,16,2,,,,3 4 5 6 7 8 9 10 11 12 13 14 15
AFRICAN_FLOWER.MID,7,6,1,,,,3 4 5
african_flower2.mid,19,6 11,5,,,,7 8 9 10
AFRO_BLUE.MID,7,6,1,,,,3 4
agfih2find.mid,7,7,4,,,,1 2 3 5
AINT_MISBEHAVIN.MID,7,6,1,,,,3
AIREGIN.MID,7,6,1,,,,3
alain_caron_little_missmatch.mid,22,5 6,1 3,,,,2 4
alan_holdsworth_atavachron.mid,11,7 10 11,4,,,,2 3 5 6 8 9
ALICE_IN_WONDERLAND.MID,7,6,1,,,,3 4
ALICEINW.MID,4,3,1,,,,2
