"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
1931.MID,7,6,1,,,,3 4 5
20thcenturystomp.mid,18,1 2 3,11,,,,5 6 8 9
2ndtime.mid,4,3,2,,,,1
4thAvenueTheme.mid,11,5,1,,,,3
A_Call_for_All_Demons.MID,7,6,1,,,,3 4
A_Certain_Smile.MID,7,6,1,,,,3 4 5
A_CHANCE_TO_TRY_AGAIN.MID,7,6,1,,,,3 4 5
A_Child_is_Born.MID,7,6,1,,,,3 4
A_Family_Joy.MID,7,6,1,,,,3 4
A_FELICIDADE.MID,7,6,1,,,,3 4 5
A_FINAL_DRINK.MID,7,6,1,,,,3 4 5
A_kiss_to_build_a_dream_on.MID,7,6,1,,,,3
A_nightingale_sang_in_Berke.MID,7,6,1,,,,3
A_Smooth_One.MID,7,6,1,,,,3
ACCUSTOMED_TO_HER_FACE.MID,7,6,1,,,,3
AckVE.MID,7,6,1,,,,3 4 5
acoustic_alchemy_blue_chip_bop.mid,29,25,6,,,,5 7 8 9 10 11 12 26
acoustic_alchemy_playing_for_time.mid,30,8 11 12 15 17,6 16,,,,5 7 9 10 14
AFRICAN_FLOWER.MID,7,6,1,,,,3 4 5
AFRO_BLUE.MID,7,6,1,,,,3 4
agfih2find.mid,7,7,4,,,,1 2 3 5
AINT_MISBEHAVIN.MID,7,6,1,,,,3
AIREGIN.MID,7,6,1,,,,3
alain_caron_little_missmatch.mid,22,5 6,1 3,,,,2 4
alan_holdsworth_atavachron.mid,11,7 10 11,4,,,,2 3 5 6 8 9
All_Blues.MID,7,6,1,,,,3 4
All_By_Myself.MID,7,6,1,,,,3 4
All_Gods_Chillun_Got_Rhyth.MID,7,6,1,,,,3
ALL_IN_LOVE_IS_FAIR.MID,7,6,1,,,,3 4 5
all_jarreau_moonlighting.mid,11,5 10,3,,,,4 6 7 8 11
all_jarro_roof_garden_xg.mid,12,4,2,,,,1 3 5 6 7 8
All_Of_Me.MID,7,6,1,,,,3 4 5
ALLO.MID,7,6,1,,,,3 4 5
AllOfMe2.mid,8,5,2 3,,,,1 4 6 7
Alonetog.mid,17,2 3,1,,,,4
along.mid,14,3 4 5,1,,,,2 6
Along_Came_Betty.MID,7,6,1,,,,3 4
AM_I_BLUE.MID,7,6,1,,,,3
amesse_rene_funk_face.mid,14,2 4 13 14,8,,,,1 3 6 7 12
ANA_MARIA.MID,7,6,1,,,,3 4 5
AND_I_LOVE_HER.MID,7,6,1,,,,3 4 5
ANOTHER_YOU_THERE_WILL_NEV.MID,7,6,1,,,,3 4 5
Anthropology2.mid,3,1,2,,,,3
Antigua.MID,11,6 8,1,,,,3 11
ANY_TIME.MID,7,6,1,,,,3
ANYTHING_FOR_YOU.MID,7,6,1,,,,3 4 5
ANYTHING_GOES.MID,7,6,1,,,,3
ANYWAY.MID,7,6,1,,,,3 4 5
APRIL_JOY.MID,7,6,1,,,,3 4 5
arlen_its_only_paper_moon.mid,31,2,3,,,,4 5 6 7 8 9 10 11 12 13 14 15 16 17
As_Time_Goes_By.MID,7,6,1,,,,3 4 5
AT_LAST_IVE_FOUND_YOU.MID,7,6,1,,,,3 4
atrain2.mid,11,4,2 5,,,,1 3
Au_Privave.MID,7,6,1,,,,3
au_privave_arranged_by_geo.MID,7,6,1,,,,3 4
auprvave.mid,6,2,1,,,,
AUTUMN_IN_NEW_YORK.MID,7,6,1,,,,3
autumn_leaves2.MID,3,1,3,,,,2
Ay_Arriba.MID,7,6,1,,,,3 4 5
BA_LUE_BOLIVAR_BA_LUES_ARE.MID,7,6,1,,,,3
baaska_don_anegada.mid,21,21,6 7,,,,1 8 20
bacharach_burt_wive_and_lovers.mid,13,2 3 4 5 10,1,,,,6 8 9 11 12
bananas.mid,4,1,3,,,,2
barroso_brazil.mid,10,7 8 9,5,,,,6
bayou.mid,9,1,9,,,,2 3 4 5 6 7 8
bbblues.mid,7,6,5,,,,2 3 4
bbossaje.mid,24,1 3 6 8 14,16,,,,2 4 5 7 9 10 11 12 13 15
BE_CERTAIN.MID,7,6,1,,,,3 4 5
beacon.mid,16,4 8,1,,,,2 3 5 6 7 9 10 11
Beautiful_Love2.mid,5,,2,,,,1
BEAUTY_AND_THE_BEAST.MID,7,6,1,,,,3 4 5
BEGINNING_TO_SEE_THE_LIGHT.MID,7,6,1,,,,3
BEMSHA_SWING.MID,7,6,1,,,,3
berge_frode_cashcarry.mid,16,2 5 6,4 11,,,,1 3 7 8 9 12
Berniestune.mid,4,2,1,,,,3
BESSIES_BLUES.MID,7,6,1,,,,3
BEWITCHED.MID,7,6,1,,,,3
bewitched2.mid,5,3,5,,,,2
BigMess.mid,6,4,3,,,,1 2
Birks_works_Dizzy_Gillesp.MID,7,6,1,,,,3
Black_Coffee.MID,7,6,1,,,,3
BLACK_DIAMOND.MID,7,6,1,,,,3 4
BLACK_NARCISSUS.MID,7,6,1,,,,3 4
Black_Nile.MID,7,6,1,,,,3
Black_Orpheus_Orfeo_Negro.MID,7,6,1,,,,3 4
Blame_It_On_My_Youth.MID,7,6,1,,,,3
Blknrcs.mid,8,1 2,4,,,,3
BLUE_BOSSA.MID,7,6,1,,,,3 4 5
BLUE_MOON.MID,7,6,1,,,,3
BLUE_ROOM.MID,7,6,1,,,,3
Blue_Skies.MID,7,6,1,,,,3
BLUE_TRANE.MID,7,6,1,,,,3
Bluenboo.mid,6,3 4,1,,,,2 5
Blues_For_Alice.MID,7,6,1,,,,3
Blues_March.MID,7,6,1,,,,3 4
BLUES_RIFF.MID,7,6,1,,,,3
BLUESETTE.MID,7,6,1,,,,3 4
bluesette2.mid,20,5 7,3,,,,2 4 6
BluesForTrane.mid,11,1 7,4,,,,2 3 8 9
blueswalk.mid,7,4 5,2,,,,3 6
bonfa_louis_gentle_rain.mid,21,8 9,6,,,,7 10
BORN_TO_BE_BLUE.MID,7,6,1,,,,3
BOTH_SIDES_NOW.MID,7,6,1,,,,3 4 5
BPowell.mid,17,3 4 5 7 8,1,,,,2 6
brasil.mid,9,7 9,6,,,,1 8
BREEZIN.MID,7,6,1,,,,3 4 5
Breezin_.mid,6,4 5,3,,,,1 2
BRIGHT_MISSISSIPPI.MID,7,6,1,,,,3
BRILLIANT_CORNERS.MID,7,6,1,,,,3
BRITE_BREEZY.MID,7,6,1,,,,3 4 5
broadwa2.mid,4,,2 3,,,,1
brown_joy_spring.mid,13,8 9,5,,,,6 7
brubeck_blue_rondo_a_la_turk.mid,15,4,5,1,2,,1 2
brubeck_fast_life.mid,6,4 6,1,,,,3 5
BULLET_TRAIN.MID,7,6,1,,,,3 4
But_Beautiful.MID,7,6,1,,,,3
BUT_BEAUTIFUL_Jimmy_van_He.MID,7,6,1,,,,3 4 5
BUT_NOT_FOR_ME.MID,7,6,1,,,,3 4 5
By_Myself.MID,7,6,1,,,,3
BYE_BYE_BLACKBIRD.MID,7,6,1,,,,3 4 5
Bye_ByeG.MID,30,4,2,,,,3 5 6 7 8 9 10 11 12 13 14 15 16
Cabaret_Fred_Ebb_John.MID,7,6,1,,,,3 4
CANDYMAN.MID,7,6,1,,,,3
CANT_BUY_ME_LOVE.MID,7,6,1,,,,3 4 5
Cant_Help_Lovin_That_Ma.MID,7,6,1,,,,3 4 5
CANT_WE_BE_FRIENDS.MID,7,6,1,,,,3
CAPTAIN_MARVEL.MID,7,6,1,,,,3 4 5
Caravan.MID,7,6,1,,,,3 4
Carioca.MID,7,6,1,,,,3 7
CARNIVAL.MID,7,6,1,,,,3 4 5
carnival2.MID,5,5 4,1,,,,
caron_alain_slam_the_clown_xg.mid,13,4,1 2 7,,,,3 5 6 8 10 11 12
casiopea_asayake.mid,5,2,1,,,,3
casiopea_dazzling.mid,8,4 5,2,,,,1 3 6 7
casiopea_eyes_of_mind.mid,6,4,1,,,,2 3
casiopea_looking_up.mid,5,2,1,,,,3 4
casiopea_swear.mid,18,7 8,2,6,5,,1 3 4 5 6 9 10
Cat_Walk.mid,12,9 11,3,,,,1 2 7 8 10 12
CEORA.MID,7,6,1,,,,3 4 5
CHACQUE_FOIS.MID,7,6,1,,,,3 4 5
CHARLSTON.MID,7,6,1,,,,3
CHATTENOOGA_CHOO_CHOO.MID,7,6,1,,,,3
Cheek_to_Cheek_Berlin.MID,7,6,1,,,,3
chega.mid,13,6 7,8,,,,3 4 5
Chega_De_Saudade_No_More_B.MID,7,6,1,,,,3 4 5
CHILD_IS_BORN_A.MID,7,6,1,,,,3 4
CHRISTMAS_IS_HERE.MID,7,6,1,,,,3 4 5
chromBlinF.mid,4,3,1,,,,2
chsticks.mid,15,2 5,3,,,,1 4 6 7
City_of_New_Orleans...by_S.MID,7,6,1,,,,3 4 5
CLEAR_DAY_ON_A.MID,7,6,1,,,,3
CLOSE_TO_YOU.MID,7,6,1,,,,3 4 5
coltrane_lazy_bird.mid,9,3 4,2 6 9,,,,1 5 7
COME_SUNDAY.MID,7,6,1,,,,3
Con_Alma.MID,7,6,1,,,,3
Conception.MID,7,6,1,,,,3
CONFESSIN_THAT_I_LOVE_YOU.MID,7,6,1,,,,3
Confirmation.MID,7,6,1,,,,3
confirmation_omni_parker_s.MID,7,6,1,,,,3 4
cooling_emotions_xg.mid,19,9,3 4 16,,,,1 5 6 7 8 11 12 13
copacabana.mid,11,10,3,,,,4 5 6 7 8 9
CORAL.MID,7,6,1,,,,3 4 5
CORCOVADO.MID,7,6,1,,,,3 4 5
Corcovado_Quiet_Nights_of.MID,7,6,1,,,,3 4 5
corea_eye_of_the_beholder.mid,27,3 4,1,,,,2
corea_light_year.mid,7,4 5 6,1,,,,2 7
COTTONTAIL.MID,7,6,1,,,,3
COULD_IT_BE_YOU.MID,7,6,1,,,,3
COUNTDOWN.MID,7,6,1,,,,3
COUNTRY_NIGHTS.MID,7,6,1,,,,3 4 5
CRISS_CROSS.MID,7,6,1,,,,3
CRUSH_ON_YOU_IVE_GOT_A.MID,7,6,1,,,,3
CRY_ME_A_RIVER.MID,7,6,1,,,,3
CRYSTAL_SILENCE.MID,7,6,1,,,,3 4 5
CUANDO_CUANDO.MID,7,6,1,,,,3 4
culbreath_wade_moorea.mid,9,1 5 6,2,,,,3 4 7
Cute2.mid,29,4 5 6 9 13,2,,,,3 7 8 10 11 12 14 15 16
cyberbeat_xg.mid,20,7 8 9,2,,,,1 3 4 5 6
dana_suesse_my_silent_love_2.mid,6,4,1,,,,3
DANNY_BOY.MID,7,6,1,,,,3
Darn_That_Dream.MID,7,6,1,,,,3
DARN_THAT_DREAM_Jimmy_van.MID,7,6,1,,,,3 4 5
davis_alone_together_2.mid,19,4 5 6,3,,,,2
davis_eighty_one.mid,20,8 9,6,,,,7 10
davis_miller_big_time.mid,24,3,7,,,,4 5 6 8 9 13 14 17 18 19 20
davis_seven_steps_to_heaven.mid,7,4,3,,,,2
davis_tutu.mid,13,2 5 6,1,,,,3 4 7 9 10 11 13
davydov_apathy_xg.mid,15,7 9 10 14,2 3,,,,1 5 6 8 11 12 13 15
davydov_the_last_train_xg.mid,18,6 10 14,5,,,,1 3 4 7 8 9 11 12 13
daybyday2.mid,5,2,3,,,,1
Days_of_Wine_and_Roses_The.MID,7,6,1,,,,3
DEAR_ACQUAINTANCE.MID,7,6,1,,,,3 4 5
