"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
20abril.kar,16,7 8 11,4,,,,3 5 6
55301_Gitano_Abigail4.kar,14,6,4,,,,3 5 7 8 9 10 11 13
56507_CRISTIAN_AZUL.kar,17,7,4,,,,5 6 8 9 10 11 12 13 14 15
56509_DUO_DINAMICO_SI_NO_FUERA_POR_TI.kar,15,7,4,,,,5 6 8 9 10 11 12 13
56510_ANA_BELEN_Y_VICTOR_la_muralla.kar,17,6,4,,,,5 7 8 9 10 11 12 13 14 15
56513_LA_PARED_SOTOKAR.kar,12,7,4,,,,5 6 8 9 10
A_cause_des_garcons_A_cause_des_garcons.kar,23,3,8,,,,4 5 6 7
A_Celentano_and_P_Conte_Azzurro.kar,7,6,3,,,,5 7
A_Ha_Take_on_me.kar,11,3,4 5,,,,6 7 8 9 10
A_Ha_Take_on_me_4.kar,11,3,4 5,,,,6 7 8 9 10
A_testa_boon_renis_Quando_quando.kar,10,3,5,,,,6 7 8 9 10
Aaron_Neville_Dont_know_much.kar,10,5,6,,,,7 8 9
Abba_Angel_eyes.kar,15,3,7,,,,4 5 6 9 10
Abba_Another_town_another_train.kar,14,5,4,,,,3 6 8
Abba_Band_a_boomerang.kar,14,3,4,,,,5 7 8 9
Abba_Dance_while_the_music_still_goes_on.kar,17,3,4,,,,5 6 7 8 10 11
Abba_Dancing_Queen_4.kar,12,3,4,,,,5 6 7 8 9 10 11
Abba_Dum_dum_diddle.kar,17,3,4,,,,5 6 7 8 9 11
Abba_Hasta_manana.kar,15,3,4,,,,5 7 8 9 10
Abba_Hey_hey_Helen.kar,13,3,4,,,,5 7 8
Abba_I_have_a_dream.kar,13,3,4,,,,5 6 7 8 9 10 12 13
Abba_I_have_a_dream_4.kar,13,3,4,,,,5 6 7 8 9 10 12 13
Abba_Knowing_me_knowing_you.kar,13,3,6,,,,4 5 7 8 9 10 11 12
Abba_La_reina_del_baile.kar,24,3,6,,,,4 5 7
Abba_Lay_all_your_love_on_me.kar,22,3 14,9,,,,5 6 7 8 10 11 12 13 15 20 21 22
Abba_Money_money_money.kar,13,3,4,,,,5 6 7 8 9 10 11 12
Abba_Rock_me.kar,15,3,4,,,,5 7 8 9 10
Abba_Thank_you_for_the_music.kar,12,3,4,,,,5 6 7 8 9 10 12
Abba_The_visitors.kar,19,3,5 6,,,,4 7 8 11 12 14
Abba_The_winner_takes_it_all.kar,9,3 5,8,,,,4 7 9
Abba_Tiger.kar,13,5,4,,,,3 7 8 9
Abba_Voulez_vous.kar,14,3,6,,,,4 5 7 8 9 10 11 12 13
Abba_Why_did_it_have_to_be_me.kar,17,4,3,,,,5 6 8 9 10 11 12 13
Abbronzatissima_Edoardo_Vianello.kar,18,6,4,,,,3 5 7 8 9 10 11
Abigail_Gitano_4.kar,14,6,4,,,,3 5 7 8 9 10 11 13
Abigail_Oro_y_plata.kar,15,4,2,,,,1 3 5 6 7 8 9 11 12 13 14
Acdc_Highway_to_hell.kar,12,7,5,,,,3 4
Ace_of_base_All_that_she_wants.kar,26,3,5,,,,4 6 7 8 9 10 11 12
Ace_of_base_Dont_turn_around.kar,16,3,5,,,,4 6 7 8 9 10 11 12 13 14 15
Ace_of_base_Dont_turn_around_4.kar,16,3,5,,,,4 6 7 8 9 10 11 12 13 14 15
Ace_of_base_The_sign.kar,28,3,6,,,,4 5 7 8 9 10 11 12
Ace_of_base_The_sign_1.kar,28,3,6,,,,4 5 7 8 9 10 11 12
Ade_Gagnon_Danser_pour_oublier.kar,9,5,2,,,,3 4 6
Adios_pampa_mia.kar.kar,13,4,3,,,,1 5 6 7 9 10 11 12 13
Aerosmith_Janies_Got_A_Gun.kar,24,7,12 13,,,,5 6 8 9 10 11 15 16 19 20
Aerosmith_Janies_got_a_gun_3.kar,24,7,12 13,,,,5 6 8 9 10 11 15 16 19 20
Aftrlove.kar,16,3,6,,,,4 5 7 8 9 10 11 13 14 15 16
AGUSTIN_LARA_MARIA_BONITA.kar,12,5,4,,,,3 6 7 8 9 10 12
Aja.kar,13,3,9,,,,4 5 6 7 8 10
Aladin_Le_Reve_bleu.kar,8,3,7,,,,4 5 6
Alain_Barriere_A_regarder_la_mer.kar,10,4,2,,,,1 3 5 6 7 8 9
Alain_Barriere_Ma_vie.kar,13,5,4,,,,3 6 7 8 9 10 12 13
Alain_Baschung_La_nuit_je_mens.kar,13,6,4,,,,5 7 8 9 10
Alain_Baschung_Vertige_de_lamour.kar,15,7,5,,,,4 6 8 9 10 11 12 14 15
Alain_Boublil_And_Herbert_Kretzmer_On_My_Own.kar,14,3,,,,,4 5 6 7 8 9 10 11
Alain_Chamfort_Manureva.kar,18,7,5,,,,4 6 8 9 10 11 12 14 15 16 17 18
Alain_Morisod_Sweet_People_Les_trois_cloches.kar,19,4 16,7 18,,,,5 6 8 10 11 12 13 14 15 17 19
Alain_Souchon_Au_ras_des_paquerettes.kar,16,6,4,,,,3 5 7 8 9 10 11 13 14 15 16
Alain_Souchon_Foule_sentimentale.kar,10,4,10,,,,3 5 6 7 9
Alain_Souchon_Lamour_a_la_machine.kar,10,5,3,,,,4 6 7 8 9
Alain_Souchon_Le_baiser.kar,10,5,3,,,,2 4 6 8 9
Alain_Souchon_Sous_les_jupes_des_filles.kar,17,6,4,,,,3 5 7 8 9 10 11 13 14 15 16 17
Alain_Souchon_Ya_de_la_rumba_dans_lair.kar,17,6,8,,,,7 9 10 11 12 13 14 15 17
Alan_Jackson_Home.kar,14,3,4,,,,5 6 7 8 9 10
Alan_Jackson_Livin_on_love.kar,11,3,10,,,,4 5 6 7 8 9
Alan_Jackson_Pop_a_top_again.kar,12,10,8,,,,3 4 5 6 7 9
Alan_Jackson_Summer_time_blues.kar,22,4,5 6,,,,7 8 9 10 11 12 13
Alan_Jackson_Tall_tall_trees.kar,11,11,3,,,,4 5 6 7 8 9
Alan_Parsons_Project_Dont_answer_me.kar,22,6,3,,,,5 7 8 9 10
Alan_Parsons_Project_The_cask_of_amontillado.kar,16,4,9,,,,5 6 7 8 10 11
Alan_Parsons_Project_The_tell_tale_heart.kar,15,3,7,,,,4 5 6 8 9
Alan_Tam_Elaine.kar,14,3,10,,,,4 5 6 7 8 9
Alan_Theo_Lola.kar,14,4,2,,,,1 3 5 6 7 8 9 11
Alanis_Morissette_Ironic.kar,11,3,5,,,,4 6 7 8 9 10
Alanis_Morissette_Ironic_4.kar,11,3,5,,,,4 6 7 8 9 10
Alanis_Morissette_You_oughta_know.kar,10,8,6,,,,7 9
Alazan_Amarrao_a_mi_cintura.kar,14,6,4,,,,3 5 7 8 9 10 11 13 14
Alazan_Amarrao_a_mi_cintura4.kar,14,6,4,,,,3 5 7 8 9 10 11 13 14
Alazan_Torero.kar,15,6,4,,,,3 5 8 9 10 12 13 14
Albano_Felicidad.kar,12,5,3,,,,4 6 7 8 9 10
Albano_y_Romina_Felicidad_4.kar,12,5,3,,,,4 6 7 8 9 10
Albert_Babin_Je_dis_des_mots_damour.kar,18,14 15 16,1,,,,2 3 4 5 6 7
Albert_Babin_Le_toit_de_ma_maison.kar,8,1,2,,,,3 4 5 6
Albert_Babin_Ma_hache_pis_le_bucksaw.kar,9,6,1 7 8,,,,2 3 4
Albert_Hammond_It_Never_Rains_In_Southern_Californa.kar,11,6,4,,,,3 5 7 8 9 10
Albert_Hammond_It_never_rains_in_southern_California.kar,11,6,4,,,,3 5 7 8 9 10
Alberto_Domfnguez_Frenesf.kar,13,9,4,,,,3 5 6 7
Aldo_Gunthrie_City_of_New_Orleans.kar,15,10,8,,,,7 9 11 12 13 14
Alejandro_Sanz_Me_ire.kar,15,9,5,,,,4 6 7 8 10 11 12
Alejandro_Sanz_Quisiera_ser_4.kar,18,6,4,,,,3 5 7 8 9 10 11 13 14 15 17
Ali_Baba_Tu_me_manques_depuis_longtemps.kar,15,1 15,3,,,,2 4 5 6 7 8 10 11 12 13 14
All_for_one_I_swear_4.kar,19,5,3,,,,4 6 7 8 9 15
All_Four_One_I_swear.kar,19,5,3,,,,4 6 7 8 9 15
Alliage_Cruel_Summer.kar,16,6,4,,,,3 5 7 8 9 10 11 13 14 15
Alliage_Lucy.kar,13,4,2,,,,1 3 5 6 7 8 9 11
Alliage_Te_garder_pres_de_moi.kar,15,6,4,,,,3 5 7 8 9 10 11 13 14
Allman_Brothers_Midnight_rider.kar,8,5,4,,,,3 7
Allman_Brothers_Stormy_Monday.kar,8,7,3,,,,4 5 6
Allwright_Graeme_Suzanne.kar,4,4,,,,,3
Alma_Cogan_Tennesse_waltz.kar,8,4,3,,,,5 6 8
Almeno_tu_nelluniverso_Mia_Martini.kar,19,5,3,,,,4 6 7 8 9 10
AlTgria_Rodrigo_BAY.kar.kar,15,5,2,,,,1 3 6 7 8 9 10 12 13 14
Amanda_Marshall_Beautiful_goodbye.kar,13,3,7,,,,4 5 6 8 9 10 11 13
Amanda_McBroom_The_Rose.kar,10,3,9,,,,4 5 6 7 8
amatoma.kar,14,6,4,,,,3 5 7 8 9 10 11 13
America_Sandman.kar,18,8,3,,,,4 5 6 7
America_Tinman.kar,28,7,8,,,,3 4 5 6 11 12
America_Ventura_highway.kar,14,9 11,3,,,,5 6 8 12 13
Amparo_Sandino_Mar_De_Amores.kar,12,11,4,,,,3 5 6 7 8 9
Amy_Grant_Baby_baby.kar,6,5,4,,,,3
Ana_Belen_Desde_mi_libertad_5.kar,11,8,5,,,,4 6 7 9
AnaBelenDesde_mi_libertad.kar,11,8,5,,,,4 6 7 9
andilove.kar,33,22,17,,,,3 18 19 20 21
Andre_Breton_Un_jour_a_la_fois.kar,22,11,12 22,,,,13 14 15 16 17 18 19 20 21
Andre_Clavier_As_tu_deja_pleurer.kar,12,3,4,,,,5 6 7 8 10 11 12
Andre_Lejeune_Joue_moi_un_rigodon.kar,11,7,1 11,,,,3 4 5 6
Andre_Verchuren_Ah_si_jetais_reste_celibataire.kar,6,4,1,,,,5 6
ANDREA_BOCELLI_Por_ti_volare.kar,14,5,3,,,,4 6 7 8 9 10 12 13
Andrew_Lloyd_Webber_Phantom_of_the_Opera.kar,5,3,5,,,,4
Andy_Williams_Walk_on_by.kar,12,5,3,,,,4 6 7 8 9 10
Angelo_Branduardi_La_demoiselle.kar,12,5,3,,,,4 6 7 8 9 10
Angelo_Branduardi_Va_ou_le_vent_te_mene.kar,11,6 8 9,5,,,,3 7 10 11
Anggun_Au_nom_de_la_lune.kar,11,4,2,,,,1 3 5 6 7 8 9 11
Anggun_La_neige_au_Sahara.kar,16,6,4,,,,3 5 7 8 10 11 13 14 16
Anggun_La_rose_des_vents.kar,16,4,2,,,,1 3 5 6 7 8 9 11 12 13 14 15 16
Animals_House_of_the_rising_sun_blues.kar,19,3 4,5,,,,6 7 9 10 11 12 13 14 15 16
Animals_Sky_pilot.kar,13,3 10,7,,,,4 5 6 8 11 12 13
Anita_Mui_The_sunset_song.kar,14,3,5,,,,4 6 7 8 9 10 11
Anne_Mauray_Broken_heartache_me.kar,14,7 9,8,,,,10 11 12
Anne_Mauray_Could_i_have_this_dance.kar,14,11 13 14,5,,,,7 10
Anne_Mauray_Nobody_loves_me_like_you_do.kar,12,7,6,,,,5 8 9 10
Anne_Mauray_Shadows_in_the_moonlight.kar,12,9,8,,,,7 10 11
Anne_Mauray_You_needed_me.kar,12,11,6,,,,4 5 7 8 9 10
Annie_I_Think_Im_Gonna_Like_It_Here.kar,14,13,4,,,,3 5 6 7 8 9 10 11 12 14
Annie_Without_A_Smile.kar,21,3,4,,,,5 6 7 8 9 10 11 12 13 14 15
Antoine_Les_Elucubrations.kar,9,5,3,,,,1 4 6 7 8
ANTONIO_FLORES_Alba.kar,12,6,4,,,,5 7 8 9 10 11
Antonio_Flores_Alba_4.kar,12,6,4,,,,5 7 8 9 10 11
Aqua_Dr_Jones.kar,16,14,8 11,,,,3 4 5 6 7 9 10 13 15 16
Aqua_Roses_are_red_1.kar,17,1,6,,,,4 5 7 8 9 10 11 12 13 15 16
Archies_Sugar_sugar.kar,11,9,4,,,,3 5 6 7 8 11
Art_Popular_Temporal.kar,16,3,4,,,,5 6 9 10
Artistes_New_York_New_York.kar,12,3,4,,,,5 6 7 8 9 10
Ashford_Simpson_Aint_No_Mountain_High_Enough.kar,11,10,3,,,,1 2 4 5 7 8 9 11
Atlantique_Les_eaux_de_Mars.kar,11,5,3,,,,2 4 6 7 9 10
Aubrey.kar,9,3,4,,,,5 6 7 8
Axelle_Red_A_quoi_ca_sert.kar,9,4,2,,,,1 3 5 6 7 8
Axelle_Red_Le_monde_tourne_mal.kar,14,7,5,,,,4 6 8 9 10 11 12 14
Axelle_Red_Parce_que_cest_toi.kar,12,6,4,,,,3 5 7 8 9 10 11
Axelle_Red_Rester_femme.kar,11,4,2,,,,1 3 5 6 7 8 9
Axelle_Red_Rien_que_dy_penser.kar,11,6,4,,,,3 5 7 8 9 10
AZUCAR_MORENO_Amen.kar,18,6,4,,,,3 5 7 8 9 10 11 13 14 15 16 17
B_Wayne_l_Morris_Blue_velvet.kar,9,6 9,3,,,,5 7 8
Babacar.kar,15,7,5 12,,,,4 6 8 9 10 11 14 15
Bachman_Turner_Overdrive_You_aint_seen_nothing_yet.kar,12,6,4,,,,3 5 7 8 9 10 12
Bad_Boy_Blues_You_are_a_woman.kar,18,3,5,,,,4 6 7 8 9 10 11 12 13 14 15
Bad_Company_Bad_company.kar,21,10,5 14,,,,3 4 7 8 9 11 12 13 15
Bad_Finger_Come_and_get_it.kar,11,6,3,,,,5
Bananarama_Venus.kar,13,3,4,,,,5 6 7 8 9
Banda_Eva_Carro_velho.kar,15,6,4,,,,5 7 8 9 10 11 13 14 15
Bangles_Eternal_flame.kar,12,3,8,,,,7 9 10 11
Bangles_Eternal_flame_4.kar,12,3,8,,,,7 9 10 11
Barbara_Steisand_Evergreen.kar,9,3,8,,,,4 5 6 7
Barricada_Oveja_negra_16.kar,13,11,3,,,,4 5 6 7 8 9
Be_Gees_I_started_the_joke_9.kar,12,11,6,,,,4 7 8 9
Be_Gees_If_I_cant_have_you_6.kar,10,9,3,,,,4 5 6 7
Be_Gees_Massachusetts_9.kar,12,11,6,,,,5 7 8 9
Be_Gees_Staying_Alive_4.kar,12,3,6,,,,4 5 7 8 9 10 11
Be_Gees_Tragedy_4.kar,14,6,4,,,,3 5 7 8 9 10 12 13 14
Beach_Boys_Help_me_ronda.kar,14,6,4,,,,3 5 7 8 9 10 11
Beach_Boys_Surfer_girl.kar,19,10 11,5,,,,3 4 6 7 8 9 12 13 14 15
Beach_Boys_Surfnusa.kar,6,3,5,,,,4
Beach_Boys_Wouldnt_it_be_nice.kar,15,3,7 8,,,,4 5 6 9 10 11
Beastie_Boys_Fight_for_your_right_to_party.kar,7,4,6,,,,3 7
Beat_Culture_Crying_in_the_rain.kar,12,11,9,,,,6 7 8 10
Beatles_Bad_boy.kar,10,3,7,,,,4 5 6 9
Beatles_Ballad_of_John_and_yoko.kar,10,3,7,,,,4 5 6 8
Beatles_Beautiful_Night.kar,17,3,5,,,,4 6 8 9 10 11 12
Beatles_Bogey_Music.kar,17,3 9 10,5,,,,4 7 8
Beatles_Everybodys_got_something_to_hide.kar,10,3,6,,,,4 5 9
Beatles_Free_As_A_Bird.kar,9,3 4,8,,,,5 6 7
Beatles_Glad_all_over.kar,14,9,3,,,,5 6 8
Beatles_Happiness_is_a_warm_gun.kar,13,3,7,,,,4 5 6
Beatles_Hello_goodbye.kar,13,3,8,,,,4 5 6 7 9
Beatles_Here_comes_the_sun.kar,12,3,7,,,,4 5 6 8 9 10
Beatles_Hey_Jude.kar,9,3,5,,,,4 6 7
Beatles_I_saw_her_standing_there.kar,12,11,6,,,,4 7 8 9
Beatles_I_wanna_be_your_man.kar,14,4,5,,,,3 6 8
Beatles_Isolation.kar,16,3 8,5,,,,4 7
Bee_Gees_Staying_alive.kar,12,3,6,,,,4 5 7 8 9 10 11
Bee_Gees_To_love_somebody_4_y_15.kar,14,5 12,3,,,,4 6 7 8 9 11
bienveni.kar,12,6,4,,,,5 7 8 9 10 11
BIG_MOUNTAIN_Baby_I_Love_Your_Way.kar,17,3,5,,,,4 6 8 9 10 11 12 13 14 15 16 17
Big_Mountain_Baby_I_love_your_way_4.kar,17,3,5,,,,4 6 8 9 10 11 12 13 14 15 16 17
Billy_Joel_Honesty_1.kar,8,3,5,,,,4 6 7
BJ_Thomas_Raindrops_keep_fallin_on_my_head.kar,13,3,5,,,,4
Bob_Seger_Hollywood_night.kar,18,7,3,,,,4 5 6 17
Bob_Seger_Turn_the_Page.kar,15,9,4,,,,5 6 7 8
Boney_M_Daddy_Cool.kar,10,3,9,,,,4 5 6 7 8
Boney_M_Dreadlock_Holiday.kar,13,3,5,,,,4 6 7 8 9 10 11
Boney_M_Hold_on_Im_coming.kar,19,6,5,,,,4 7 8 9 10 11 13 14 15
Boney_M_Sunny.kar,11,5,10,,,,6 7 8 9
Bonny_M_Rivers_of_Babylon_4.kar,14,3,10,,,,4 5 6 7 8 9 11 12 13
Boogwond.kar,17,6,4,,,,3 5 7 8 9 10 11 12 13 14 15 16
Boris_Vian_Le_deserteur.kar,14,6,4,,,,3 5 7 8 9 10 11 13 14
Boston_A_man_Ill_never_be.kar,20,14,5,,,,3 7 8 9 11 12 13 15
Boston_A_man_Ill_never_be_12.kar,20,14,5,,,,3 7 8 9 11 12 13 15
Britney_Spears_Baby_one_more_time_1.kar,35,5,15 16,,,,6 7 8 9 10 11 12 13 14 17 18 19
Brividi.kar,11,5,3,,,,4 6 7 8 9
Brooks_And_Dunn_Boot_scootin_boogie.kar,11,9,10,,,,3 4 5 6 7 8
Brooks_And_Dunn_Whiskey_under_the_bridge.kar,29,5,7 15,,,,8 9 10 11 12 13 14 16 17
Bruce_Springsteen_Human_Touch_4.kar,16,9,3,,,,4 5 6 7 8
Bruce_Springsteen_Streets_of_Philadelphia_1.kar,9,3,5,,,,4 6 7 8
Bruno_Lomas_La_casa_del_sol_naciente.kar,24,5,3,,,,4 6 7
Bryan_Adams_Have_you_ever_really_loved_a_woman_4.kar,14,3,4,,,,5 6 7 8 9 10 11 12 13
Bryan_Adams_Heaven_4.kar,17,3,9,,,,4 5 6 8 10 11
BSO_Cheers_Where_everybody_knows_your_name.kar,18,5 6 13 15,11,,,,8 9 14
BSO_Jesucristo_superstar_I_dont_know_how_to_love_him_3.kar,11,8 10 11,3,,,,5 7
Byrds_Eight_miles_high.kar,16,7,3,,,,4 5 6
Byrds_Turn_turn_turn.kar,17,7,3,,,,4 5 6
C_And_C_Music_Factory_Gonna_Make_You_Sweat.kar,17,3,5 17,,,,4 6 7 8 9 10 11 15 16
C_Jerome_Derniers_baisers.kar,10,9,4,,,,3 5 6 7 8
C_Jerome_Jerome_cest_moi.kar,14,13 14,4,,,,3 5 6 7 8 9 10 11
C_Jerome_Kiss_me.kar,13,5 13,6,,,,7 8 9 10 11
Calling_Wherever_You_Will_Go.kar,9,1,8,,,,2 3 4 5 6 7
Canario.kar,11,10,4,,,,3 5 6 7 8
Canned_Heat_Going_Up_the_Country.kar,9,7 9,4,,,,3 5 6
Cantores_de_Hfspalis_A_bailar_16.kar,11,7,3,,,,4 6
Cantores_de_Hispalis_A_Bailar.kar,11,7,3,,,,4 6
Captain_And_Tenille_Do_That_To_Me_One_More_Time.kar,12,11,6,,,,5 7 8 9 10
Carlos_Baute_Mi_medicina_4.kar,14,6,4,,,,3 5 7 8 9 10 11 13 14
Carlos_Baute_Mueve_mueve_4.kar,15,7,4,,,,5 6 8 9 10 11 12 13 14
Carlos_Big_bisou.kar,16,14,5,,,,3 4 6 7 8 9 10 11 12 15 16
Carlos_Papayou.kar,9,4,2,,,,1 3 5 6 7 9
Carlos_Vives_El_Amor_de_mi_Tierra.kar,13,5,2,,,,3 4 6 7 8 9 10 11 12
Carly_Simon_All_I_Want_is_You.kar,16,3,4,,,,5 6 7 9
Carly_Simon_Coming_Around_Again.kar,18,3,4,,,,5 6 7 9 10 17
Carly_Simon_Give_me_all_Night.kar,15,3,4,,,,5 6 7 8
