"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
56510_ANA_BELEN_Y_VICTOR_la_muralla.kar,17,6,4,,,,5 7 8 9 10 11 12 13 14 15
56513_LA_PARED_SOTOKAR.kar,12,7,4,,,,5 6 8 9 10
A_cause_des_garcons_A_cause_des_garcons.kar,23,3,8,,,,4 5 6 7
A_Ha_Take_on_me.kar,11,3,4 5,,,,6 7 8 9 10
A_Ha_Take_on_me_4.kar,11,3,4 5,,,,6 7 8 9 10
A_testa_boon_renis_Quando_quando.kar,10,3,5,,,,6 7 8 9 10
Abba_Another_town_another_train.kar,14,5,4,,,,3 6 8
Abba_Band_a_boomerang.kar,14,3,4,,,,5 7 8 9
Abba_Dance_while_the_music_still_goes_on.kar,17,3,4,,,,5 6 7 8 10 11
Abba_Dancing_Queen_4.kar,12,3,4,,,,5 6 7 8 9 10 11
Abba_Dum_dum_diddle.kar,17,3,4,,,,5 6 7 8 9 11
Abba_Hasta_manana.kar,15,3,4,,,,5 7 8 9 10
Abba_Hey_hey_Helen.kar,13,3,4,,,,5 7 8
Abba_I_have_a_dream.kar,13,3,4,,,,5 6 7 8 9 10 12 13
Abba_Knowing_me_knowing_you.kar,13,3,6,,,,4 5 7 8 9 10 11 12
Abba_Lay_all_your_love_on_me.kar,22,3 14,9,,,,5 6 7 8 10 11 12 13 15 20 21 22
Abba_Money_money_money.kar,13,3,4,,,,5 6 7 8 9 10 11 12
Abba_Rock_me.kar,15,3,4,,,,5 7 8 9 10
Abba_Thank_you_for_the_music.kar,12,3,4,,,,5 6 7 8 9 10 12
Abba_The_visitors.kar,19,3,5 6,,,,4 7 8 11 12 14
Abba_Why_did_it_have_to_be_me.kar,17,4,3,,,,5 6 8 9 10 11 12 13
Abbronzatissima_Edoardo_Vianello.kar,18,6,4,,,,3 5 7 8 9 10 11
Abigail_Oro_y_plata.kar,15,4,2,,,,1 3 5 6 7 8 9 11 12 13 14
Acdc_Highway_to_hell.kar,12,7,5,,,,3 4
Ace_of_base_All_that_she_wants.kar,26,3,5,,,,4 6 7 8 9 10 11 12
Ace_of_base_Dont_turn_around.kar,16,3,5,,,,4 6 7 8 9 10 11 12 13 14 15
Ace_of_base_The_sign.kar,28,3,6,,,,4 5 7 8 9 10 11 12
Ade_Gagnon_Danser_pour_oublier.kar,9,5,2,,,,3 4 6
Aerosmith_Janies_got_a_gun_3.kar,24,7,12 13,,,,5 6 8 9 10 11 15 16 19 20
Aftrlove.kar,16,3,6,,,,4 5 7 8 9 10 11 13 14 15 16
AGUSTIN_LARA_MARIA_BONITA.kar,12,5,4,,,,3 6 7 8 9 10 12
Alain_Boublil_And_Herbert_Kretzmer_On_My_Own.kar,14,3,,,,,4 5 6 7 8 9 10 11
Alain_Chamfort_Manureva.kar,18,7,5,,,,4 6 8 9 10 11 12 14 15 16 17 18
Alain_Morisod_Sweet_People_Les_trois_cloches.kar,19,4 16,7 18,,,,5 6 8 10 11 12 13 14 15 17 19
Alain_Souchon_Foule_sentimentale.kar,10,4,10,,,,3 5 6 7 9
Alain_Souchon_Lamour_a_la_machine.kar,10,5,3,,,,4 6 7 8 9
Alain_Souchon_Le_baiser.kar,10,5,3,,,,2 4 6 8 9
Alain_Souchon_Sous_les_jupes_des_filles.kar,17,6,4,,,,3 5 7 8 9 10 11 13 14 15 16 17
Alain_Souchon_Ya_de_la_rumba_dans_lair.kar,17,6,8,,,,7 9 10 11 12 13 14 15 17
Alan_Jackson_Home.kar,14,3,4,,,,5 6 7 8 9 10
Alan_Jackson_Livin_on_love.kar,11,3,10,,,,4 5 6 7 8 9
Alan_Jackson_Pop_a_top_again.kar,12,10,8,,,,3 4 5 6 7 9
Alan_Jackson_Summer_time_blues.kar,22,4,5 6,,,,7 8 9 10 11 12 13
Alan_Jackson_Tall_tall_trees.kar,11,11,3,,,,4 5 6 7 8 9
Alan_Parsons_Project_Dont_answer_me.kar,22,6,3,,,,5 7 8 9 10
Alan_Parsons_Project_The_cask_of_amontillado.kar,16,4,9,,,,5 6 7 8 10 11
Alan_Parsons_Project_The_tell_tale_heart.kar,15,3,7,,,,4 5 6 8 9
Alan_Tam_Elaine.kar,14,3,10,,,,4 5 6 7 8 9
Alanis_Morissette_Ironic.kar,11,3,5,,,,4 6 7 8 9 10
Alanis_Morissette_Ironic_4.kar,11,3,5,,,,4 6 7 8 9 10
