"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
1406humming.mid,14,,12 13,,,,3 4 5 6 7 8 9 10 11 14
Baroque_Baroque-Early_Merula_mcan01_m.mid,3,1,3,,,,2
bthn08.mid,5,5,1,,,,2 3 4
OD_08_Communio_1s.mid,6,1 2,6,,,,3 4 5
Renaissance_Renaissance-Middle_Cavalli_cavalli-lormindo_mai_voli.mid,6,3,5 6,,,,1 2 4
Renaissance_Renaissance-Middle_Senfl_senfl_als_ab_und_hin.mid,10,2,5,,,,3 4
Romanticism_Romanticism_Gounod_GP_1_FAU.mid,17,1 2 4 13,17,,,,3 5 6 7 8 9 10 12 14 15 16
Romanticism_Romanticism_Gounod_GP_4_FAU.mid,16,1 2 3 12,10 16,,,,4 5 6 7 8 9 13 14 15
Romanticism_Romanticism_Sarasate_Sarasate_Zapateado.mid,17,1 2 13 14,17,,,,3 4 5 6 7 8 9 10 15 16
XXCentury_XX-Nationalism_Villalobos_suite_floral_no2.mid,16,2,11,,,,1 3 4 5 6 7 8 9 10
